Latitude,Longitude,Value
37.764003,-122.417959,425500
37.790506,-122.396252,1160000
37.77393,-122.396241,774025
37.76062,-122.474805,660000
37.75898,-122.416711,450000
37.777347,-122.444138,680000
37.778811,-122.391371,820000
37.737371,-122.382294,227000
37.71246,-122.394372,476000
37.732848,-122.488351,640000
37.78753,-122.454018,1365000
37.758025,-122.469347,470000
37.757201,-122.432174,945000
37.714149,-122.401075,475000
37.74145,-122.420914,850000
37.713689,-122.407911,459000
37.74645,-122.440439,275000
37.773529,-122.438865,720000
37.745106,-122.415678,450000
37.745178,-122.415507,699000
37.777431,-122.393707,860000
37.791114,-122.429586,1400000
37.782245,-122.457454,655000
37.774459,-122.399589,1500
37.778241,-122.393224,707000
37.776381,-122.44569,582000
37.785994,-122.48533,725000
37.78069,-122.38922,952000
37.748436,-122.432181,778000
37.790141,-122.430666,790000
37.776381,-122.44569,710000
37.781694,-122.481297,719000
37.779454,-122.396676,850000
37.710914,-122.411839,370000
37.764728,-122.474315,744000
37.78629,-122.401375,1140000
37.763857,-122.403233,625000
37.760182,-122.39098,730000
37.789945,-122.412727,512000
37.788717,-122.418436,685000
37.77493,-122.419416,208000
37.783203,-122.420568,680000
37.790506,-122.396252,920000
37.798636,-122.413205,1900000
37.792757,-122.416471,1025000
37.782389,-122.426668,377000
37.760307,-122.450039,1890000
37.753366,-122.443062,1300000
37.790506,-122.396252,1130000
37.72721,-122.395677,231255
37.782483,-122.420541,480000
37.755107,-122.475757,588000
37.761587,-122.443691,809900
37.803061,-122.421044,750000
37.77493,-122.419416,554100
37.790506,-122.396252,2004000
37.745109,-122.407959,550000
37.733822,-122.454103,1025000
37.788252,-122.403079,1340000
37.772221,-122.510154,380000
37.763562,-122.445116,820637
37.754334,-122.444984,565000
37.78629,-122.401375,2000000
37.786541,-122.438203,1450000
37.790506,-122.396252,1880000
37.783571,-122.390701,205720
37.763857,-122.403233,625000
37.728385,-122.390586,231600
37.783203,-122.420568,972350
37.717655,-122.456332,315000
37.777822,-122.468677,1300000
37.72705,-122.395153,263803
37.789945,-122.412727,525000
37.790214,-122.421362,649000
37.783203,-122.420568,605000
37.75652,-122.476256,512000
37.745211,-122.506769,600000
37.717125,-122.440305,260000
37.745402,-122.434331,700000
37.766295,-122.447136,1220000
37.754807,-122.485858,575000
37.732105,-122.446353,637000
37.764941,-122.431219,875000
37.801787,-122.408327,715000
37.784306,-122.422292,750000
37.772221,-122.510154,360000
37.790506,-122.396252,2750000
37.763857,-122.403233,660000
37.735842,-122.398342,310000
37.734112,-122.417147,550000
37.793212,-122.423746,949050
37.785994,-122.48533,820000
37.75807,-122.48716,608000
37.744463,-122.501914,571000
37.749875,-122.426896,1050000
37.774867,-122.394176,930000
37.799064,-122.418625,865000
37.802766,-122.407255,1680000
37.788176,-122.392522,1550000
37.709845,-122.467858,280000
37.777431,-122.393707,498000
37.78639,-122.460041,700000
37.782585,-122.390403,92500
37.782585,-122.390403,92500
37.791373,-122.445322,955000
37.779449,-122.486511,540000
37.786236,-122.389074,855000
37.794716,-122.407831,385000
37.79002,-122.44177,873000
37.763098,-122.428242,844000
37.779454,-122.396676,827000
37.782646,-122.390388,1015000
37.760305,-122.391409,755000
37.760305,-122.391409,799000
37.72705,-122.395153,231255
37.72721,-122.395677,231332
37.76424,-122.446782,1570000
37.753738,-122.393031,482000
37.79431,-122.42961,1250000
37.778294,-122.423658,805000
37.763524,-122.463035,810000
37.758213,-122.392844,599000
37.744875,-122.420113,470000
37.77493,-122.419416,208000
37.772221,-122.510154,425500
37.767556,-122.42798,970000
37.763857,-122.403233,690000
37.759334,-122.409815,748000
37.77493,-122.419416,760000
37.780053,-122.423453,489000
37.780053,-122.423453,640000
37.778455,-122.493547,1490000
