@relation hs2012

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
37.793212,-122.423746,935000
37.758888,-122.410975,965000
37.792924,-122.421729,792500
37.786889,-122.422165,535000
37.790506,-122.396252,3560000
37.763857,-122.403233,690000
37.760305,-122.391409,750000
37.790506,-122.396252,970000
37.78069,-122.38922,908000
37.776381,-122.44569,765000
37.771144,-122.389123,916000
37.762626,-122.448417,905000
37.790506,-122.396252,3350000
37.791764,-122.435177,350000
37.763857,-122.403233,320000
37.742933,-122.42947,1641750
37.771144,-122.389123,859000
37.760608,-122.398942,777000
37.785732,-122.434571,841000
37.790506,-122.396252,995000
37.75898,-122.416711,450000
37.773242,-122.446239,790000
37.790506,-122.396252,1620000
37.771144,-122.389123,1298000
37.802318,-122.428476,1600000
37.783184,-122.407694,780000
37.761145,-122.417495,760000
37.764941,-122.431219,875000
37.774183,-122.394756,835706
37.78069,-122.38922,1120000
37.779454,-122.396676,785000
37.773783,-122.401581,910000
37.783203,-122.420568,680000
37.71036,-122.468561,330000
37.790506,-122.396252,3350000
37.778241,-122.393224,1405000
37.788252,-122.403079,1340000
37.785794,-122.424669,852750
37.77367,-122.466428,590000
37.740366,-122.429607,800000
37.778241,-122.393224,799000
37.800844,-122.405014,1550000
37.771218,-122.387925,1128000
37.77493,-122.419416,554100
37.790506,-122.396252,2400000
37.76201,-122.446214,770000
37.770734,-122.437296,955000
37.802184,-122.44146,1402000
37.790506,-122.396252,4230000
37.776381,-122.44569,730000
37.741928,-122.412731,1250000
37.78629,-122.401375,2000000
37.795237,-122.403246,3000000
37.751866,-122.494296,695000
37.76783,-122.445116,615000
37.782443,-122.426241,415000
37.778241,-122.393224,1405000
37.764003,-122.417959,605000
37.743157,-122.424645,1040000
37.78582,-122.3975,779000
37.754334,-122.444984,565000
37.771218,-122.387925,916000
37.790506,-122.396252,2070000
37.751404,-122.409445,650000
37.795127,-122.429699,899000
37.778241,-122.393224,665000
37.768294,-122.421876,655000
37.772221,-122.510154,380000
37.748436,-122.432181,778000
37.790506,-122.396252,3560000
37.802318,-122.428476,1600000
37.760305,-122.391409,755000
37.78629,-122.401375,1750000
37.760305,-122.391409,750000
37.763857,-122.403233,692000
37.771144,-122.389123,890010
37.760608,-122.398942,777000
37.78753,-122.454018,1365000
37.778241,-122.393224,665000
37.778241,-122.393224,630000
37.798379,-122.434929,900000
37.801787,-122.408327,715000
37.788252,-122.403079,1340000
37.73598,-122.39557,360000
37.790506,-122.396252,1700000
37.782983,-122.407883,16600000
37.771218,-122.387925,1380000
37.785786,-122.392112,1189000
37.768294,-122.421876,649000
37.745017,-122.438172,775000
37.782983,-122.407883,16600000
37.744017,-122.424846,945000
37.803055,-122.423908,729000
37.781694,-122.481297,719000
37.793212,-122.423746,1039000
37.797782,-122.413029,1365000
37.771144,-122.389123,879000
37.803332,-122.444694,1000000
37.782483,-122.420541,480000
37.778702,-122.433241,675000
37.771218,-122.387925,849000
37.757937,-122.393128,650000
37.783475,-122.398897,799000
37.771218,-122.387925,838000
37.771218,-122.387925,878000
37.760688,-122.441596,930000
37.771144,-122.389123,705000
37.790506,-122.396252,1700000
37.754097,-122.417783,510000
37.777518,-122.405045,555000
37.792858,-122.40894,995000
37.781174,-122.420903,734500
37.777431,-122.393707,550000
37.74645,-122.440439,449000
37.778294,-122.423658,805000
37.763997,-122.455059,855000
37.797173,-122.430042,880000
37.777431,-122.393707,708000
37.778322,-122.396112,1400000
37.785794,-122.424669,715000
37.713689,-122.407911,459000
37.77367,-122.466428,590000
37.790506,-122.396252,1925000
37.776381,-122.44569,735000
37.790079,-122.390468,975000
37.771144,-122.389123,988020
37.801282,-122.41921,939000
37.725277,-122.395194,420000
37.792258,-122.415965,1369000
37.768294,-122.421876,859000
37.753736,-122.402192,405000
37.797573,-122.398275,1300000
37.790214,-122.421362,659000
37.746074,-122.405524,645000
37.785786,-122.392112,906667
37.771144,-122.389123,926000
37.719403,-122.463835,575000
37.783571,-122.390701,1300000
37.793072,-122.409661,1021500
37.75807,-122.48716,608000
37.782443,-122.426241,415000
37.778322,-122.396112,1400000
37.80379,-122.42264,2250000
37.771218,-122.387925,689000
37.737371,-122.382294,227000
37.783516,-122.452793,864000
37.751542,-122.441042,1149000
37.790506,-122.396252,910000
37.73537,-122.42443,315000
37.74544,-122.441466,435000
37.771926,-122.439558,985000
37.77493,-122.419416,760000
37.803061,-122.421044,750000
37.771144,-122.389123,890010
37.768294,-122.421876,659000
37.783203,-122.420568,10000
37.798636,-122.413205,6000000
37.758219,-122.503953,410000
37.768294,-122.421876,785000
37.801526,-122.427848,1190000
37.783571,-122.390701,29000
37.787737,-122.390361,772000
37.777822,-122.468677,1300000
37.793904,-122.431749,1200000
37.801526,-122.427848,1190000
37.749875,-122.426896,1050000
37.71412,-122.398497,460000
37.778584,-122.404172,475000
37.790506,-122.396252,1025000
37.779449,-122.486511,540000
37.793212,-122.423746,979110
37.790506,-122.396252,1700000
37.77354,-122.417009,725000
37.774323,-122.445028,850000
37.71246,-122.394372,476000
37.803332,-122.444694,1000000
37.709334,-122.425586,290000
37.771218,-122.387925,722650
37.801951,-122.440422,1998000
37.74535,-122.427767,1200000
37.783203,-122.420568,745000
37.754053,-122.496555,750000
37.760305,-122.391409,727000
37.785786,-122.392112,1189000
37.785786,-122.392112,1130000
37.719652,-122.437819,365000
37.786236,-122.389074,850000
37.725277,-122.395194,385000
37.793898,-122.432617,910000
37.793958,-122.42109,945000
37.71025,-122.467494,261000
37.770932,-122.433304,875000
37.771144,-122.389123,874000
37.783184,-122.407694,780000
37.768294,-122.421876,697000
37.779454,-122.396676,811100
37.768294,-122.421876,649000
37.793212,-122.423746,965000
37.797573,-122.398275,1300000
37.771144,-122.389123,741000
37.782443,-122.426241,415000
37.760305,-122.391409,910000
37.781174,-122.420903,354000
37.718053,-122.395611,226000
37.790506,-122.396252,1028000
37.777593,-122.407584,575000
37.785786,-122.392112,2300000
37.785786,-122.392112,1275000
37.786889,-122.422165,535000
37.788252,-122.403079,1100000
37.758079,-122.424183,1715000
37.771218,-122.387925,799000
37.782483,-122.420541,480000
37.760305,-122.391409,860000
37.771628,-122.387444,761000
37.76114,-122.421884,1050000
37.790506,-122.396252,1950000
37.768294,-122.421876,703000
