@relation Stair

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
1.661529,0.667783,6.168533
4.052822,8.083836,7.270116
9.38642,1.44971,5.043815
0.505449,6.257152,7.330787
8.91699,8.902169,6.485737
5.171293,8.106341,6.31876
4.598489,6.624045,6.378223
6.451354,9.179051,6.144461
3.57241,2.68466,6.166625
1.000935,6.542285,7.295096
2.300328,8.009761,7.335676
3.852085,4.556849,6.066939
5.253881,7.228112,6.195626
0.891274,3.970297,7.391127
3.923673,3.037948,6.213431
3.359483,4.224581,6.31233
1.697026,5.766208,7.302713
9.853207,9.018519,6.429046
0.403822,2.213903,7.345756
6.910906,7.71658,6.338476
7.696587,9.117468,6.03735
6.229398,7.213992,6.001563
8.123048,7.965658,6.2783
7.790786,4.154558,5.012522
2.83171,8.128968,7.075379
1.939531,1.079899,6.200125
7.345818,2.366184,5.165945
7.7722,6.892661,6.204719
2.27863,4.690922,6.196645
8.596381,4.687692,5.077944
9.350745,2.56207,5.468602
3.951296,3.220211,6.447061
1.071211,7.265756,7.492226
9.315784,9.880969,6.363061
0.147092,0.369458,6.308987
9.16609,2.930884,5.497913
9.315912,4.968144,5.023924
9.233875,9.697347,6.028
1.338097,8.199964,7.122347
8.17549,1.519315,5.294457
6.028752,3.451202,5.175208
5.155215,7.306029,6.119111
4.00984,1.268524,5.200704
5.840208,5.030173,6.414117
4.963887,8.966386,7.310855
3.634808,5.976175,6.02587
3.890243,9.848026,7.093144
8.71399,2.489624,5.208842
3.385716,6.56887,6.034673
8.610225,0.8472,5.497446
8.625387,8.3316,6.175999
4.554675,9.167486,7.220219
5.236206,0.809852,5.349691
0.582508,5.169717,7.162287
8.265289,4.262695,5.210202
1.925544,9.546751,7.124732
8.507577,5.226406,5.429513
9.649224,7.804216,5.408786
2.579826,8.440197,7.494066
2.601189,1.120368,5.185475
6.993011,0.801844,5.375848
6.880619,0.169737,5.277534
9.848719,3.343936,5.112316
0.672568,3.049621,7.292831
9.938305,2.88015,5.162653
8.063389,5.222465,5.251429
6.838478,3.446701,5.359438
2.229371,8.158473,7.005808
5.434207,5.025455,6.478983
8.070467,2.822157,5.18195
9.06154,9.039315,6.393055
9.585895,1.440324,5.485225
5.570147,2.92244,5.226629
3.73058,1.52221,5.466306
8.326053,1.673775,5.341991
6.287031,9.661648,6.431123
0.092689,8.173861,7.254029
5.735423,7.546946,6.043129
8.521596,5.65115,5.479199
8.515611,8.771983,6.28719
0.667128,9.285483,7.350459
3.307196,4.037871,6.314297
1.626015,1.932565,6.344139
9.615575,1.732555,5.179316
7.144935,9.934188,6.344661
0.076421,5.366452,7.417213
3.731587,6.478388,6.246631
8.455455,4.00832,5.305458
8.620568,1.166276,5.155861
2.233228,8.164291,7.236929
3.298336,8.516166,7.085994
9.280678,6.863519,5.049518
3.82311,0.943402,5.171515
4.048232,3.865548,6.105269
9.451812,3.117337,5.290241
6.001873,5.164371,6.370898
4.386684,7.692001,6.000267
7.386677,1.006801,5.187914
0.920325,1.905131,6.341351
5.085314,9.807594,7.38328
5.187254,7.753174,6.358633
2.347617,2.769158,6.379013
0.307304,9.231155,7.444697
4.21007,8.88925,7.149935
9.292996,0.615868,5.202995
5.045958,7.444138,6.387754
4.782152,9.21513,7.193354
8.218574,9.775876,6.12616
6.993449,5.552948,5.010637
3.678404,9.516313,7.103202
5.453644,4.896245,6.012314
8.247202,1.30841,5.125932
1.200202,1.555761,6.490201
9.527127,1.91744,5.052152
1.389259,2.713274,6.290916
2.501278,0.886237,5.100118
3.977048,1.544533,5.409684
5.761214,7.037003,6.252014
7.805846,4.701463,5.060773
2.746851,5.740064,7.448073
9.498034,5.890196,5.453603
8.066313,6.968286,5.339198
4.046522,3.925989,6.36956
0.423808,9.030982,7.425146
8.125561,8.762376,6.187261
7.33797,6.293511,5.471585
9.492858,2.579028,5.391685
0.499575,9.117485,7.479436
6.610131,8.158626,6.136991
2.328349,5.679605,7.280033
0.076447,6.316389,7.005544
0.997291,9.305568,7.114739
1.813943,1.879461,6.364217
4.894602,1.05551,5.365662
7.02394,5.731961,5.021495
0.91485,3.2424,7.051579
