@relation tobs-averages

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
64.99,-163.1,-56
40.53,-105.89,-116
40.2333,-100.83,-183
39.49,-105.0953,-117
37.9492,-107.8736,-44
34.2183,-116.4072,17
30.5844,-97.4156,11
31.4072,-102.3578,-17
41.5975,-99.8258,-122
43.1878,-103.2372,-117
39.2775,-103.4958,-83
43.9611,-101.8606,-117
42.7256,-94.1953,-94
39.2453,-112.1067,-189
35.7,-105.81,-136
35.2622,-88.9892,0
37.85,-105.44,-175
39.19,-120.26,-13
38.0517,-102.1317,-139
39.61,-111.3,-87
42.73,-106.32,-55
35.9328,-88.7267,-11
47.0575,-109.9514,-6
30.6036,-92.7739,44
40.1347,-90.4792,-83
43.3456,-111.7847,-211
47.5689,-122.6828,-17
43.735,-99.312,-78
43.19,-122.14,-17
44.0981,-93.2308,-94
39.6811,-77.2914,-28
36.2114,-81.6442,-50
37.02,-106.45,-212
43.4867,-110.7614,-233
43.39,-110.13,-153
43.38,-109.88,-67
46.5172,-100.3486,-33
59.7667,-151.1667,-72
41.6042,-88.085,-56
42.5458,-72.7803,-100
41.7217,-84.2147,-89
40.72,-109.54,-45
40.0417,-78.5278,-50
45.8944,-69.9647,-117
36.9028,-82.0383,-89
44.4169,-71.5008,-100
37.72,-107.26,-168
41.9725,-73.2208,-89
40.23,-105.92,-148
38.5778,-110.7078,-89
43.735,-99.312,-78
64.9194,-147.9372,0
35.9886,-92.7161,11
35.6214,-88.8456,-6
40.3561,-110.2878,-228
39.1742,-86.5214,-61
48.52,-120.74,-64
43.0428,-112.4133,-183
40.4256,-105.2103,-122
59.08,-154.28,12
48.9672,-122.3292,-17
46.0544,-90.5217,-117
42.5522,-99.8556,-33
43.9758,-84.4908,-50
48.5153,-110.9711,-222
44.42,-121.86,-35
48.9081,-103.8056,-56
42.37,-95.575,-100
39.7086,-116.0494,-172
44.6917,-68.3475,-67
35.9086,-79.0794,-50
41.9244,-78.0072,-100
42.4686,-93.7972,-122
37.1786,-104.4869,-139
39.4047,-105.4767,-211
47.36,-121.57,-34
40.185,-105.8667,-133
44.3222,-93.9656,-94
37.8089,-107.6633,-83
30.0858,-91.8694,72
46.5742,-120.6008,-83
34.7281,-90.3683,6
39.1247,-97.7047,-106
45.9511,-86.2514,-117
36.1617,-81.8742,-56
40.93,-111.81,-35
39.3933,-81.2192,-61
46.5775,-109.9475,-89
47.2386,-68.6136,-139
41.8558,-87.6094,-22
44.1186,-89.5358,-111
31.4714,-88.2503,0
42.2269,-70.9125,-11
37.1997,-108.4892,-39
43.0161,-84.18,-56
43.2619,-89.735,-111
42.0944,-121.9022,-39
32.7483,-97.77,-17
48.0164,-123.5906,-33
40.5492,-88.95,-94
38.3197,-76.4525,44
40.3333,-76.4667,-39
35.9028,-103.5272,-83
39.7133,-90.2286,-83
39.2453,-112.1067,-189
31.0767,-82.8003,67
40.5711,-75.2781,-72
38.7978,-99.7231,-128
29.81,-99.2497,6
39.76,-105.91,-138
33.3953,-87.0078,61
41.38,-74.6847,-117
33.9378,-102.3447,-50
43.8,-121.95,-54
39.6553,-105.7089,-133
42.0786,-71.2381,-61
42.44,-105.86,-55
30.7586,-98.2339,-6
39.0642,-77.8883,-56
35.895,-82.8311,-56
39.4717,-76.1697,-33
34.6539,-120.4514,144
42.9108,-71.2008,-106
28.9797,-95.975,94
38.8711,-98.7053,-122
39.9578,-111.7794,-72
35.9117,-92.6564,6
44.4667,-115.5667,-217
35.7683,-119.26,-11
33.8228,-92.3989,6
34.2314,-87.6353,33
43.0581,-83.3606,-56
61.08,-146.3,37
38.4617,-76.6992,-50
43.2025,-85.2422,-33
43.645,-95.5803,-106
33.9364,-80.3569,-33
64.56,-164.29,-32
35.915,-81.5378,-33
36.2872,-88.2958,-33
35.6808,-78.9158,-50
34.2192,-102.7328,-89
36.4303,-114.5139,22
48.36,-119.08,-77
42.2972,-89.6039,-106
33.1461,-107.1842,-50
40.99,-111.82,-73
32.4514,-93.8417,39
46.8572,-95.6056,-56
37.0864,-80.1422,-67
35.1311,-76.9153,56
40.6864,-100.0536,-111
36.3458,-92.3939,-6
40.3917,-79.8594,-33
33.81,-110.92,-72
46.63,-114.58,-144
36.4381,-115.36,-44
44.79,-112.06,-107
38.8247,-106.1275,-183
44.49,-104.41,-9
36.5028,-84.5308,-61
34.8847,-99.2964,-61
38.6842,-102.1614,-150
42.9375,-88.0297,-94
37.8639,-94.0156,-78
35.1311,-76.9153,56
36.3897,-100.8239,-72
26.4986,-80.2161,217
47.3144,-106.9103,-94
44.1647,-72.6567,-83
64.9156,-148.2711,-117
45.73,-114.48,-98
31.9881,-81.9522,100
38.05,-111.34,-114
48.91,-114.77,-127
40.2472,-93.7158,-100
44.6197,-91.9794,-89
42.3964,-96.3778,-117
40.7819,-79.2375,-83
33.9153,-92.8267,17
42.7269,-88.2258,-72
37.8994,-86.7072,-11
37.8786,-95.7292,-72
43.7731,-108.5728,-94
37.7983,-122.2642,56
44.38,-116.34,-126
43.2389,-88.1222,-172
39.2872,-94.2225,-89
34.9381,-81.0317,50
58.1072,-135.4278,6
45.1758,-105.7517,-44
45.3011,-92.3631,-72
39.08,-107.14,-141
30.3011,-99.2681,-33
41.33,-77.7381,-61
39.3,-120.18,-74
48.3311,-96.8253,-94
36.9861,-94.3553,-44
35.3247,-78.6881,67
48.87,-121.79,13
42.0786,-71.2381,-61
45.1219,-95.9269,-61
33.8647,-117.8425,144
38.5458,-78.0981,-61
45.1872,-69.1839,-117
44.79,-112.06,-107
41.4086,-102.9661,-161
44.6392,-85.325,-56
40.3917,-79.8594,-33
39.32,-106.61,-179
39.6442,-74.8072,-50
43.7925,-75.4825,-94
44.2553,-72.6006,-50
40.155,-103.1417,-150
48.16,-113.95,-91
37.1025,-82.8047,-83
39.3886,-120.0936,-128
42.05,-122.85,25
42.52,-111.96,-77
21.3331,-157.8025,206
39.4286,-105.0703,-78
35.14,-112.15,-139
38.0047,-120.4864,-6
36.6214,-78.5506,-28
32.1225,-96.4867,11
33.2544,-100.5725,-67
35.3886,-106.5439,-67
44.95,-111.36,-140
36.8775,-89.6231,0
44.79,-111.71,-75
40.61,-109.89,-56
46.8372,-95.8372,-150
46.84,-112.51,-89
42.2031,-98.7467,-117
43.61,-113.93,-153
37.88,-107.36,-174
40.3589,-75.3222,-106
39.5633,-120.8239,11
43.2117,-91.0986,-22
40.5739,-74.8811,-83
46.1047,-110.05,-61
45.8944,-69.9647,-117
33.2097,-117.395,128
45.4803,-122.4664,-6
36.2472,-121.7803,122
29.4717,-95.0833,78
40.5019,-80.0833,-44
35.7597,-91.6386,6
39.8311,-96.1833,-117
44.5208,-101.6192,-67
40.89,-111.07,-104
42.0628,-88.2861,-94
48.7647,-114.2842,-261
44.0647,-107.3819,-78
38.4683,-102.2169,-150
37.2092,-112.9814,-28
43.3086,-114.0667,-239
43.1114,-100.6083,-106
44.21,-110.67,-133
38.2186,-83.1431,-72
36.6206,-90.8125,-6
37.8225,-107.1097,-161
43.6039,-116.5753,-122
40.1433,-91.5158,-83
38.3139,-81.7186,-56
48.37,-116.64,-81
40.7819,-79.2375,-83
38.3531,-98.7639,-117
44.8128,-71.8903,-56
43.6039,-116.5753,-122
44.4356,-121.9433,6
31.3336,-96.8581,22
44.6617,-111.0975,-294
48.82,-121.93,26
47.4289,-120.31,-106
41.58,-115.93,-128
47.8453,-121.9944,-28
34.3739,-81.0928,-17
21.4783,-158.1964,172
31.9556,-112.8003,67
43.4978,-100.4794,-67
29.1967,-81.0083,183
47.3389,-108.4983,-44
30.6036,-92.7739,44
34.6647,-83.7342,-28
44.0069,-72.3194,-111
35.78,-105.54,-129
29.9347,-90.1361,72
33.1144,-91.2628,44
45.1758,-105.7517,-44
37.3133,-122.185,28
41.2492,-97.1328,-128
48.1603,-90.8842,-94
44.6411,-90.1333,-111
42.7392,-78.5878,-83
41.8017,-74.74,-111
30.5347,-94.4456,44
33.1244,-94.1661,17
31.3747,-93.3911,17
39.8997,-113.7128,-167
42.6333,-91.8633,-111
44.54,-115.56,-147
36.9194,-104.4325,-83
42.3328,-75.2297,-61
34.5975,-113.1744,-39
37.9136,-104.9483,-106
28.1522,-82.7539,178
39.6842,-111.2056,-122
42.0283,-84.1108,-89
37.0856,-122.0797,67
