@relation bronx-averages

@attribute 40.81195 numeric
@attribute -73.919237 numeric
@attribute 371000 numeric

@data
40.713234,-73.873999,111249
40.819137,-73.887418,369000
40.84482,-73.857337,400000
40.865752,-73.858472,1200000
40.852897,-73.831511,557500
40.880947,-73.897237,10
40.848241,-73.833893,530000
40.833348,-73.875196,440000
40.841944,-73.828716,435000
40.894172,-73.9094,402500
40.865597,-73.854957,510000
40.890186,-73.841519,395000
40.870566,-73.870367,463453
40.713234,-73.873999,111249
40.835555,-73.859421,118000
40.881764,-73.897581,331743
40.848872,-73.865784,465000
40.863738,-73.869077,610950
40.852376,-73.857857,180000
40.840787,-73.927115,390500
40.839689,-73.867684,400000
40.825967,-73.898059,243000
40.871749,-73.90047,287000
40.883082,-73.835897,462000
40.864886,-73.892367,5700000
40.841044,-73.861078,91000
40.868446,-73.835858,560000
40.841644,-73.870247,330000
40.831105,-73.86908,43000
40.866791,-73.887166,420000
40.856153,-73.888018,1240000
40.834697,-73.909904,160000
40.85134,-73.853718,510000
40.885406,-73.914471,522500
40.883302,-73.837433,625000
40.890795,-73.844101,399000
40.868074,-73.885111,103000
40.875471,-73.885213,200000
40.826011,-73.917377,1200000
40.866037,-73.902365,6475000
40.806061,-73.92417,157500
40.850116,-73.902526,225000
40.847646,-73.918952,3528928
40.853356,-73.882521,1100000
40.904807,-73.904363,610000
40.837985,-73.858483,110000
40.735208,-73.881592,2113333
40.832074,-73.890094,420000
40.839906,-73.924699,95000
40.83403,-73.911256,165000
40.876157,-73.902121,474000
40.818014,-73.920053,35000
40.858042,-73.902278,2650000
40.88997,-73.912511,355000
40.865082,-73.851376,282000
40.821069,-73.904144,565000
40.854199,-73.894604,327600
40.843693,-73.832554,730000
40.868571,-73.862957,78000
40.833497,-73.912208,519750
40.891939,-73.831628,469000
40.876215,-73.845169,200000
40.849358,-73.865045,750000
40.616297,-74.099703,235500
40.856381,-73.892455,1350000
40.884178,-73.897478,10215000
40.853463,-73.833341,640000
40.85006,-73.849288,410000
40.87745,-73.902226,410000
40.879398,-73.908169,450000
40.831441,-73.916525,510000
40.85559,-73.853606,550000
40.837353,-73.858548,20000
40.821601,-73.846455,390000
40.855772,-73.883726,900000
40.875974,-73.836503,481940
40.864671,-73.837267,520000
40.874903,-73.869563,490000
40.844264,-73.890256,300000
40.853645,-73.852489,655000
40.861903,-73.862436,272000
40.836563,-73.869713,830000
40.84579,-73.824326,530000
40.833967,-73.868485,220000
40.85037,-73.911924,412500
40.83771,-73.832101,378000
40.906899,-73.902947,715000
40.832773,-73.930725,320000
40.872276,-73.845592,370000
40.847156,-73.830525,600000
40.862318,-73.901828,535000
40.857361,-73.8876,325000
40.823174,-73.853617,350000
40.834435,-73.918442,8100000
40.819629,-73.908076,400000
40.882452,-73.896702,150000
40.82608,-73.910212,100
40.838086,-73.829992,357500
40.840654,-73.820241,431000
40.832498,-73.894702,195000
40.848436,-73.884407,240000
40.810961,-73.920019,195000
40.86511,-73.888969,491660
40.829152,-73.894636,360000
40.852472,-73.859959,324000
40.870831,-73.842407,350000
40.848008,-73.790572,395000
40.818205,-73.88582,2130000
40.832043,-73.896207,472000
40.876484,-73.918735,231696
40.878032,-73.917004,235000
40.85941,-73.836507,688000
40.829819,-73.923163,30000000
40.862006,-73.868457,9700000
40.867267,-73.846818,360000
40.881764,-73.897581,331743
40.874401,-73.850802,305500
40.814157,-73.864449,499000
40.870163,-73.900974,565000
40.864951,-73.84464,460000
40.850938,-73.834476,430000
40.862089,-73.901999,520000
40.864395,-73.846534,360000
40.840654,-73.820241,431000
40.848677,-73.89983,2100000
40.844736,-73.788436,449000
40.83078,-73.914816,4915000
40.861989,-73.902045,520000
40.854804,-73.892904,658620
40.810808,-73.930485,1325000
40.869112,-73.84857,385000
40.890318,-73.839129,330000
40.868163,-73.896539,5750000
40.908985,-73.898139,650000
40.825042,-73.881492,464000
40.828795,-73.882222,218500
40.838989,-73.824452,485000
40.84296,-73.831347,430000
40.88429,-73.830916,1600000
40.889611,-73.9173,1440000
40.811989,-73.861441,315000
40.817233,-73.88599,470000
40.830913,-73.86098,490000
40.823897,-73.84584,423000
40.897216,-73.906414,1675000
40.84128,-73.856918,85000
40.83711,-73.836406,500000
40.883331,-73.847795,610844
40.888166,-73.903691,350000
40.855126,-73.896668,925000
40.871532,-73.891639,1800000
40.846719,-73.817637,525000
40.805456,-73.934544,389000
40.869973,-73.888061,540000
40.906687,-73.899144,384000
40.842014,-73.869181,515000
40.88559,-73.908358,135000
40.836873,-73.835678,322500
40.901234,-73.90651,180000
40.839689,-73.867684,400000
40.841225,-73.92161,135000
40.816978,-73.887475,12950000
40.855291,-73.891703,455000
40.869266,-73.866059,500
40.858497,-73.907249,162500
40.846914,-73.905829,561069
40.834309,-73.88813,240000
40.845973,-73.865135,500
40.854965,-73.892735,692258
40.888697,-73.912154,999000
40.875894,-73.854203,300000
40.871171,-73.837949,469000
40.889095,-73.903335,249833
40.868553,-73.864647,417336
40.878759,-73.902356,119000
40.88389,-73.903195,527000
40.861739,-73.895717,3154991
40.840463,-73.817496,490000
40.856553,-73.850168,535000
40.85611,-73.869369,185000
40.834574,-73.909975,335000
40.857169,-73.897645,2700000
40.815534,-73.919629,1493862
40.870814,-73.892595,265000
40.879399,-73.878023,125000
40.866862,-73.851616,90000
40.86988,-73.862135,42000
40.82989,-73.899066,500
40.831474,-73.910836,1125000
40.818345,-73.860046,445000
40.827591,-73.876712,330000
40.854114,-73.851721,425000
40.852728,-73.911703,375000
40.846885,-73.831388,350000
40.846817,-73.787077,455000
40.849685,-73.860511,397500
40.823174,-73.853617,350000
40.838989,-73.824452,485000
40.87977,-73.833312,550000
40.910965,-73.906392,835000
40.874627,-73.847478,365000
40.830237,-73.88115,375000
40.869615,-73.836514,190000
40.844498,-73.827031,683000
40.830538,-73.869652,505000
40.886901,-73.82937,600000
40.830045,-73.913778,2250000
40.896306,-73.897883,656000
40.818477,-73.900378,410000
40.879139,-73.834116,306000
40.83771,-73.832101,378000
40.814151,-73.89141,105100
40.852871,-73.88377,316800
40.848673,-73.860322,336020
40.856153,-73.888018,1240000
40.831105,-73.86908,43000
40.841975,-73.826453,51500
40.844085,-73.833503,335000
40.81807,-73.888123,135000
40.874469,-73.863011,325000
40.818256,-73.851814,383870
40.853908,-73.828986,780000
40.832105,-73.859665,79500
40.857039,-73.897703,2950000
40.870132,-73.848241,220000
40.847242,-73.856367,323000
40.877254,-73.852608,370000
40.910965,-73.906392,835000
40.897216,-73.906414,1675000
40.831164,-73.863627,252000
40.878899,-73.89791,550000
40.860424,-73.913568,460000
40.881717,-73.920898,415000
40.86513,-73.906824,130250
40.850938,-73.834476,430000
40.878966,-73.847819,214825
40.801178,-73.914752,222000
40.840317,-73.83513,520000
40.849747,-73.835147,255461
40.841211,-73.829496,489000
40.815902,-73.898806,1
40.879676,-73.921698,225500
40.875974,-73.836503,481940
40.852722,-73.867075,104666
40.855348,-73.885165,469000
40.807247,-73.857371,175000
40.838294,-73.900069,377500
40.869607,-73.849258,200000
40.850722,-73.861481,550000
40.858967,-73.896916,450000
40.844856,-73.865635,520000
40.872673,-73.846825,10
40.868757,-73.854372,309000
40.848586,-73.897467,20000
40.84557,-73.814672,365000
40.840184,-73.870215,349450
40.859998,-73.900132,1000000
40.856883,-73.885703,2650000
40.881717,-73.920898,415000
40.834574,-73.909975,335000
40.848146,-73.857769,375000
40.882659,-73.911244,343750
40.830358,-73.916518,595000
40.867267,-73.846818,360000
40.876475,-73.886552,320000
40.828523,-73.892208,215000
40.869852,-73.888271,240000
40.868074,-73.885111,103000
40.895013,-73.90635,875000
40.882343,-73.894896,183000
40.848872,-73.865784,465000
40.860196,-73.914228,390000
40.852334,-73.856019,440000
40.826532,-73.896293,90000
40.86379,-73.893214,1
40.883653,-73.914577,175000
40.85514,-73.889954,325000
40.874913,-73.847011,429000
40.844615,-73.892228,650000
40.89002,-73.838462,500
40.820765,-73.906622,190000
40.819629,-73.908076,400000
40.814673,-73.849408,291771
40.883695,-73.89802,580000
40.810827,-73.904091,167010
40.882487,-73.921464,428666
40.871532,-73.891639,1800000
40.844125,-73.9052,185000
40.861187,-73.83712,125000
40.895013,-73.90635,875000
40.847646,-73.918952,3528928
40.825782,-73.905465,559212
40.849623,-73.922448,450000
40.827327,-73.85283,525000
40.883814,-73.837661,352000
40.817233,-73.88599,470000
40.845531,-73.784846,455200
40.845827,-73.78317,410000
40.839259,-73.912698,18700000
40.866833,-73.862251,465000
40.810306,-73.855142,335000
40.883964,-73.908739,307675
40.839227,-73.863464,250000
40.835972,-73.860701,90000
40.888052,-73.916296,295714
40.873407,-73.902241,580000
40.847485,-73.894045,202808
40.83525,-73.827853,540000
40.829625,-73.866364,425000
40.880947,-73.897237,10
40.852376,-73.857857,180000
40.864951,-73.84464,460000
40.81302,-73.858486,318000
40.846905,-73.817058,510000
40.873645,-73.847349,190000
40.829226,-73.88963,382000
40.856381,-73.892455,1350000
40.872058,-73.836226,350000
40.832258,-73.895858,477146
40.815902,-73.898806,1
40.841187,-73.856175,165675
40.83667,-73.865588,129999
40.86095,-73.902951,1000
40.831197,-73.913948,2500000
40.85139,-73.787313,355500
40.805456,-73.934544,389000
40.829949,-73.917392,3240000
40.825069,-73.876678,507000
40.806825,-73.91961,325000
40.809446,-73.881874,1975000
40.838066,-73.854766,117500
40.810306,-73.855142,335000
40.835812,-73.910882,250000
40.892459,-73.834112,200000
40.834577,-73.820681,220000
40.86526,-73.861163,750000
40.829152,-73.894636,360000
40.866862,-73.851616,90000
40.844765,-73.887418,511600
40.861241,-73.896667,4300000
40.905161,-73.906534,120000
40.826245,-73.84512,395200
40.825989,-73.925512,120000
40.881717,-73.920898,415000
40.850898,-73.859914,420000
40.834736,-73.926016,450000
40.89099,-73.844175,90000
40.878759,-73.902356,119000
40.827591,-73.876712,330000
40.887636,-73.832045,315000
40.817294,-73.889148,210000
40.831164,-73.863627,252000
40.872058,-73.836226,350000
40.817233,-73.88599,470000
40.82488,-73.923424,185333
40.854754,-73.842917,420000
40.825543,-73.925471,180110
40.883447,-73.892737,159489
40.813151,-73.91629,733000
40.842102,-73.82386,250000
40.816974,-73.894637,505000
40.852334,-73.856019,440000
40.871171,-73.837949,469000
40.84128,-73.856918,85000
40.829745,-73.914414,20084625
40.867143,-73.866591,345000
40.874469,-73.863011,325000
40.896306,-73.897883,656000
40.882792,-73.83627,499000
40.906661,-73.911915,1331000
40.854777,-73.88434,468500
40.845531,-73.784846,455200
40.871749,-73.90047,287000
40.854114,-73.851721,425000
40.847337,-73.827511,610000
40.848146,-73.857769,375000
40.833301,-73.90928,1100000
40.90917,-73.905604,264563
40.879629,-73.8396,286200
40.887081,-73.909311,314000
40.829992,-73.916322,640000
40.869526,-73.888835,150000
40.83525,-73.827853,540000
40.882862,-73.908728,320000
40.828225,-73.914663,301875
40.837273,-73.865256,80000
40.851172,-73.900713,35000
40.831933,-73.903065,235000
40.851741,-73.90622,319000
40.879629,-73.8396,286200
40.857361,-73.8876,325000
40.8776,-73.899151,385000
40.855061,-73.829951,134070
40.878171,-73.852467,580000
40.832907,-73.86496,410000
40.882333,-73.919395,287500
40.861488,-73.903484,2231928
40.844734,-73.850538,460000
40.859225,-73.908171,260000
40.828578,-73.914946,1300000
40.885647,-73.896056,500
40.86095,-73.902951,1000
40.819574,-73.886871,340000
40.821416,-73.927954,2300000
40.835333,-73.862278,800000
40.888472,-73.912566,310000
40.879739,-73.920381,293000
40.847364,-73.86061,192500
40.829819,-73.923163,30000000
40.871699,-73.90318,395100
40.849867,-73.861285,540000
40.810845,-73.849997,88000
40.844736,-73.788436,449000
40.819735,-73.908031,482000
40.871699,-73.90318,395100
40.846697,-73.891462,200000
40.887276,-73.908941,779125
40.864022,-73.860893,473000
40.818084,-73.888029,295000
40.878218,-73.838466,537000
40.849514,-73.859947,544000
40.874913,-73.847011,429000
40.745626,-73.946122,6100000
40.802813,-73.914553,1900000
40.861488,-73.903484,2231928
40.848667,-73.834399,500
40.837715,-73.831689,480000
40.870831,-73.842407,350000
40.845449,-73.851256,376600
40.856153,-73.888018,1240000
40.854979,-73.892012,393600
40.848586,-73.897467,20000
40.841044,-73.861078,91000
40.871167,-73.884582,445000
40.869388,-73.900955,270000
40.816846,-73.857447,337500
40.892206,-73.843684,323850
40.882819,-73.889774,3750
40.811725,-73.860997,403800
40.880652,-73.843499,341000
40.809446,-73.881874,1975000
40.848241,-73.833893,530000
40.869852,-73.888271,240000
40.826215,-73.875069,190000
40.863236,-73.856119,755000
40.841748,-73.856598,83000
40.843923,-73.908881,85000
40.903322,-73.898598,500000
40.862668,-73.907977,10500000
40.832364,-73.92733,37000
40.833826,-73.820473,385000
40.845553,-73.849153,430000
40.854614,-73.900908,5850000
40.883149,-73.916586,220000
40.849235,-73.919324,360000
40.881038,-73.844404,463290
40.80945,-73.856034,33000
40.879041,-73.916103,156000
40.843693,-73.832554,730000
40.84296,-73.831347,430000
40.890795,-73.844101,399000
40.841975,-73.826453,51500
40.84832,-73.829508,800000
40.847337,-73.827511,610000
40.836192,-73.829506,396000
40.890592,-73.830503,290000
40.846697,-73.891462,200000
40.903721,-73.898046,780000
40.887636,-73.832045,315000
40.870163,-73.900974,565000
40.87067,-73.835957,545000
40.835812,-73.910882,250000
40.82488,-73.923424,185333
40.845656,-73.833318,165000
40.847099,-73.848629,575000
40.832167,-73.815911,635000
40.848818,-73.832019,440000
40.845333,-73.816832,350000
40.850212,-73.895923,500
40.857134,-73.896379,1925000
40.846963,-73.890791,315000
40.89002,-73.838462,500
40.833755,-73.819853,395000
40.839601,-73.834834,576728
40.842014,-73.869181,515000
40.879399,-73.878023,125000
40.821207,-73.895409,9216513
40.81399,-73.859068,386281
40.844467,-73.857064,10
40.885187,-73.878887,2825000
40.852771,-73.892493,3100000
40.883447,-73.892737,159489
40.89012,-73.91343,265000
40.881038,-73.844404,463290
40.831164,-73.863627,252000
40.843277,-73.78847,34000
40.837252,-73.912099,5202112
40.869852,-73.888271,240000
40.832105,-73.859665,79500
40.833322,-73.899205,125000
