@relation brooklyn-averages

@attribute 40.605399 numeric
@attribute -74.009188 numeric
@attribute 1015000 numeric

@data
40.684965,-73.940336,865000
40.687246,-73.93704,90000
40.607552,-74.008129,537500
40.622463,-73.93428,900000
40.603591,-74.00369,420000
40.686072,-73.953193,1045000
40.786424,-73.951651,565000
40.74003,-74.009314,460000
40.634124,-74.021888,600000
40.606846,-74.005091,510000
40.682333,-73.940552,950000
40.62799,-73.99362,700000
40.598549,-73.998795,565000
40.690304,-73.936203,1375000
40.615287,-73.999791,1038000
40.775159,-73.951608,660000
40.686415,-73.946935,745000
40.634734,-74.031104,260500
40.682621,-73.94046,600000
40.770754,-73.960311,272702
40.630322,-74.015997,1450000
40.68074,-73.941307,650000
40.631966,-73.98968,867000
40.677864,-73.924419,626000
40.773486,-73.955369,215000
40.644118,-73.998147,425000
40.693782,-73.956213,28600000
40.688743,-73.929605,1795835
40.684451,-73.924518,720000
40.686898,-73.926547,1125000
40.633925,-74.036242,160000
40.68871,-73.937311,10
40.712271,-73.997835,305000
40.692083,-73.940624,635000
40.686482,-73.924141,1300000
40.60637,-74.015599,1450000
40.685206,-73.934914,738231
40.68252,-73.985613,1600000
40.634322,-73.99322,25000000
40.622188,-74.000993,19012
40.615413,-73.989125,655000
40.634851,-74.027176,1205000
40.617238,-73.998161,530000
40.613435,-73.998767,715000
40.697603,-73.957958,500000
40.614481,-74.036916,289500
40.600837,-74.003618,945000
40.631129,-73.989464,141500
40.697808,-73.957731,446160
40.69126,-73.943656,125000
40.609558,-74.004272,1200000
40.685495,-73.928495,999000
40.693307,-73.957117,315433
40.67912,-73.936227,720000
40.692355,-73.931679,260000
40.628333,-73.98961,1900000
40.610116,-74.012393,640000
40.603061,-74.013934,765000
40.693378,-73.946833,771324
40.607297,-74.006566,1250000
40.680454,-73.939601,1575000
40.619345,-74.039867,259000
40.683967,-73.939344,1200000
40.637847,-73.983671,903000
40.604402,-74.005861,580000
40.76072,-74.002058,774000
40.687845,-73.99126,855000
40.604906,-74.017107,245000
40.686647,-73.9292,1330000
40.633118,-74.033758,1295000
40.689077,-73.943115,1450000
40.684807,-73.92811,680000
40.771284,-73.948105,840000
40.678331,-73.940766,265000
40.619909,-74.032757,1460000
40.633858,-73.98933,1120000
40.771114,-73.962336,875000
40.748448,-73.987931,2200000
40.613942,-74.035484,212500
40.63747,-73.981562,1200000
40.787057,-73.975018,10
40.779991,-73.950805,820000
40.687672,-73.946497,50000
40.603756,-74.016157,250000
40.613487,-73.989406,1010000
40.61372,-73.98756,875000
40.685968,-73.993773,1545000
40.600622,-74.005581,200000
40.619279,-73.988517,688888
40.612845,-74.005281,700000
40.682171,-73.941944,220005
40.691292,-73.943368,250000
40.630844,-73.981151,1100000
40.60412,-74.010552,750000
40.603818,-74.017184,231437
40.633252,-73.98966,1500000
40.798706,-73.972092,450000
40.688563,-73.958148,350000
40.693897,-73.946864,499000
40.67973,-73.925743,1400000
40.627906,-73.9148,620000
40.778197,-73.981414,375333
40.68498,-73.943596,1200000
40.689302,-73.94479,940000
40.619954,-73.986237,950000
40.637671,-74.030825,202666
40.611503,-74.004581,1180000
40.687754,-73.958866,940000
40.767458,-73.996446,1153333
40.677743,-73.924384,660000
40.618455,-73.908928,750000
40.75362,-73.974049,308500
40.778819,-73.978651,1
40.689878,-73.940247,699225
40.683266,-73.947881,900000
40.680015,-73.952486,1605000
40.629281,-74.03782,2175000
40.627262,-73.993404,1350000
40.690097,-73.940769,990000
40.61274,-73.975752,599000
40.686059,-73.953895,1100000
40.617002,-73.90638,752500
40.636308,-73.985654,285000
40.680748,-73.937411,8000000
40.634026,-74.030679,150750
40.615844,-74.022595,1300000
40.693283,-73.943279,910000
40.688536,-73.954337,999000
40.769653,-73.948355,779000
40.766207,-73.997349,571335
40.690102,-73.943047,695000
40.679967,-73.93775,1300000
40.682845,-73.925745,1175000
40.622907,-73.914254,558000
40.689847,-73.94052,10
40.619171,-73.979876,1400000
40.683086,-73.935328,1100000
40.635976,-73.986613,970616
40.689276,-73.941443,500000
40.689817,-73.940791,1160000
40.687703,-73.946116,865000
40.622287,-73.98884,1250000
40.713697,-73.979608,785000
40.626631,-73.981808,750000
40.687797,-73.945048,1690000
40.691746,-73.943546,235000
40.605338,-74.016851,203000
40.695785,-73.947665,925000
40.604228,-74.017988,230000
40.633746,-74.022162,1050000
40.63822,-73.979227,4500000
40.609024,-74.012379,1130000
40.771931,-73.963706,1330000
40.608857,-74.014414,380000
40.608351,-74.007344,745000
40.687125,-73.938119,434845
40.691595,-73.959088,772600
40.631445,-74.015563,960000
40.758277,-74.000126,656500
40.74643,-73.889444,1165000
40.685736,-73.92383,615000
40.618078,-74.027452,238000
40.688542,-73.93811,150000
40.618555,-73.981033,999000
40.682614,-73.927475,1350000
40.60534,-74.009986,768000
40.686842,-73.95058,700000
40.600951,-74.006016,699000
40.681697,-73.933013,1026841
40.685227,-73.97857,780000
40.694502,-73.932733,1050000
40.605495,-74.009237,1360000
40.687488,-73.934896,645000
40.687946,-73.927345,1450000
40.688687,-73.924469,778961
40.681394,-73.94468,1940000
40.619079,-73.977304,864500
40.599599,-73.998295,607691
40.690493,-73.943841,215000
40.613302,-74.009972,925000
40.636272,-74.036469,380000
40.687479,-73.924614,999000
40.683159,-73.92291,600000
40.680277,-73.95715,465000
40.692841,-73.940548,956000
40.620422,-74.038307,190000
40.612906,-74.033212,10
40.682091,-73.94262,180000
40.618939,-74.039156,387850
40.696013,-73.96125,679260
40.637587,-73.981872,693000
40.690553,-73.947052,880000
40.768268,-73.874601,480000
40.770412,-73.948034,242000
40.610663,-73.987302,1330000
40.711371,-73.995136,1200500
