@relation brooklyn-averages

@attribute 40.605399 numeric
@attribute -74.009188 numeric
@attribute 1015000 numeric

@data
40.622463,-73.93428,900000
40.691968,-73.951079,689500
40.693911,-73.933709,830000
40.635649,-74.027888,785000
40.636863,-73.994123,499000
40.619288,-74.021208,1225000
40.62015,-73.983647,1080000
40.618555,-73.981033,999000
40.619606,-74.03878,150000
40.602427,-74.009096,220000
40.681811,-73.941322,1210000
40.607216,-74.008021,490000
40.611429,-74.011507,855000
40.618762,-73.910959,538000
40.777649,-73.959245,1125000
40.771054,-73.947488,800000
40.625678,-73.979461,192500
40.690009,-73.951906,580000
40.689042,-73.928032,899000
40.681035,-73.945301,1440000
40.627722,-74.01403,980000
40.688543,-73.990484,655000
40.640198,-73.980294,18000
40.688687,-73.924469,778961
40.689014,-73.934682,880000
40.683244,-73.941013,240000
40.630755,-73.981581,550000
40.601428,-74.005525,775000
40.68382,-73.947186,2100000
40.603802,-74.016039,225000
40.746383,-73.889434,790000
40.611503,-74.004581,1180000
40.765514,-73.952721,790880
40.627526,-73.990772,749000
40.765806,-73.961436,10
40.683439,-73.946398,1500000
40.694711,-73.949416,1150000
40.74643,-73.889444,1165000
40.691223,-73.935086,350000
40.632388,-74.024145,242500
40.685917,-73.955097,710000
40.680106,-73.955262,2156920
40.691229,-73.943923,725000
40.690141,-73.933948,1300000
40.687851,-73.988701,2906000
40.606627,-74.010173,287660
40.608807,-73.991982,725000
40.6201,-73.983562,1375000
40.690842,-73.93185,935000
40.627722,-74.01403,980000
40.763056,-73.999581,678505
40.694042,-73.945843,965000
40.620241,-73.979701,574333
40.684039,-73.938727,264858
40.627392,-74.002505,570000
40.605568,-74.001214,745000
40.632243,-74.020116,10700000
40.690101,-73.938286,3131500
40.771121,-73.993788,758333
40.622032,-73.988426,1070000
40.679131,-73.936446,310000
40.684215,-73.939626,900000
40.771545,-73.994202,295006
40.694711,-73.949416,1150000
40.601571,-74.010498,110000
40.684856,-73.934146,88000
40.770754,-73.960311,272702
40.772134,-73.993639,984000
40.800675,-73.951129,700000
40.621766,-73.986515,700000
40.685629,-73.927351,1430000
40.691279,-73.95815,220000
40.638979,-74.002674,1360000
40.776045,-73.947336,5700000
40.686734,-73.983465,1200000
40.766828,-73.996905,689690
40.73011,-73.991029,439802
40.628196,-73.984844,2480000
40.629082,-74.021362,935000
40.622463,-73.93428,900000
40.601283,-73.997745,560000
40.695715,-73.944148,16500000
40.694528,-73.951272,10000
40.621637,-73.999055,813600
40.619297,-73.907795,520000
40.693101,-73.951295,1100000
40.748448,-73.987931,2200000
40.684655,-73.935905,1410000
40.770686,-73.963992,758000
40.623037,-74.040313,350000
40.622101,-74.028237,108000
40.769935,-73.994538,458328
40.626598,-73.988279,900000
40.617002,-73.90638,752500
40.623485,-73.907592,430000
40.691953,-73.928859,550000
40.62858,-73.981914,1700000
40.690723,-73.958845,4650000
40.712,-73.995238,1350000
40.692907,-73.942497,3500000
40.691252,-73.943723,450000
40.697603,-73.957958,500000
40.607806,-74.000928,950000
40.612567,-73.977218,910000
40.781955,-73.945689,680000
40.686898,-73.926547,1125000
40.623963,-73.976245,576500
40.763464,-73.96694,400000
40.627526,-73.990772,749000
40.622587,-73.99857,800000
40.634302,-73.98611,1250000
40.800735,-73.950724,736000
40.683086,-73.935328,1100000
40.693101,-73.951295,1100000
40.636928,-73.99709,800000
40.605742,-74.008804,450000
40.682698,-73.933484,159000
40.771545,-73.994202,295006
40.62045,-74.026157,940000
40.681557,-73.947264,1500000
40.682091,-73.94262,180000
40.603083,-74.005148,1127000
40.626874,-73.998827,980500
40.622101,-74.028237,108000
40.622817,-73.911617,687500
40.69218,-73.939563,925000
40.690109,-73.933214,970000
40.624923,-73.909506,350000
40.604228,-74.017988,230000
40.697131,-73.957732,525000
40.681236,-73.939535,1480000
40.61983,-73.982746,1800000
40.692879,-73.936089,245000
40.633798,-73.978111,400000
40.690231,-73.951502,1100000
40.768269,-73.874592,679800
40.612699,-73.999953,700000
40.692447,-73.951736,900000
40.605641,-73.997892,1180000
40.633858,-73.98933,1120000
40.763565,-73.966883,600000
40.774734,-73.948331,13319927
40.614319,-74.031702,201333
40.679285,-73.947349,10
40.711979,-73.995508,1212500
40.690368,-73.956541,250000
40.687183,-73.927237,1000000
40.682599,-73.927603,1410000
40.689245,-73.932689,950000
40.69418,-73.942911,1025000
40.769909,-73.994551,975000
40.694656,-73.957607,1200000
40.693054,-73.933931,325000
40.808521,-73.944481,387500
40.693897,-73.946864,499000
40.766726,-73.96336,1140000
40.624635,-73.910904,625000
40.622608,-73.977292,225000
40.805757,-73.947415,1750000
40.688687,-73.924469,778961
40.684831,-73.94301,1550000
40.772158,-73.99362,1269966
40.630616,-73.981766,414667
40.777162,-73.978245,510
40.605276,-74.008013,1250000
40.67938,-73.941007,707500
40.690231,-73.951502,1100000
40.740029,-74.009314,10
40.772134,-73.993639,984000
40.692879,-73.936089,245000
40.60412,-74.010552,750000
40.600974,-73.995684,1300000
40.771121,-73.993788,758333
40.768638,-73.953937,1300000
40.689817,-73.940791,1160000
40.772926,-73.993672,627750
40.603449,-74.007024,825000
40.685677,-73.947031,1800000
40.686396,-73.957413,1100000
40.697884,-73.960055,375000
40.621482,-73.912168,411000
40.746368,-73.889431,920000
40.762571,-74.000276,1140000
40.616608,-74.035255,291166
40.617581,-73.994791,776000
40.687946,-73.927345,1450000
40.683341,-73.986322,851500
40.712461,-73.983867,1102117
40.763056,-73.999581,678505
40.769935,-73.994538,458328
40.682408,-73.939896,1635000
40.691223,-73.935086,350000
40.694958,-73.944213,10
40.629815,-74.007333,990000
40.644199,-73.994016,750000
40.605199,-74.012753,720000
40.678222,-73.928018,760000
40.800675,-73.951129,700000
40.682458,-73.939458,325000
40.625958,-74.0323,295000
40.787071,-73.97015,895000
40.694958,-73.944213,10
40.601691,-73.989259,850000
40.679296,-73.939505,600000
40.621766,-73.986515,700000
40.626609,-74.030082,970000
40.711943,-73.995397,425000
40.685291,-73.929244,975000
40.687703,-73.946116,865000
40.61318,-73.999829,960000
40.68875,-73.950076,999000
40.681035,-73.945301,1440000
40.686164,-73.952966,1349000
40.613296,-74.026491,699000
40.614117,-74.025249,1200000
40.614319,-74.031702,201333
40.765514,-73.952721,790880
40.692502,-73.932813,900000
40.778197,-73.981414,375333
40.683966,-73.943118,900000
40.620422,-74.038307,190000
40.629983,-74.014787,1500000
40.601758,-73.994363,340000
40.607593,-74.005025,1310000
40.620471,-73.995742,675000
40.774941,-73.944767,1500000
40.690393,-73.938143,1150000
40.694776,-73.949846,540000
40.645045,-73.99462,600000
40.621314,-73.986644,749000
40.692811,-73.938739,1275000
40.602044,-73.995176,216250
40.620063,-74.038305,242500
40.692178,-73.935653,215000
40.68367,-73.956435,760000
40.76072,-74.002058,774000
40.684545,-73.934371,1200500
40.686175,-73.943168,723000
40.628229,-73.998047,810000
40.684356,-73.925384,940000
40.691229,-73.943923,725000
40.683805,-73.936913,1085000
40.602427,-74.009096,220000
40.688422,-73.952821,1250000
40.609024,-74.012379,1130000
40.683439,-73.946398,1500000
40.680204,-73.933145,1495000
40.69436,-73.942854,5248853
40.608276,-73.994025,850000
40.68074,-73.941307,650000
40.607806,-74.000928,950000
40.629873,-74.023819,775000
40.762198,-73.968221,100
40.800259,-73.951083,1900000
40.621766,-73.986515,700000
40.600526,-73.999818,148000
40.746941,-73.884757,490000
40.618915,-74.036152,1700000
40.634847,-74.036407,232000
40.678828,-73.949446,1950000
40.632476,-73.980819,1243250
40.620829,-73.99888,1200000
40.694505,-73.945662,1195000
40.600526,-73.999818,148000
40.685126,-73.925293,5000
40.624767,-73.907602,625000
40.678658,-73.9362,820000
40.691699,-73.942996,900000
40.688605,-73.944705,2672679
40.692047,-73.949999,150000
40.692699,-73.944332,450000
40.679761,-73.940227,2400000
40.61428,-74.001608,1160000
40.636179,-74.0255,5717000
40.625739,-73.993895,1800000
40.694776,-73.949846,540000
40.633512,-74.026659,386500
40.689678,-73.944325,275000
40.694962,-73.957196,450000
40.611429,-74.011507,855000
40.686418,-73.944029,1020000
40.603449,-74.007024,825000
40.601434,-73.99834,770000
40.688763,-73.936853,655000
40.6892,-73.933622,819691
40.689022,-73.941201,915000
40.694042,-73.945843,965000
40.603818,-74.017184,231437
40.68108,-73.947393,1357000
40.599599,-73.998295,607691
40.634508,-73.982648,250000
40.68879,-73.952023,1200000
40.771121,-73.993788,758333
40.741154,-73.983259,999999
40.617103,-74.038149,330000
40.632251,-73.981026,800000
40.769909,-73.994551,975000
40.635331,-74.035643,750000
40.681811,-73.941322,1210000
40.678658,-73.9362,820000
40.693374,-73.951859,200000
40.644118,-73.998147,425000
40.763664,-73.956115,950000
40.60392,-74.016547,360000
40.774734,-73.948331,13319927
40.627697,-74.037879,10
40.774734,-73.948331,13319927
40.691972,-73.950665,999999
40.688543,-73.990484,655000
40.772904,-73.993614,10
27.962342,-82.802037,1175000
40.618078,-74.027452,238000
40.691591,-73.954854,828000
40.689079,-73.956971,467604
40.629481,-73.983534,500000
40.765575,-73.997808,3200000
40.639446,-73.987125,990000
40.637671,-74.030825,202666
40.611659,-73.989554,770000
40.766661,-73.963767,1
40.627453,-73.989728,975000
40.614117,-74.025249,1200000
40.602522,-73.990623,1150000
40.68879,-73.952023,1200000
40.643369,-74.000919,15800000
