@relation dublin-2010-averages

@attribute 53.26141399999999 numeric
@attribute -6.1643517 numeric
@attribute 230000 numeric

@data
31.960793,34.940017,1391333
53.286994,-6.282078,814977
53.471449,-6.241149,210000
53.361675,-6.248864,193000
53.277153,-6.116602,515000
53.320372,-6.304156,240500
53.326721,-6.265852,190850
53.396322,-6.178816,129500
53.328027,-6.423531,137000
53.307143,-6.371586,78500
53.463537,-6.246684,136500
51.91598,-8.478645,145000
53.284894,-6.159984,305000
53.272117,-6.318691,216250
53.368397,-6.260282,350000
53.272057,-6.316111,365638
53.217003,-6.217425,125000
53.28174,-6.355187,230000
53.399973,-6.153721,125000
53.292831,-6.254775,280000
53.445596,-6.139066,750000
53.384089,-6.307626,220000
53.279124,-6.422392,260000
53.337128,-6.352622,365000
53.270467,-6.333037,123727
52.655711,-8.562661,216750
53.31558,-6.246787,270000
53.375516,-6.219208,95000
53.284732,-6.177896,210000
53.24784,-6.179769,570000
51.912508,-8.488387,140000
53.271218,-6.138168,330000
53.275511,-6.310898,345000
53.275093,-6.228868,460000
53.353406,-6.250155,240000
53.355669,-6.237105,160000
53.298188,-6.237767,475000
53.297008,-6.268431,165000
52.650493,-7.232815,100000
53.208017,-6.123526,276000
53.391314,-6.36738,137500
53.324674,-6.269451,320000
53.299397,-6.1947,140000
53.29778,-6.180813,617500
53.313735,-6.407983,200000
53.396485,-6.444771,500000
53.30389,-6.262711,146875
53.311439,-6.353475,45000
53.523891,-6.166517,126000
53.375656,-6.222392,176116
53.280354,-6.27081,300000
53.405653,-6.296563,216000
53.28091,-6.159005,148500
53.343652,-6.367993,220000
53.291197,-6.128652,171250
53.404107,-6.419322,295000
53.366172,-6.219264,93400
53.287067,-6.176641,160000
53.273532,-6.248224,158590
53.447881,-6.140884,645000
53.236912,-6.124408,10000
53.184928,-6.110927,375000
53.895433,-6.802715,115000
53.379164,-6.368789,260000
53.295856,-6.296638,57000
53.316713,-6.274599,500000
53.22864,-6.125804,472500
53.321015,-6.415253,300000
53.392297,-6.280347,320000
53.375358,-6.174249,210000
53.36172,-6.308767,280000
53.264485,-6.148816,3924143
53.381906,-6.399744,205000
53.285026,-6.154108,110000
53.297782,-6.492523,270000
53.348996,-6.274733,125000
53.364279,-6.184907,260000
53.471055,-6.236213,277000
53.287988,-6.209095,300000
53.311453,-6.304299,276250
53.377144,-6.396643,136564
53.390882,-6.301343,70000
53.35646,-6.270262,241000
53.334324,-6.299083,170250
53.311439,-6.289704,269000
53.323328,-6.266123,550000
53.309199,-6.213315,551000
53.40315,-6.42082,185903
53.297808,-6.321995,340000
53.341326,-6.232441,93000
53.396165,-6.213625,309691
53.319644,-6.301588,200000
53.348174,-6.45085,168000
53.342079,-6.364679,250000
53.382638,-6.229017,114537
53.300743,-6.246376,470000
53.280385,-6.229514,460000
53.97814,-6.392177,115000
53.266583,-6.211441,140969
53.310489,-6.284358,323000
53.297669,-6.295724,333951
53.392246,-6.315674,102000
53.262915,-6.11514,370000
53.33805,-6.376065,195000
53.451889,-6.205853,340000
53.304113,-6.369115,170000
53.349498,-6.277072,197000
53.382902,-6.22337,166802
53.373353,-6.236355,190000
53.349805,-6.26031,203451
53.313224,-6.27955,175000
53.277648,-6.484394,277533
53.191436,-6.131231,440000
53.444767,-6.23142,233000
53.248338,-6.180927,220264
53.337314,-6.355745,334000
53.380716,-6.407544,140000
53.35601,-6.270421,190308
53.445629,-6.197912,157042
53.281741,-6.429685,240000
53.351038,-6.412338,250000
53.536219,-6.094071,280000
53.287221,-6.304441,200000
53.283124,-6.259604,175000
53.33725,-6.355101,250000
53.39522,-6.372942,222500
53.333001,-6.278426,475000
53.273767,-6.179145,440000
51.886426,-8.473913,40000
53.376542,-6.175907,103000
53.297606,-6.295431,102703
53.284836,-6.389482,170000
53.303742,-6.366697,240000
53.38147,-6.0592,620000
53.35664,-6.266077,248500
53.242592,-6.126265,245000
53.349956,-6.459814,142500
53.286009,-6.380192,238000
51.92542,-8.478552,250000
53.613429,-6.21154,148898
53.296021,-6.494434,312776
53.276399,-6.300896,360000
53.612451,-6.20506,145000
53.383833,-6.149919,61000
53.278446,-6.193213,550000
53.394402,-6.169765,174500
53.404979,-6.417037,290000
53.401016,-6.232955,200000
53.274215,-6.135222,123000
53.278673,-6.482499,303500
53.269469,-6.151963,165000
53.275857,-6.143919,185000
53.327965,-6.320137,170000
53.366396,-6.196752,425000
53.384542,-6.385962,370000
53.337264,-6.292876,184250
53.357767,-6.227461,138061
53.341572,-6.30217,288000
53.287264,-6.11712,200000
53.381757,-6.408747,187500
53.392487,-6.242535,182071
53.395451,-6.425417,237000
53.348885,-6.274699,60000
53.279281,-9.017469,210000
53.286626,-6.175628,92000
53.348076,-6.258767,183500
53.254282,-6.217263,190000
53.381855,-6.411242,212000
53.281282,-6.36142,180000
53.363507,-6.287518,276500
53.361,-6.209283,255506
53.388101,-6.094845,256000
53.322356,-6.373736,185000
53.28641,-6.18336,700000
53.379282,-6.217621,120000
53.379386,-6.16387,225000
53.309971,-6.293697,871555
53.272387,-6.164705,478000
53.353781,-6.238431,280000
53.284531,-6.339086,920000
53.291422,-6.281102,441498
53.334837,-6.243391,211000
53.404307,-6.170432,234661
53.342781,-6.274664,470000
53.275669,-6.379016,170000
53.729851,-7.783044,165136
53.3768,-6.362375,195167
53.523826,-7.303399,79295
53.382827,-6.369394,100000
53.381235,-6.230389,250000
53.209202,-6.115395,94000
53.33816,-6.460673,216750
53.293738,-6.25987,285000
53.210194,-6.111597,300000
53.548533,-6.111163,460000
53.298734,-6.363316,132114
53.582939,-6.12376,253947
53.389522,-6.319365,70000
53.377742,-6.372089,287500
53.394592,-6.159656,237000
53.347921,-6.285025,142666
53.296414,-6.170033,242500
53.291758,-6.309539,390000
53.585472,-6.186497,233000
53.190958,-6.128772,345000
53.243082,-6.120713,360000
53.331637,-6.320705,267500
53.350127,-6.413215,228000
53.372266,-6.290045,168750
53.402385,-6.428204,290000
53.269843,-6.134083,470000
53.691587,-7.60792,194000
53.332646,-6.217787,820000
53.369682,-6.379134,136564
53.339593,-6.441727,337000
53.397851,-6.441675,180000
53.454015,-6.229598,185023
53.251002,-6.122419,571000
53.354401,-6.230545,242290
53.298438,-6.296943,70000
53.365904,-6.271109,130000
53.30309,-6.374884,260000
52.994014,-6.972311,125066
53.393574,-6.410467,134802
53.376359,-6.212457,287000
53.340351,-6.421999,210000
53.27368,-6.245914,295000
53.520876,-6.163244,254950
53.156182,-6.907871,310000
53.613708,-6.20538,164000
51.909719,-8.451511,87500
53.280413,-6.371769,155000
53.394961,-6.321263,219950
53.379066,-6.374454,480000
53.338406,-6.314582,60000
18.260103,55.343403,180000
53.399452,-6.370496,275000
53.366776,-6.262488,387665
53.350366,-6.277935,226167
52.665595,-8.591664,75000
53.312428,-6.305755,390000
53.581003,-6.205329,125000
53.368314,-6.189319,545000
53.393878,-6.141123,200000
53.363445,-6.491669,70000
53.324985,-6.276689,490000
53.354201,-6.251863,195000
53.371076,-6.238778,277500
53.379458,-6.225974,56019
53.304202,-6.198265,425000
53.316148,-6.322289,371046
53.272609,-6.110247,83333
53.577109,-6.115402,185021
53.378913,-6.194171,143173
53.391035,-6.230764,192500
53.454664,-6.240576,260000
53.29858,-6.298213,242000
53.288079,-6.159079,532000
53.302617,-6.24649,132500
53.358207,-6.379445,95000
53.278284,-6.468937,234415
53.391027,-6.234696,182071
53.463596,-6.243271,245000
53.313919,-6.244222,975000
53.22784,-6.646616,297921
53.341603,-6.286753,57041
53.274179,-6.326323,372500
