@relation dublin-2010-averages

@attribute 53.26141399999999 numeric
@attribute -6.1643517 numeric
@attribute 230000 numeric

@data
53.290807,-6.281765,383000
53.306484,-6.361623,230000
53.333252,-6.27423,257000
53.392729,-6.41281,230000
53.576365,-6.1113,405600
53.38318,-6.098811,260000
53.348807,-6.276666,180000
53.328371,-6.27497,185000
53.396564,-6.163477,225000
53.32764,-6.311151,390000
53.372463,-6.362428,290000
53.983704,-7.352024,177500
53.299684,-6.261874,388000
53.526056,-6.426783,350000
53.220482,-6.659194,314977
53.36309,-6.505291,255000
53.291627,-6.243293,412000
53.329435,-6.280983,210000
53.365409,-6.078129,140000
53.389513,-6.298255,70000
53.234521,-6.12549,92000
53.284638,-6.411165,241698
53.377911,-6.226311,222004
53.236912,-6.124408,10000
53.349443,-6.282129,260000
53.388829,-6.187711,240000
53.982893,-7.355711,60000
53.361096,-6.186021,412500
53.311459,-6.301055,380000
53.275511,-6.310898,345000
53.577592,-6.117922,179000
53.343867,-6.260902,160000
53.321026,-6.332575,302500
53.320927,-6.394859,365000
53.306232,-6.308807,704846
53.274497,-6.171635,201211
53.275804,-6.138616,247500
53.284976,-6.329612,140000
53.766785,-7.822044,212500
53.350774,-6.346836,132500
53.392944,-6.367,270000
53.418325,-6.151493,119295
53.339102,-6.235617,310000
51.892034,-8.48501,175000
53.376356,-6.288778,320000
53.52677,-6.323168,295000
53.333319,-6.274028,215000
51.892166,-8.469921,170000
53.452007,-6.152287,202929
53.335817,-6.295015,92000
53.28354,-6.225922,572000
53.27433,-6.101013,417500
53.390393,-6.163854,200000
53.274179,-6.326232,400000
53.289881,-6.165555,660000
53.209763,-6.134337,76338
53.339033,-6.252353,223777
53.325113,-6.267289,650000
53.399986,-6.171281,105000
53.367318,-6.21549,120000
53.491454,-6.107239,18750
53.23392,-6.34749,90000
53.282015,-6.409599,181000
53.604952,-6.184203,170000
53.288085,-6.176104,380750
53.277801,-6.156982,179813
53.617487,-6.193715,130000
53.28648,-6.255717,225000
53.51911,-6.264674,132250
53.365379,-6.245614,248721
53.289504,-6.231678,750000
53.195007,-6.103206,317000
53.37557,-6.163805,105727
53.609727,-6.202614,149000
53.290807,-6.281765,383000
53.298712,-6.349924,182000
53.36848,-6.239876,402500
53.388248,-6.428635,270000
53.404196,-6.170553,193055
53.583153,-6.132425,357000
53.269856,-6.329916,180000
53.345969,-6.422313,230000
53.298517,-6.249254,393750
53.344503,-6.361505,180000
53.339512,-6.321395,149779
53.331914,-6.225231,710000
53.192873,-6.110545,279000
53.400703,-6.212038,151541
53.447313,-6.242566,285000
53.287775,-6.196174,203832
53.310721,-6.316909,315000
53.615175,-6.197495,169000
53.297008,-6.268431,165000
53.332232,-6.210562,195000
53.390812,-6.096285,335000
53.294341,-6.297887,75000
53.363207,-6.222072,725000
53.348564,-6.292919,235000
53.397149,-6.164737,277831
53.869238,-6.338794,120000
53.212713,-6.176631,353000
53.296552,-6.245004,182500
51.919485,-8.465621,342500
53.339293,-6.27981,190000
53.377028,-6.396122,202000
53.61675,-6.194169,175000
53.357636,-6.273268,280253
53.331237,-6.258644,202000
53.246486,-6.14312,215000
53.386696,-6.142094,108370
53.292739,-6.263877,141949
53.329017,-6.246064,235000
53.294292,-6.286958,214000
53.363269,-6.249437,215000
53.405109,-6.417621,177500
53.27941,-6.336842,311000
53.378771,-6.275361,180000
53.342628,-6.24845,212500
53.298033,-6.281247,130000
53.34854,-6.418974,255000
53.363598,-6.239092,105845
53.337923,-6.455436,110000
53.298052,-6.492722,210854
53.263169,-6.136384,135255
53.392791,-6.211651,151000
53.309029,-6.280003,175000
53.322759,-6.295913,210000
51.903532,-8.455634,189000
53.294074,-6.300937,524229
53.355826,-6.237664,360000
53.283647,-6.249212,270000
53.37419,-6.351703,165000
53.286254,-6.122022,80000
53.52209,-6.173284,25000
53.386167,-6.252544,275000
53.35617,-6.270355,193833
53.397122,-6.40408,185000
53.562844,-6.243575,245500
53.389864,-6.166529,63750
53.590284,-6.187203,145000
53.375872,-6.404916,155000
53.362703,-6.310607,223761
53.290137,-6.133336,260000
53.258207,-6.147812,142500
53.351067,-6.426945,197357
53.248201,-6.123656,80000
53.343186,-6.273259,70700
53.305661,-6.340931,310000
53.52209,-6.173284,25000
53.2835,-6.136637,650000
53.302239,-6.375244,210000
53.35912,-6.24092,350000
53.275699,-6.301338,670000
53.306853,-6.364758,227200
53.278722,-6.184219,192951
53.424628,-6.203989,154000
53.315747,-6.261362,140000
53.338109,-6.463776,179812
53.262269,-6.206334,350000
53.347234,-6.45848,281938
53.326561,-6.411805,199000
53.27208,-6.307219,245000
53.286356,-6.126594,375000
53.402689,-6.424102,225000
53.395592,-6.421961,180000
53.371614,-6.315302,336000
53.201026,-6.174008,299182
53.329277,-6.261839,470000
