Latitude,Longitude,Value
37.7640027,-122.4179591,425500
37.7905055,-122.3962516,1160000
37.77393,-122.396241,774025
37.76062039999999,-122.47480459999998,660000
37.7589803,-122.416711,450000
37.777347,-122.444138,680000
37.7788114,-122.3913711,820000
37.73737120000001,-122.3822944,227000
37.7124597,-122.3943722,476000
37.732848,-122.488351,640000
37.7875299,-122.454018,1365000
37.7580251,-122.4693471,470000
37.757201,-122.432174,945000
37.714149,-122.401075,475000
37.74145,-122.420914,850000
37.713689,-122.407911,459000
37.74644970000001,-122.44043870000002,275000
37.7735294,-122.4388653,720000
37.7451062,-122.4156784,450000
37.745178,-122.415507,699000
37.77743140000001,-122.3937066,860000
37.791114,-122.429586,1400000
37.782245,-122.457454,655000
37.774459,-122.3995888,1500
37.7782409,-122.3932237,707000
37.776381,-122.44568999999998,582000
37.78599420000001,-122.48533,725000
37.7806904,-122.3892201,952000
37.748436,-122.432181,778000
37.7901413,-122.4306658,790000
37.776381,-122.44568999999998,710000
37.781694,-122.481297,719000
37.7794539,-122.3966763,850000
37.7109141,-122.4118388,370000
37.76472800000001,-122.474315,744000
37.78629,-122.401375,1140000
37.76385670000001,-122.4032332,625000
37.7601821,-122.3909801,730000
37.789945,-122.412727,512000
37.7887169,-122.418436,685000
37.7749295,-122.4194155,208000
37.783203,-122.4205684,680000
37.7905055,-122.3962516,920000
37.7986359,-122.4132054,1900000
37.792757,-122.416471,1025000
37.782389,-122.426668,377000
37.760307,-122.450039,1890000
37.753366,-122.443062,1300000
37.7905055,-122.3962516,1130000
37.7272102,-122.3956769,231255
37.7824829,-122.4205412,480000
37.755107,-122.475757,588000
37.76158710000001,-122.4436909,809900
37.8030606,-122.421044,750000
37.7749295,-122.4194155,554100
37.7905055,-122.3962516,2004000
37.7451087,-122.4079594,550000
37.733822,-122.454103,1025000
37.7882516,-122.4030794,1340000
37.7722206,-122.5101541,380000
37.763562,-122.44511599999998,820637
37.754334,-122.444984,565000
37.78629,-122.401375,2000000
37.786541,-122.438203,1450000
37.7905055,-122.3962516,1880000
37.7835714,-122.3907007,205720
37.76385670000001,-122.4032332,625000
37.728385,-122.390586,231600
37.783203,-122.4205684,972350
37.717655,-122.456332,315000
37.777822,-122.468677,1300000
37.7270501,-122.3951533,263803
37.789945,-122.412727,525000
37.790214,-122.42136229999998,649000
37.783203,-122.4205684,605000
37.75652,-122.476256,512000
37.745211,-122.506769,600000
37.71712470000001,-122.4403048,260000
37.745402,-122.434331,700000
37.766295,-122.4471356,1220000
37.754807,-122.485858,575000
37.732105,-122.446353,637000
37.764941,-122.431219,875000
37.801787,-122.408327,715000
37.7843063,-122.42229240000002,750000
37.7722206,-122.5101541,360000
37.7905055,-122.3962516,2750000
37.76385670000001,-122.4032332,660000
