@relation manhattan-averages

@attribute 40.755243 numeric
@attribute -73.99262999999999 numeric
@attribute 2246508 numeric

@data
40.751165,-73.997295,244000000
40.738886,-74.007582,10050000
40.721506,-74.001029,3920262
40.736839,-73.999125,400000
40.730605,-74.003266,6615000
40.724626,-73.979447,707000
40.728905,-73.993646,4900000
40.712742,-73.999358,783000
40.721663,-74.008662,12100000
40.716128,-73.999363,1000000
40.72322,-73.984497,936357
40.717346,-73.991011,25626000
40.72107,-73.984736,825000
40.747198,-73.992669,1930000
40.738251,-73.998204,3200000
40.717941,-73.995908,601400
40.733717,-74.007773,14850000
40.713565,-73.999593,855666
40.752111,-73.992507,20000000
40.734797,-73.987853,728000
40.709845,-74.007402,171000000
40.721884,-74.00995,6707394
40.743786,-74.000386,550000
40.747393,-73.987395,2500000
40.742722,-74.00117,775000
40.747573,-73.98151,612461
40.713325,-73.997101,390000
40.734397,-74.000786,4400000
40.718108,-74.003821,6959338
40.720997,-73.990796,225000
40.749733,-73.996151,493328
40.716587,-74.004806,2764212
40.722831,-73.998044,9100000
40.730101,-73.985262,1798333
40.743775,-73.992558,2441315
40.718974,-73.985845,715375
40.718908,-73.987343,1390837
40.706169,-74.015767,703629
40.730638,-73.98757,625000
40.730949,-73.958043,3750259
40.736544,-74.002509,748195
40.720147,-74.009022,10333750
40.736089,-73.996343,675000
40.723729,-74.004076,3850000
40.727251,-74.002473,7400000
40.723886,-74.010013,3036788
40.722704,-73.98649,5000000
40.708143,-74.006841,1097900
40.715075,-74.0072,2242166
40.738395,-74.048496,1025000
40.738476,-73.994127,20000000
40.736936,-74.001919,815000
40.725433,-74.003407,564350
40.739299,-73.997932,600000
40.743691,-74.006401,1668585
40.720043,-74.00211,1850000
40.710593,-74.007373,3718262
40.750135,-73.979637,818000
40.745589,-73.991968,4100000
40.723837,-73.993442,61250000
40.73542,-74.003146,900000
40.719953,-73.995017,2345000
40.719991,-74.007413,3675000
40.739363,-74.000516,875000
40.733063,-74.000874,9000000
40.723117,-73.990239,17250000
