@relation manhattan-averages

@attribute 40.755243 numeric
@attribute -73.99262999999999 numeric
@attribute 2246508 numeric

@data
40.732855,-74.002453,660100
40.730084,-74.001098,5676000
40.731068,-73.9885,12499500
40.729485,-73.992869,17000000
40.719573,-73.989221,28000000
40.724478,-74.009628,2950000
40.7257,-73.991673,1527375
40.746197,-73.986666,806992
40.745157,-74.007033,205000000
40.734055,-73.996973,14000000
40.731664,-73.984095,545000
40.722881,-73.981018,8571429
40.73074,-73.984979,820000
40.732849,-74.004889,12200000
40.730027,-74.001362,1250000
40.712482,-73.994947,8000000
40.751354,-73.983981,36350000
40.716261,-73.999664,3712500
40.730332,-74.005552,12000000
40.743659,-73.995318,766666
40.717555,-73.983622,742500
40.738516,-74.007839,1179500
40.720833,-74.002555,1795000
40.745691,-73.989116,100000000
40.740004,-74.001241,1181666
40.72641,-73.984369,21900000
40.743999,-73.998093,770000
40.731781,-74.005617,850000
40.733317,-74.003312,24000000
40.726586,-73.993385,4675000
40.744221,-73.987291,2089000
40.723769,-73.999816,68000000
40.743336,-73.98705,4860000
40.735654,-73.996421,519975
40.73437,-73.986999,647400
40.72241,-73.994121,8250000
40.720763,-73.99601,13200000
40.719098,-74.003871,6150000
40.754762,-73.996173,6700000
40.737065,-73.994607,1716000
40.722315,-74.002431,4350000
40.713252,-73.997428,1435341
40.744753,-74.000586,645000
40.715131,-74.006879,3279452
40.717763,-73.998003,5600000
40.715247,-73.999037,6700000
40.725253,-73.988503,661275
40.716055,-73.997548,610000
40.733715,-73.998212,1900000
40.719242,-73.99578,26000000
40.734041,-73.993727,1650000
40.739107,-74.003623,2410000
40.731547,-73.999954,3175000
40.712874,-73.999207,721166
40.732095,-73.994019,2100000
40.724603,-73.988147,385000
40.721663,-74.008662,12100000
40.715544,-74.009859,2750000
40.750107,-73.997883,1150000
40.706514,-74.018814,3530000
40.738082,-74.048671,450000
40.745304,-73.995484,2593033
40.730027,-74.001362,1250000
40.723596,-73.998717,3000000
40.727002,-73.986086,5500000
40.716665,-73.99037,6260000
40.710405,-74.008568,25000000
40.754058,-73.99341,370094
40.749334,-74.006323,8125000
40.739322,-74.002523,3092500
40.728638,-73.994988,925000
40.735463,-73.995981,2387500
40.742411,-73.996418,785833
40.741694,-74.002596,4251000
40.718781,-73.984698,380000
40.708672,-74.001435,5000000
40.724755,-73.993146,6500000
40.723825,-73.994316,3150000
40.728808,-73.993628,2685000
40.722379,-73.996704,15500000
40.719612,-73.990573,2185000
40.724399,-74.00378,478000
40.720487,-74.005674,5912500
40.748796,-73.999188,70455
40.733278,-74.007256,5925000
40.713969,-74.01014,65694524
40.711329,-74.007321,21000000
40.710751,-73.987585,115000000
40.745931,-74.000734,630000
40.717436,-74.003056,3050000
40.709912,-74.007559,6400000
40.743458,-73.988668,260000000
40.716849,-74.003919,2461879
40.722831,-73.998044,9100000
40.722133,-73.994428,2500000
40.745723,-73.985344,2043333
40.743447,-73.997517,359995
40.731036,-74.000785,2995000
40.704137,-73.986592,2975000
40.746692,-73.983647,535500
40.715316,-73.999009,6700000
40.723802,-74.001829,10150000
40.750066,-73.989931,1522000
40.744221,-73.987291,2089000
40.728377,-73.989342,775000
40.743241,-73.998249,1213124
40.707649,-74.016607,725250
40.725977,-73.990838,1160000
40.740987,-74.000749,463250
40.71875,-74.005811,3466666
40.719573,-73.989221,28000000
40.730308,-73.981605,1551785
40.716432,-73.990927,1895000
40.746757,-73.995663,8500000
40.602616,-73.965117,42000000
40.743722,-74.002845,7000000
40.715346,-74.006413,2520000
40.743997,-73.990117,2570000
40.724569,-74.009357,2352500
40.709845,-74.007402,171000000
40.719133,-73.991576,11000000
40.722826,-73.993836,1180000
40.74649,-74.001876,429000
40.749834,-73.980643,544500
40.724755,-73.993146,6500000
40.721374,-73.982947,3652500
40.72096,-73.987423,5250000
40.722883,-74.010989,4440000
40.732058,-74.009314,1431250
40.724787,-73.976295,3050000
40.681934,-73.976699,699000
40.735886,-74.004515,25000000
40.719926,-74.006332,2900000
40.727038,-74.00231,1530013
40.71875,-74.005811,3466666
40.733001,-74.000522,1044375
40.714089,-73.989687,2125000
40.718893,-74.008847,48000000
40.722315,-74.002431,4350000
40.738283,-73.998285,3050000
40.740102,-73.996284,2060000
40.732918,-74.008843,913333
40.746947,-74.00385,2650000
40.734105,-73.996502,21000000
40.721789,-74.011132,6881875
40.725977,-73.990838,1160000
40.743807,-74.000458,570000
40.738139,-73.999243,6750000
40.722313,-73.995844,12622218
40.71321,-73.990387,1893750
40.746531,-73.991125,2395432
40.738614,-74.006331,725000
40.712742,-73.999358,783000
40.721181,-74.00878,10150000
40.733452,-74.006469,1250000
40.755979,-73.993242,22500000
40.72241,-73.994121,8250000
40.718955,-73.990896,333200
40.732828,-73.999341,4400000
40.714104,-73.977832,585916
40.753661,-73.997669,413250
40.723171,-73.993351,12920000
40.712784,-74.005941,1779840
40.747372,-73.982552,185000000
40.725619,-73.996036,2425000
40.745085,-74.003524,999367
40.726854,-74.002738,1500000
40.725549,-74.0008,9500000
40.723736,-73.983051,589000
40.730079,-74.001359,1500000
40.731902,-74.005356,778886
40.726268,-73.999554,5750000
40.74412,-73.994985,11995000
40.734516,-73.995751,1646666
40.736073,-74.00561,751349
40.736961,-74.004168,10
40.709344,-74.016035,776501
40.749306,-74.005976,7100000
40.740479,-73.997042,5025000
40.717667,-74.006994,2325000
40.719159,-73.99488,24000000
40.715447,-73.982769,660000
40.74649,-74.001876,429000
40.716474,-74.008809,2575000
40.720688,-74.009399,1180000
40.733731,-73.99747,1401000
40.720763,-73.99601,13200000
40.742839,-73.994295,1487500
40.716362,-73.989647,6902675
40.719341,-73.985482,30500000
40.740349,-73.988332,1058333
40.715144,-74.009183,975000
40.743037,-73.990592,6000000
40.723702,-73.987873,9650000
40.732849,-74.004889,12200000
40.716049,-74.007853,2312500
40.739006,-74.006078,1150000
40.715279,-73.991944,1775000
40.733516,-74.00709,920000
40.721046,-74.0088,1950000
40.70879,-74.0013,2800187
40.726856,-74.003825,1763500
40.735412,-73.995869,5500000
40.722824,-73.98509,425000
40.717925,-73.98494,4000000
40.71665,-73.986335,7070000
40.73092,-74.005474,650000
40.74853,-74.002757,4695000
40.725228,-73.993721,560000
40.749988,-73.980067,670736
40.734698,-74.007365,1162500
40.738886,-74.007582,10050000
40.725007,-73.98911,560000
40.745099,-74.005077,769000
40.705942,-74.009352,892815
40.735654,-73.996421,519975
40.707883,-74.009455,1016550
40.745691,-73.989116,100000000
40.749785,-73.986204,49340000
40.715131,-74.006879,3279452
40.731447,-74.006172,832000
40.718787,-73.991501,890000
40.723844,-74.003326,10350000
44.76827,-74.940788,515000
40.731472,-73.985921,7875000
40.749703,-73.998486,74481
40.709204,-74.006194,12000000
40.744995,-74.002862,4100000
40.729616,-73.992808,4012412
40.736839,-73.999125,400000
40.726891,-73.977501,2900000
40.722408,-74.007215,1525000
40.721046,-74.0088,1950000
40.712742,-73.999358,783000
40.741488,-73.997847,1388887
40.747573,-73.98151,612461
40.718974,-73.985845,715375
40.728268,-73.980787,2105000
40.724411,-73.979075,1630217
40.745738,-73.996917,1235000
