@relation queens-averages

@attribute 40.7679414 numeric
@attribute -73.9313427 numeric
@attribute 700000 numeric

@data
40.751429,-73.736621,280000
40.766476,-73.869036,440000
40.57858,-73.850513,320000
40.762952,-73.932992,339858
40.745679,-73.773089,745000
40.758343,-73.866074,660000
40.784476,-73.777171,1200000
40.591821,-73.798993,254000
40.794578,-73.797827,367928
40.575134,-73.846503,407300
40.785499,-73.828313,840000
40.751827,-73.771939,678000
40.692638,-73.733034,200000
40.694491,-73.741789,355000
40.663003,-73.962405,784052
40.777544,-73.844961,728000
40.758438,-73.778783,680000
40.746676,-73.880714,280000
40.769675,-73.900163,10
40.760022,-73.929864,926500
40.770297,-73.765786,750000
40.764337,-73.778106,780000
40.746538,-73.880417,699000
40.760805,-73.907198,849000
40.765611,-73.922002,1525000
40.776074,-73.93285,2200000
40.777102,-73.909017,6350000
40.700834,-73.743299,182000
40.692777,-73.734558,250000
40.771187,-73.932296,1180000
40.757037,-73.856482,92000
40.747879,-73.766303,832000
40.748219,-73.854469,700000
40.758638,-73.857289,350000
40.792395,-73.805813,638600
40.767404,-73.787434,545000
40.7639,-73.770297,2500000
40.792153,-73.806903,815000
40.762693,-73.767377,555000
40.77857,-73.784003,629000
40.591981,-73.79901,475000
40.7692,-73.934456,302417
40.77844,-73.780429,481881
40.766565,-73.924058,412500
40.76673,-73.784102,700000
40.774731,-73.965373,600000
40.762217,-73.783176,635000
40.750975,-73.760324,700000
40.766276,-73.76527,440000
40.763812,-73.920878,3600000
40.580701,-73.850716,537500
40.587788,-73.800435,813581
40.756224,-73.733254,133000
40.788159,-73.799041,1165000
40.75859,-73.85767,532000
40.731153,-73.713827,515000
40.639329,-74.080284,240000
40.588659,-73.794818,714302
40.593543,-73.799833,536892
40.750866,-73.736528,290000
40.758242,-73.925849,735000
40.768095,-73.912285,374166
40.760359,-73.842989,500000
40.76395,-73.76784,1250000
40.737963,-73.855228,350000
40.75729,-73.765745,187500
40.594611,-73.77377,365000
40.793152,-73.796589,232500
40.758283,-73.908832,975000
40.594517,-73.792755,155000
40.588852,-73.802563,580000
40.596622,-73.776681,17000
40.745212,-73.864709,465000
40.784541,-73.776772,308400
40.779631,-73.791799,249000
40.728192,-73.729221,465000
40.753699,-73.765671,850000
40.776437,-73.912544,999500
40.752443,-73.779295,855000
40.744361,-73.871931,669300
40.753741,-73.741696,540000
40.780241,-73.908399,712500
40.753723,-73.861113,580000
40.739226,-73.850292,260000
40.765435,-73.925204,5250000
40.769494,-73.8758,18000000
40.77,-73.90872,335259
40.598719,-73.776887,50000
40.781834,-73.916923,700000
40.612611,-73.821,5000
40.763087,-73.738463,1160000
40.771414,-73.928012,1430000
40.726391,-73.723249,447000
40.759988,-73.907888,1650000
40.593856,-73.800791,287000
40.593641,-73.795051,255640
