@relation statten-island-averages

@attribute 40.574882 numeric
@attribute -74.086237 numeric
@attribute 211244 numeric

@data
40.589924,-74.150831,380000
40.574985,-74.085918,259318
40.508003,-74.224079,490000
40.564926,-74.183988,275000
40.61039,-74.089039,570000
40.556433,-74.131221,375000
40.640433,-74.106028,499999
40.599052,-74.072979,790000
40.625852,-74.160009,395460
40.561911,-74.129709,385000
40.573119,-74.128717,735000
40.599289,-74.084147,430000
40.554025,-74.161897,106000
40.58462,-74.097897,138700
40.538634,-74.183038,590000
40.708118,-74.005444,157300
40.611807,-74.066831,494832
40.58484,-74.097879,109000
40.637228,-74.134254,340000
40.74076,-73.983795,359000
40.537996,-74.178048,490000
40.527444,-74.167308,752500
40.558237,-74.197367,305000
40.604875,-74.130143,340000
40.530703,-74.20045,630000
40.554652,-74.155396,540000
40.635821,-74.159887,170000
40.556302,-74.161983,195000
40.590176,-74.095774,189000
40.618952,-74.107205,127500
40.556967,-74.114461,376246
40.610907,-74.068537,288000
40.617225,-74.128866,540000
40.636076,-74.165359,111643
40.579959,-74.108968,1530000
40.521166,-74.208851,328000
40.603883,-74.09369,570000
40.546939,-74.143178,150000
40.561007,-74.14616,407500
40.523353,-74.201218,911333
40.560266,-74.151591,697000
40.636234,-74.131058,269500
40.702494,-73.949753,292299
40.596165,-74.08675,505000
40.562144,-74.129428,325000
40.580449,-74.111171,390000
40.523592,-74.211621,450000
40.540982,-74.15181,625000
40.536045,-74.156021,515000
40.717035,-74.002846,363000
40.619894,-74.088429,740000
40.580045,-74.134422,690000
40.541755,-74.170325,61500
40.584279,-74.09753,107000
40.580236,-74.154189,268710
40.559587,-74.157415,410000
40.547524,-74.153212,365950
40.56066,-74.185663,443779
40.512947,-74.206625,799900
40.555861,-74.197442,334400
40.630051,-74.13131,236262
40.62506,-74.164665,487875
40.578784,-74.081075,348262
40.620079,-74.108006,735000
40.588434,-74.160528,415000
40.574083,-74.09719,35000
40.730952,-74.006723,150000
40.54446,-74.157694,400000
40.560793,-74.185533,270000
40.618975,-74.094843,144000
40.640148,-74.131293,275000
40.640206,-74.086363,318487
40.620315,-74.158735,342000
40.525636,-74.210134,385000
40.629959,-74.162951,175000
40.543438,-74.195618,625000
40.57869,-74.10233,4150000
40.586712,-74.160634,424000
40.629942,-74.16211,254030
40.547835,-74.140593,372000
40.592589,-74.09241,399500
40.631186,-74.148187,280000
40.582835,-74.099666,418000
40.62789,-74.133476,320000
40.611289,-74.067286,200000
40.735869,-74.00296,570000
