@relation statten-island-averages

@attribute 40.574882 numeric
@attribute -74.086237 numeric
@attribute 211244 numeric

@data
40.538033,-74.213201,478201
40.644554,-74.094515,225000
40.546337,-74.151135,460000
40.622086,-74.126524,480000
40.543187,-74.172641,464000
40.552932,-74.160792,467500
40.563532,-74.13832,365000
40.564535,-74.14394,574000
40.564775,-74.136657,394000
40.562263,-74.140615,1
40.635749,-74.091188,365052
40.697343,-73.969815,99750
40.592623,-74.090482,420000
40.611176,-74.074146,417000
40.605559,-74.096441,1800000
40.589178,-74.156096,424500
40.535352,-74.151568,400000
40.555614,-74.178595,470000
40.554822,-74.143247,240000
40.61039,-74.089039,570000
40.554334,-74.1949,255000
40.601165,-74.123648,605000
40.545054,-74.155883,645000
40.547875,-74.192257,595650
40.547524,-74.153212,365950
40.569672,-74.151593,285000
40.626986,-74.143582,285000
40.555491,-74.201043,240000
40.548773,-74.154054,725000
40.56164,-74.176614,500
40.561982,-74.181496,528471
40.681947,-73.952748,4000000
40.567593,-74.135626,395000
40.616645,-74.12693,437500
40.547806,-74.185724,925000
40.574985,-74.085918,259318
40.844846,-73.942373,205000
40.576902,-74.082828,605000
40.588597,-74.091637,608000
40.542439,-74.145611,630000
40.637716,-74.087362,650000
40.621182,-74.112096,370000
40.560936,-74.154929,310000
40.564998,-74.183999,280000
40.682896,-73.955196,349000
40.579491,-74.094867,405000
40.637528,-74.136834,330000
40.622387,-74.163822,162000
40.588373,-74.092139,335000
40.51522,-74.211117,700000
40.550583,-74.175717,435000
40.601488,-74.086432,430000
40.581146,-74.088772,290000
40.590176,-74.095774,189000
40.581146,-74.088772,290000
40.586034,-74.096843,300000
40.547835,-74.140593,372000
40.74076,-73.983795,359000
40.566701,-74.136816,735000
40.618557,-74.094854,120000
40.537802,-74.152221,460000
40.612201,-74.123122,465000
40.627535,-74.161107,114500
40.556625,-74.113159,360000
40.554025,-74.161897,106000
40.535334,-74.179925,1200000
40.614912,-74.12507,355000
40.607427,-74.094581,945000
40.542648,-74.147918,390000
40.558791,-74.108,382000
40.576902,-74.082828,605000
40.676432,-73.882657,729750
40.567998,-74.105412,368225
40.731197,-74.003555,1200000
40.556625,-74.113159,360000
40.635799,-74.145796,295000
40.557542,-74.140467,335000
40.543586,-74.181504,10
40.551272,-74.163096,384000
40.70805,-74.009919,365000
40.559625,-74.161646,443000
40.546633,-74.154075,575000
40.620198,-74.099522,500000
40.56422,-74.184885,275000
40.562225,-74.18464,260000
40.618557,-74.094854,120000
40.635686,-74.165797,167310
40.54052,-74.145009,495000
40.538222,-74.156029,420000
40.5377,-74.171844,650000
40.537032,-74.154854,560000
40.530947,-74.201249,960000
40.617384,-74.167018,410000
40.562497,-74.139214,370000
40.528994,-74.207563,535000
40.547253,-74.139623,450000
40.515672,-74.20794,930000
40.606421,-74.115012,775000
40.633708,-74.151644,240000
40.636964,-74.086175,650000
40.580641,-74.087275,332690
40.563253,-74.107034,375000
40.578637,-74.104904,429000
40.638211,-74.130607,105000
40.547835,-74.140593,372000
40.569461,-74.137846,825000
40.806231,-73.927902,285650
40.546939,-74.143178,150000
40.610961,-74.160538,426600
40.542759,-74.175363,604942
40.599474,-74.127917,230000
40.63327,-74.153911,362000
40.554595,-74.142739,238000
40.61127,-74.188424,350000
40.537618,-74.212311,532000
40.632629,-74.160624,415000
40.557542,-74.140467,335000
40.530783,-74.204563,622500
40.539232,-74.14818,867500
40.550583,-74.175717,435000
40.573955,-74.102123,415000
40.596165,-74.08675,505000
40.601583,-74.084363,438000
40.61662,-74.168074,425779
40.595371,-74.163856,500000
40.740775,-73.98418,355000
40.571673,-74.115331,467500
40.713777,-73.996008,475000
40.54052,-74.145009,495000
40.545931,-74.164859,629500
40.601106,-74.129929,300000
40.632457,-74.141124,323000
40.575656,-74.095892,404586
40.636076,-74.165359,111643
40.55856,-74.153877,234310
40.556026,-74.169005,410000
40.551673,-74.152236,635000
40.626902,-74.165659,9900000
40.627808,-74.147108,325000
40.563556,-74.137905,325000
40.589601,-74.164456,10300000
40.547077,-74.165254,690000
40.579164,-74.078968,224614
40.542547,-74.155777,450000
40.538685,-74.143878,345050
40.522326,-74.214019,320000
40.640524,-74.080571,280000
40.579759,-74.079471,206707
40.543195,-74.195434,600000
40.556068,-74.166234,290000
40.539002,-74.184589,470000
40.73559,-74.003505,425000
40.634355,-74.159952,360000
40.616605,-74.167958,432370
40.556354,-74.168179,403500
40.541707,-74.157192,462500
40.571384,-74.132836,546000
40.573119,-74.128717,735000
40.579801,-74.102749,222000
40.562511,-74.146584,330000
40.636624,-74.158191,257500
40.571384,-74.132836,546000
40.538033,-74.213201,478201
40.595241,-74.103034,595000
40.611493,-74.088131,370000
40.576618,-74.09537,76000
40.634587,-74.1687,90000
40.55503,-74.194508,267285
40.561777,-74.182912,372000
40.515834,-74.211633,455000
40.574668,-74.112393,240000
40.551361,-74.197474,212505
40.633746,-74.140884,220000
40.550896,-74.136285,510000
40.539717,-74.196141,711756
40.619383,-74.082147,153114
40.562343,-74.182728,589566
40.526421,-74.188545,580000
40.626819,-74.128327,431985
40.641719,-74.110755,829336
40.55889,-74.120927,355000
40.59086,-74.153375,462000
40.609838,-74.071455,309000
40.509463,-74.223783,565000
40.559525,-74.179541,466500
40.547558,-74.197332,309500
40.550896,-74.136285,510000
40.684108,-73.940539,735000
40.805912,-73.883262,355000
40.636382,-74.160482,259000
40.554026,-74.166664,485000
40.561981,-74.18679,180000
40.638118,-74.073964,285000
40.619733,-74.160115,400000
40.562549,-74.191148,3700000
40.579076,-74.158579,271000
40.577759,-74.104668,385000
40.599289,-74.084147,430000
40.534704,-74.161906,107000
40.570759,-74.135065,650000
40.58245,-74.094486,350000
40.63062,-74.14955,256225
40.626986,-74.143582,285000
40.545641,-74.147465,390000
40.53922,-74.159963,750000
40.562772,-74.140399,257000
40.635708,-74.154148,228635
40.601583,-74.084363,438000
40.551987,-74.200746,290000
40.508003,-74.224079,490000
40.590153,-74.092578,449000
40.538796,-74.166778,512000
40.607427,-74.094581,945000
40.553292,-74.173179,499000
40.631528,-74.165578,281944
40.619016,-74.153659,284900
40.621927,-74.149977,217500
40.551631,-74.15251,770000
40.5355,-74.173336,615000
40.70749,-74.005598,347295
40.548122,-74.162728,705000
40.56324,-74.141727,300000
40.556954,-74.17135,275000
40.555786,-74.200693,235000
40.84229,-73.942454,312000
40.560512,-74.184751,278000
40.612536,-74.16568,10
40.629505,-74.164666,220000
40.63062,-74.14955,256225
40.628377,-74.131402,280000
40.532478,-74.157124,865000
40.618952,-74.107205,127500
40.552191,-74.141529,439600
40.546337,-74.151135,460000
40.587285,-74.097954,305000
40.605388,-74.098919,1225000
40.610332,-74.088895,579000
40.525731,-74.210171,287500
40.543187,-74.172641,464000
40.592589,-74.09241,399500
40.602836,-74.06934,195000
40.542469,-74.195347,521250
40.560145,-74.186734,257000
40.575826,-74.126345,185000
40.578571,-74.100417,430000
40.539002,-74.184589,470000
40.523353,-74.201218,911333
40.538033,-74.213201,478201
40.559525,-74.179541,466500
40.627722,-74.137431,390000
40.561226,-74.117666,100000
40.564926,-74.183988,275000
40.552866,-74.114691,326183
40.638062,-74.134019,2275000
40.557896,-74.159067,330000
40.574056,-74.102121,370000
40.605765,-74.090605,395000
40.588434,-74.160528,415000
40.561869,-74.183868,304000
40.633178,-74.142566,250000
40.553316,-74.197255,285000
40.553391,-74.118825,729750
40.558847,-74.164227,320000
40.629906,-74.143675,300000
40.525289,-74.214816,817000
40.618975,-74.094843,144000
40.557627,-74.161315,10
40.596324,-74.087909,850000
40.586495,-74.09785,435000
40.599774,-74.065184,775000
40.601583,-74.084363,438000
40.538617,-74.160717,469000
40.552558,-74.139588,418000
40.547077,-74.165254,690000
40.639586,-74.085843,110000
40.585134,-74.096945,117000
40.587285,-74.097954,305000
40.552557,-74.154566,271000
40.624489,-74.085247,246500
40.565389,-74.13551,548000
40.619674,-74.102406,450000
40.538617,-74.160717,469000
40.619103,-74.121903,376000
40.558748,-74.162833,380000
40.527142,-74.20855,300000
40.596519,-74.101942,700000
40.580929,-74.162242,177500
40.551651,-74.164725,460000
40.553391,-74.118825,729750
40.627547,-74.156325,185000
40.522363,-74.175985,670000
40.56956,-74.150501,342000
40.631298,-74.151581,275808
40.552874,-74.1518,565000
40.585575,-74.159515,455000
40.721208,-73.995135,450000
40.586893,-74.153733,530000
40.575641,-74.106034,810000
40.782883,-73.780145,660000
40.584486,-74.097386,129000
40.575248,-74.135107,338000
40.640739,-74.108555,140000
40.59086,-74.153375,462000
40.547527,-74.195174,309000
40.611825,-74.094366,575000
40.552367,-74.201445,295000
40.626819,-74.128327,431985
40.60544,-74.128781,353956
40.521914,-74.221653,2834000
40.56555,-74.153227,735000
40.592787,-74.152898,461895
40.554026,-74.166664,485000
40.629959,-74.162951,175000
40.635432,-74.164819,130000
40.744218,-73.981618,350200
40.568177,-74.092823,302500
40.634459,-74.153471,405600
40.555057,-74.164098,538000
40.547994,-74.156652,185000
40.628758,-74.113431,393750
40.607849,-74.125884,350000
40.631972,-74.158721,256500
40.553761,-74.135575,325000
40.644554,-74.094515,225000
40.804422,-73.913126,299000
40.579759,-74.079471,206707
40.558149,-74.164752,464000
40.545015,-74.150848,440000
40.601879,-74.079471,790000
40.521216,-74.183682,850000
40.543195,-74.195434,600000
