@relation syntheticdata

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
0.565898,0.068562,7.65718
0.635407,0.302404,11.541303
0.645254,1.84917,8.472434
0.102328,1.916287,5.560252
0.455006,2.443325,12.036279
0.646865,2.316335,10.862996
0.290039,3.474518,5.819056
0.7184,3.56844,5.444595
0.967617,4.853661,10.044611
0.901788,4.876876,10.01359
0.247945,5.954045,7.593497
0.014801,5.98673,10.914192
0.650208,6.651607,18.321255
0.546762,6.277076,27.163776
0.741327,7.534714,27.159734
0.574984,7.757338,20.491398
0.509346,8.047584,27.022501
0.394745,8.567066,21.440598
0.715298,9.573195,25.255761
0.198903,9.972312,20.414842
1.984834,0.126324,2.670005
1.188473,0.917155,6.982897
1.757748,1.27511,8.59669
1.647624,1.466629,6.588021
1.066359,2.555045,9.210867
1.024024,2.196521,7.246416
1.525664,3.834512,7.618934
1.780397,3.396723,4.298951
1.275749,4.540167,5.100293
1.533515,4.097804,6.025825
1.041712,5.686175,10.657371
1.541295,5.889741,11.335038
1.99648,6.169758,13.096942
1.826814,6.775725,12.133518
1.140051,7.148459,14.270541
1.70523,7.803051,18.519449
1.884523,8.050348,14.526815
1.998506,8.823251,17.868398
1.334699,9.293071,11.40131
1.420531,9.368033,18.659615
2.571876,0.99456,4.667445
2.951308,0.953655,10.994663
2.987166,1.731701,4.566403
2.380787,1.776818,8.129421
2.87989,2.339025,13.705718
2.930453,2.398308,13.115975
2.913912,3.047634,12.119551
2.316022,3.716353,12.341571
2.659524,4.337729,7.625291
2.753226,4.589339,8.331021
2.232397,5.29185,13.807445
2.996122,5.635724,9.386552
2.921694,6.653772,22.67557
2.658959,6.522385,23.770379
2.009623,7.951418,25.546775
2.103313,7.572316,22.018711
2.378486,8.337313,26.77483
2.447378,8.422301,20.995325
2.236198,9.401679,23.076595
2.515597,9.250098,22.54754
3.250304,0.548383,11.276276
3.052535,0.005562,13.858685
3.200729,1.781145,8.910985
3.480162,1.386954,6.539501
3.809121,2.274089,12.606304
3.201952,2.969912,6.616821
3.414337,3.965578,4.855427
3.372513,3.650629,9.84527
3.952775,4.874768,7.189549
3.15848,4.766173,2.554305
3.611194,5.539218,11.951179
3.823567,5.994259,10.259321
3.021673,6.132794,24.968384
3.939456,6.615237,26.772218
3.680908,7.605496,24.130559
3.871176,7.208615,21.073149
3.769275,8.04333,22.473196
3.984873,8.808412,22.90308
3.207172,9.010112,27.297845
3.732957,9.614156,21.673942
4.360816,0.073975,10.974587
4.716209,0.559878,6.016258
4.618436,1.264657,7.915057
4.094064,1.644572,2.601351
4.150269,2.73117,3.822123
4.470269,2.285592,6.175941
4.499715,3.250941,8.789858
4.341325,3.764293,4.308787
4.69865,4.77527,5.200496
4.801174,4.802028,3.591629
4.769293,5.882305,8.479159
4.044074,5.731078,9.802246
4.275141,6.28568,10.275319
4.971873,6.613552,14.959073
4.386417,7.506003,18.132053
4.826341,7.354471,16.818478
4.543125,8.028132,16.288457
4.428546,8.648965,10.614533
4.249868,9.389501,13.59237
4.95289,9.444227,18.745383
5.394071,0.479242,8.619283
5.27611,0.219589,4.717115
5.932408,1.191542,5.200037
5.583782,1.532522,4.875606
5.940767,2.566169,5.86081
5.597725,2.022079,12.824352
5.563102,3.444907,5.546422
5.987908,3.700501,7.82505
5.934864,4.462073,10.367271
5.78006,4.941325,8.577271
5.477124,5.721553,12.199439
5.902344,5.018077,5.239914
5.38235,6.083128,23.052726
5.067654,6.728004,23.455048
5.316935,7.735893,24.540178
5.214513,7.54654,21.648837
5.007327,8.97048,25.348161
5.927914,8.406028,20.439988
5.352289,9.182381,22.468004
5.501385,9.653873,23.593201
6.294153,0.813837,21.10469
6.558608,0.291118,24.012383
6.75137,1.837865,11.526839
6.680918,1.723815,10.448243
6.402486,2.308665,22.250871
6.310557,2.343157,23.233374
6.514096,3.314869,26.21535
6.874966,3.395076,20.620737
6.548195,4.320226,16.452786
6.451202,4.220318,16.043962
6.47247,5.654801,19.870203
6.510414,5.898016,26.612887
6.006408,6.644326,82.736814
6.915369,6.512751,82.921741
6.114536,7.284033,86.78935
6.08169,7.508448,87.526717
6.369904,8.444585,82.626537
6.824253,8.197158,90.913191
6.712472,9.023349,82.782619
6.357917,9.64325,85.097848
7.388593,0.817383,20.388676
7.102562,0.771329,22.106949
7.005757,1.485896,18.593329
7.560697,1.42022,17.931878
7.799316,2.205858,27.124825
7.838343,2.744236,18.624623
7.05138,3.880938,21.768439
7.638691,3.522314,19.251784
7.419412,4.065232,16.465791
7.556801,4.173696,10.467823
7.246295,5.284073,25.710262
7.528966,5.450424,18.369772
7.282234,6.030508,87.371721
7.524368,6.145677,89.439261
7.926025,7.334334,89.500999
7.95713,7.840323,83.321364
7.313379,8.790562,82.6458
7.540165,8.802051,86.669555
7.563266,9.554392,88.054313
7.588048,9.264303,86.492369
8.473637,0.376391,18.402512
8.834377,0.74663,25.304658
8.233565,1.17128,17.242604
8.763054,1.475142,16.260384
8.117626,2.202027,20.409435
8.451832,2.894517,27.660742
8.704273,3.652279,26.499843
8.271021,3.285816,21.261675
8.714129,4.438285,14.818387
8.773742,4.024595,14.220256
8.634515,5.303119,19.469147
8.552002,5.368276,22.056103
8.506234,6.601454,82.919918
8.576264,6.624578,84.466742
8.357848,7.596495,84.54792
8.25773,7.331713,88.254048
8.381848,8.367935,90.233747
8.736948,8.790953,82.416999
8.921195,9.580456,83.700398
8.027177,9.531908,90.941751
9.698843,0.765465,19.573441
9.967554,0.511898,21.542441
9.60711,1.140429,10.663924
9.745593,1.308734,13.212187
9.052845,2.738716,18.151308
9.355944,2.659419,19.071693
9.642806,3.773811,23.125517
9.619986,3.650422,24.158306
9.948085,4.709074,14.535028
9.919228,4.672468,9.328273
9.109791,5.896361,22.354245
9.808218,5.104837,20.510015
9.109641,6.228153,85.214695
9.673081,6.749071,90.738636
9.502149,7.252739,86.686882
9.902179,7.06817,87.417542
9.774458,8.096415,87.482111
9.080061,8.666955,90.212221
9.339294,9.311334,83.531675
9.614229,9.318564,84.407552
0.624478,0.503738,8.812957
0.467945,0.368131,9.490322
0.157491,1.38713,3.624836
0.302017,1.588707,6.638778
0.956842,2.300155,10.974333
0.313164,2.111158,7.67473
0.733564,3.288648,6.08091
0.921952,3.370973,7.576562
0.236046,4.385734,10.503634
0.384285,4.723594,3.237393
0.400041,5.279587,8.190556
0.406481,5.770496,12.785676
0.514223,6.28987,21.559811
0.726575,6.692508,20.861341
0.736233,7.806966,20.741658
0.286379,7.899251,20.99731
0.810771,8.368334,25.292984
0.601463,8.367857,23.915029
0.780434,9.252891,26.669876
0.575549,9.83372,26.609657
1.040397,0.662748,7.643908
1.973649,0.490617,6.776567
1.405868,1.217152,7.601098
1.85275,1.037624,2.795696
1.653293,2.859542,6.901759
1.643223,2.212655,10.876987
1.834646,3.162174,9.190089
1.036287,3.646845,9.40738
1.701045,4.286455,2.771426
1.737866,4.997644,10.648792
1.083378,5.678784,9.384155
1.053081,5.937505,6.824436
1.407409,6.579224,17.889913
1.391881,6.698047,10.258146
1.613387,7.458896,16.533588
1.0848,7.69142,18.265485
1.147255,8.278529,9.208587
1.645863,8.095503,14.41171
1.1297,9.162786,18.48207
1.667237,9.915797,13.462365
2.690654,0.687165,12.303511
2.400377,0.725046,12.820341
2.270696,1.985183,7.716072
2.274733,1.923848,7.647451
2.749217,2.048347,8.143269
2.753148,2.070427,11.008166
2.992553,3.009984,8.460379
2.779284,3.975028,4.766045
2.748242,4.648886,5.957709
2.855274,4.340355,6.777719
2.08815,5.653375,11.12271
2.457221,5.576768,4.603188
2.090536,6.217219,26.270325
2.264916,6.907534,26.935917
2.190828,7.048987,19.541984
2.204704,7.400873,21.740875
2.150286,8.973632,18.692057
2.046353,8.804326,20.843225
2.753872,9.658486,24.378683
2.960169,9.559053,21.580768
3.481186,0.928367,8.174148
3.597258,0.510635,5.587002
3.262704,1.513371,10.80074
3.189013,1.556681,9.260176
3.417344,2.067339,12.055682
3.260894,2.888396,10.30208
3.658659,3.657756,7.042882
3.413895,3.779864,4.436228
3.496723,4.770701,3.973572
3.416509,4.853389,4.108386
3.166639,5.198504,4.16023
3.750667,5.69953,9.098317
3.161745,6.794274,24.580972
3.513131,6.631838,20.313188
3.847674,7.262136,27.516772
3.836745,7.435381,21.203808
3.262975,8.010238,18.165886
3.413376,8.1417,20.926253
3.213367,9.850751,18.506609
3.800554,9.462165,24.742682
4.763465,0.449619,7.306635
4.105767,0.436915,4.374977
4.586389,1.61438,7.864761
4.785336,1.569306,10.49007
4.736931,2.647002,6.150643
4.438112,2.020076,5.530611
4.769451,3.51762,11.55428
4.567797,3.403876,4.826989
4.900407,4.918836,10.153381
4.658652,4.573988,7.977971
4.571966,5.895317,4.92924
4.92721,5.073707,10.852904
4.999366,6.8147,13.241449
4.675903,6.018551,18.506687
4.367738,7.298671,13.441638
4.149641,7.878504,10.414156
4.252219,8.133279,15.893229
4.578302,8.044455,15.855611
4.350975,9.594612,9.478236
4.2555,9.528681,9.931193
5.408703,0.951208,12.89101
5.578049,0.274237,8.926943
5.647458,1.868814,4.931001
5.563753,1.750869,10.69761
5.520539,2.22026,7.866704
5.473924,2.356354,11.656377
5.537073,3.576333,5.880395
5.315358,3.057616,12.69833
5.899848,4.2744,11.988816
5.147621,4.315835,2.617186
5.966869,5.971632,5.554494
5.954201,5.115497,4.862089
5.675764,6.545329,20.726349
5.493523,6.412906,27.174892
5.340921,7.430549,27.894101
5.613509,7.666544,27.127497
5.275539,8.464125,22.331145
5.29318,8.854678,23.470953
5.74233,9.785322,21.54572
5.198503,9.304038,24.864297
6.089158,0.666496,27.822092
6.569615,0.270366,24.706768
6.273282,1.994845,10.834713
6.324365,1.721525,18.364584
6.283087,2.428551,24.488853
6.156184,2.722421,20.97472
6.810768,3.240005,23.833042
6.364955,3.843063,21.065126
6.110059,4.389693,14.535367
6.640794,4.69906,17.649797
6.846246,5.982876,21.08834
6.146117,5.463421,19.898591
6.85816,6.285866,83.221405
6.747754,6.414908,83.004348
6.571412,7.743398,82.537496
6.559325,7.672924,89.857668
6.369774,8.953234,84.758202
6.275049,8.356027,87.83439
6.774683,9.218424,85.543529
6.372418,9.98741,89.145992
7.769169,0.839566,18.141782
7.086044,0.897804,24.307555
7.609866,1.956573,11.705512
7.382495,1.308615,9.980641
7.609122,2.741076,23.611881
7.131763,2.726953,23.621856
7.599237,3.833419,24.770919
7.820381,3.770302,25.494035
7.243981,4.648888,18.575621
7.346141,4.16026,9.033214
7.577271,5.824618,22.091923
7.955989,5.473884,19.075999
7.416263,6.671981,83.849068
7.597722,6.786634,82.618962
7.015227,7.620298,84.871334
7.227202,7.40157,83.285584
7.135099,8.850573,89.92201
7.151187,8.535897,87.873583
7.230091,9.609063,87.669394
7.156993,9.044324,83.487783
8.365124,0.85065,26.197968
8.972363,0.696247,19.358022
8.646227,1.561601,14.539654
8.908967,1.25868,9.384158
8.212555,2.890732,18.167923
8.828432,2.303849,27.716323
8.475687,3.249385,24.61052
8.239306,3.148615,18.40486
8.094582,4.315652,18.346187
8.02012,4.985441,10.593495
8.694226,5.300277,18.27564
8.738942,5.415506,27.754146
8.761265,6.140358,87.522999
8.576359,6.110749,89.663416
8.270283,7.456972,82.627333
8.789783,7.232924,87.687154
8.569804,8.108478,84.593148
8.727176,8.497804,81.823493
8.939805,9.925262,83.357372
8.670425,9.50394,88.072776
9.711276,0.319342,20.43569
9.841875,0.301673,19.889736
9.055016,1.282662,17.161386
9.104293,1.036855,18.505017
9.001923,2.72193,18.361162
9.062015,2.850394,22.37245
9.205267,3.999492,25.335659
9.473585,3.826053,25.671606
9.508329,4.049923,15.63663
9.654467,4.226833,16.979623
9.566755,5.880937,20.313611
9.270316,5.448608,21.695386
9.41189,6.506672,83.676298
9.783162,6.830982,86.027725
9.689217,7.356708,88.169676
9.670564,7.045687,89.093098
9.585721,8.106214,89.119139
9.194047,8.779602,84.815623
9.89798,9.582189,87.376141
9.505021,9.015331,86.36979
