@relation tobs-averages

@attribute 34.6189 numeric
@attribute -89.1911 numeric
@attribute -44 numeric

@data
37.6458,-90.6944,-17
46.3153,-118.0022,56
36.58,-105.46,24
39.9508,-119.5986,28
35.1842,-87.0422,-44
48.8542,-110.5961,-156
46.76,-115.3,45
47.6497,-120.08,-22
37.7333,-105.5119,-78
41.0319,-98.9214,-139
44.2581,-71.2525,-178
38.9072,-121.0839,83
43.0333,-73.8167,-89
43.4458,-86.0264,-150
39.0722,-95.6303,-67
37.7308,-89.1658,-39
41.1489,-102.6361,-100
38.8008,-81.3583,-72
40.9475,-76.8786,-106
26.7458,-81.4264,133
43.74,-113.94,-29
38.115,-103.51,-56
37.7433,-77.04,0
30.5497,-84.5836,17
44.8742,-91.9364,-222
45.67,-113.95,-3
31.9633,-98.4942,111
40.2878,-109.9586,50
41.9539,-70.9572,-94
37.8175,-82.7883,-33
37.99,-107.2,-18
35.9689,-87.1364,-17
44.7317,-100.1447,-172
43.6842,-114.3603,-28
43.8111,-107.3653,-161
64.1172,-145.7511,-206
35.2489,-106.595,-61
44.98,-90.5545,-244
41.5461,-98.5331,-172
25.8064,-80.1336,239
37.79,-108.18,10
25.5819,-80.4361,200
47.0092,-123.4008,117
45.6261,-70.2461,-261
44.3964,-120.4264,-6
43.6242,-103.9172,-72
42.5933,-71.0186,-106
37.2889,-96.9408,-6
43.4867,-110.7614,44
25.3867,-80.5936,211
47.9711,-89.6908,-189
30.5833,-94.4,-22
38.88,-105.07,-13
31.0372,-97.5283,33
40.06,-107.01,-35
48.4089,-106.5144,-178
34.3219,-111.4533,94
46.7614,-104.9619,-150
38.0111,-78.4494,-33
37.7281,-122.5053,183
35.0706,-108.8389,44
40.85,-106.97,-16
33.1581,-85.2911,61
43.79,-90.0597,-200
33.1975,-108.2075,33
31.5889,-91.3408,-22
42.4733,-91.4517,-256
43.0344,-76.1344,-100
34.4206,-117.2661,178
36.2747,-91.5056,28
38.4931,-88.9703,-33
43.7731,-108.5728,-133
44.9933,-84.1625,-144
44.5272,-69.6544,-206
43.3656,-83.5828,-139
39.09,-106.54,-63
45.1875,-113.9008,0
60.0503,-148.0672,-50
41.3044,-95.3844,-172
42.9131,-98.8511,-183
32.8753,-82.2156,0
44.4911,-71.5725,-211
38.3311,-79.6586,-72
45.0853,-67.1203,-167
39.4106,-104.9058,89
31.615,-85.0494,11
35.3117,-83.1747,-56
37.615,-118.0106,-28
33.0353,-96.4861,-11
41.2683,-120.2947,17
40.9678,-106.0003,28
30.2503,-94.1786,-6
45.8833,-91.07,-228
44.8,-109.66,20
44.6997,-87.3967,-194
35.07,-111.84,60
32.3664,-99.1925,44
45.0983,-87.6236,-217
37.0058,-101.8867,-33
37.3875,-75.9744,-11
43.7806,-89.3169,-233
39.9614,-86.0586,-106
48.2733,-117.7408,0
37.1997,-108.4892,-33
42.9919,-97.8703,-206
44.1792,-122.1164,56
46.48,-110.71,-89
34.9881,-120.3211,222
44.3022,-120.8081,56
44.0517,-96.5928,-239
30.3931,-89.0008,78
44.6342,-123.19,44
42.9447,-117.3389,-6
34.2308,-118.0711,144
33.3192,-95.6039,-28
40.72,-110.47,-17
40.4006,-110.7586,39
39.01,-114.31,-7
33.5214,-79.0975,17
37.7889,-80.3083,-44
31.2975,-85.8997,17
43.9572,-73.2106,-139
45.6528,-84.4725,-122
46.345,-120.0289,-111
40.475,-86.9919,-111
34.8847,-99.2964,6
33.1772,-90.4919,-6
43.0608,-83.3075,-150
39.8311,-96.1833,-128
41.8039,-89.9744,-194
38.6786,-88.4797,-39
48.9081,-103.8056,-211
41.5975,-99.8258,-128
37.39,-94.7025,-11
44.7178,-93.0975,-211
39.8081,-110.2569,-78
37.6167,-93.3911,-28
42.4881,-104.1564,-67
30.3514,-89.1611,17
34.4417,-83.5161,-33
36.3561,-91.8036,-6
37.4903,-84.4375,-33
38.0911,-78.5906,-50
45.4178,-101.81,-139
45.01,-110.01,-6
43.6,-114.67,66
40.6211,-89.2414,-139
38.4167,-122.25,117
41.2469,-109.5967,-22
34.6053,-81.6628,-6
34.7056,-79.5683,139
40.9383,-111.1472,11
36.5194,-82.5275,-17
40.0267,-98.0692,-150
31.5553,-110.2847,11
58.19,-133.83,-52
33.83,-88.5214,11
46.78,-121.75,109
44.8658,-101.4672,-161
39.0847,-76.9003,-56
38.7339,-77.4925,-61
38.29,-106.37,-29
32.64,-117.0858,250
43.66,-109.01,7
39.43,-120.31,74
41.05,-107.27,-19
43.6253,-72.9781,-139
48.7167,-115.8833,-6
39.7633,-104.8694,-28
39.0294,-98.13,-117
36.2528,-81.9136,0
42.13,-120.84,38
27.2169,-97.6956,33
33.4367,-94.0772,-28
43.6561,-87.8144,-122
42.4603,-75.0642,-133
47.53,-115.78,7
35.8092,-85.6417,-22
43.9611,-101.8606,-122
34.2289,-84.1275,11
32.6094,-83.6164,72
34.55,-84.25,56
42.8417,-75.7264,-133
45.7575,-94.2072,-200
42.1106,-104.9492,44
33.8103,-91.2778,-11
19.5189,-155.1414,200
40.0739,-87.5067,-100
29.8894,-93.4019,39
35.9808,-78.6528,-39
46.0264,-114.1764,17
40.345,-115.6206,11
33.3867,-97.7164,-11
44.4667,-115.5667,6
44.5733,-116.6753,0
39.3672,-106.1897,-56
30.0969,-94.0997,22
39.4344,-105.1208,-28
41.0372,-94.3942,-178
40.2333,-100.83,-78
35.7044,-79.8378,-6
39.3389,-78.7728,-67
30.3367,-96.5403,39
42.75,-73.6833,-100
44.53,-111.41,-20
44.5228,-116.0481,0
32.7019,-96.015,0
45.4956,-110.5589,-89
47.6983,-120.3228,-22
44.77,-116.25,-4
46.4922,-115.8006,0
40.3283,-99.6522,-128
39.635,-91.7231,-106
33.3369,-112.1472,156
41.9556,-71.1336,-94
43.0514,-91.135,-228
42.3,-110.68,-18
39.93,-111.63,43
45.32,-121.72,103
41.3392,-86.3358,-133
41.3708,-88.4336,-178
32.1669,-92.1075,6
32.2844,-110.7314,100
41.6833,-80.6667,-122
34.0067,-100.2989,28
42.08,-123.34,81
40.9025,-90.2897,-178
45.24,-109.46,-128
41.8406,-86.2658,-111
37.2778,-97.4097,-22
45.6,-111.96,39
30.2889,-82.965,200
63.94,-145.4,-183
32.0111,-85.09,128
33.0094,-109.9855,-39
59.7667,-151.1667,-167
29.8286,-82.5972,28
58.3869,-134.7658,-22
40.86,-110.8,-33
41.0908,-88.8158,-111
40.2258,-77.1894,-94
42.7986,-112.8036,22
41.1222,-98.0283,-161
37.7092,-78.2886,-6
39.0483,-79.4406,-78
47.7681,-118.7239,17
38.93,-120.05,-13
43.5753,-75.5208,-167
46.2447,-118.8786,61
64.85,-147.8,-321
40.85,-111.05,-7
43.0908,-73.1244,-133
37.2858,-120.5117,50
36.3806,-84.8744,0
38.7003,-88.0817,-39
43.9522,-71.9156,-194
40.4719,-74.4364,-72
40.7831,-76.8617,-106
39.6,-106.54,-7
37.7983,-122.2642,100
37.4297,-106.0317,-133
38.48,-112.39,-4
25.1936,-80.3492,261
47.1928,-114.8903,22
39.1911,-77.0069,-72
46.2986,-109.2561,-139
39.4458,-88.5961,-56
38.6311,-80.0856,-67
27.6528,-80.4031,167
31.6017,-109.6686,94
47.2919,-88.4208,-111
46.7047,-92.5253,-172
34.5822,-119.9817,83
31.9353,-109.2186,-50
48.9981,-110.2158,-128
29.7956,-82.9178,39
44.6247,-124.0469,89
45,-117.17,6
47.68,-121.61,125
42.1244,-86.4267,-94
44.61,-122.23,57
32.8358,-116.7775,239
43.0528,-114.1581,11
33.1111,-91.9481,-39
35.3453,-86.2089,-17
46.8875,-96.7483,-211
37.2008,-113.2686,-56
46.1972,-108.0039,-117
40.2022,-115.493,0
39.3667,-94.3294,-89
29.1378,-95.6253,22
38.5731,-122.4406,111
38.67,-119.61,38
43.4156,-83.2894,-139
47.0731,-109.4017,-117
37.2811,-121.0178,111
39.0669,-100.2389,-100
41.8183,-110.0564,28
44.4,-107.06,-17
36.3464,-78.8858,-44
45.8003,-91.4594,-161
40.4256,-105.2103,-28
40.1197,-75.3583,-83
44.38,-109.79,0
42.9506,-123.3572,150
35.5572,-87.2019,-33
46.3675,-124.0378,61
40.1808,-118.51,28
31.9881,-81.9522,39
35.1808,-97.4378,-22
61.4494,-149.3231,-144
46.1081,-123.2058,39
42.0944,-121.9022,-39
44.5078,-123.4575,61
45.8383,-101.2767,-172
39.89,-111.25,-12
38.53,-103.7058,-56
21.3331,-157.8025,189
36.8047,-107.6214,-39
32.7056,-94.7889,6
37.88,-107.36,-38
38.99,-106.75,-47
44.6917,-68.3475,-200
47.2472,-122.4122,72
35.2203,-84.7981,-11
21.6369,-158.0536,167
42.065,-94.85,-206
38.5019,-94.9597,-61
40.3561,-110.2878,-56
34.6153,-105.4739,-17
39.775,-93.5358,-106
44.115,-103.2828,-106
39.7489,-104.9425,-50
42.1506,-96.4756,-172
41.8975,-78.7144,-139
25.95,-80.2158,228
31.345,-109.5394,178
44.1011,-115.9694,28
42.6858,-103.8842,-83
30.7478,-99.2306,33
37.715,-105.2353,17
37.0031,-121.5608,67
31.8878,-82.5808,28
41.3503,-89.1072,-217
40.8778,-88.6364,-156
43.9186,-69.2622,-106
42.2619,-96.8636,-194
33.9544,-102.7783,-11
35.2028,-85.9172,-44
47.4825,-100.4444,-183
35.2414,-112.1928,139
32.8472,-97.4761,-6
40.8483,-84.93,-128
35.6031,-83.7781,-33
33.55,-81.6969,0
41.2019,-80.8106,-106
35.5158,-83.3056,-44
47.3714,-102.7606,-172
42.76,-110.59,-51
35.3297,-82.4492,-28
39.7122,-111.8319,-28
41.8394,-94.1106,-228
37.8717,-81.9947,-17
36.41,-105.33,17
32.6064,-80.3267,100
42.8267,-105.7878,-11
41.0347,-74.4233,-94
34.2325,-111.3447,172
36.8864,-104.4428,11
37.5544,-91.8831,-100
24.55,-81.7833,222
32.8978,-90.8853,67
42.3297,-78.4633,-139
29.56,-104.3728,89
48.8411,-99.7508,-217
35.8847,-77.5386,-28
32.5992,-85.4653,33
40.17,-107.06,-24
41.5217,-76.4042,-122
35.0364,-111.0231,-33
41.0172,-80.3614,-100
41.4639,-97.3278,-128
41.2428,-89.8997,-178
43.4622,-76.4933,-78
39.17,-120.15,26
36.1308,-81.2275,-39
45.8472,-119.6933,33
27.5947,-81.5267,150
37.7433,-83.6428,-50
29.755,-81.5389,106
41.525,-111.1494,56
38.4547,-78.9353,-56
44.6889,-70.1567,-167
27.5683,-99.4983,100
27.9775,-99.3847,22
37.0769,-111.6639,-22
38.4294,-96.2189,-83
41.7525,-81.2956,-67
38.6856,-90.5231,-50
44.6856,-104.6028,-67
39.5608,-111.8653,22
34.5894,-118.4547,183
40.5614,-86.3425,-133
46.3119,-119.2633,6
41.6686,-94.4972,-194
30.3303,-95.4831,22
40.2986,-86.5067,-122
38.4478,-99.91,-61
38.85,-119.94,-15
60.39,-149.69,-66
32.81,-93.0625,-22
42.1397,-109.4308,-94
32.4725,-94.7172,150
18.3361,-66.6667,206
43.7,-109.67,-5
38.09,-97.9125,-56
44.44,-121.95,5
48.37,-116.64,35
35.4083,-78.8208,-33
31.8611,-97.375,-28
33.2733,-97.5769,-44
26.2028,-97.6728,72
37.9483,-83.4825,-56
44.4536,-71.1853,-183
39.3667,-81.3167,-72
41.845,-96.7142,-183
47.33,-121.47,21
39.4136,-114.7733,-28
18.385,-66.43,233
58.3183,-134.1003,-50
32.3067,-95.2969,111
36.6542,-80.9183,-22
39.4833,-83.85,-83
41.7372,-87.7775,-133
36.9139,-113.9422,117
33.7775,-81.8467,-6
42.9011,-87.8494,-183
33.1356,-89.0711,-22
35.4206,-82.1878,44
40.7442,-115.4855,-61
43.7333,-71.4833,-139
41.6092,-91.505,-194
47.3111,-116.9544,22
33.0725,-82.0061,-17
36.85,-100.0569,-22
39.9425,-105.8172,28
36.7297,-76.6014,11
43.8225,-91.1914,-183
40.5739,-74.8811,-94
45.8328,-109.9503,-122
36.0956,-81.8311,-72
40.9331,-73.0192,-67
33.1244,-94.1661,-28
42.87,-109.09,22
38.1872,-80.1336,-67
40.65,-115.38,56
33.1481,-95.6269,-22
39.7275,-79.9131,-83
37.9614,-119.7831,78
64.8569,-147.8611,-256
32.1225,-96.4867,22
39.88,-86.0514,-122
40.8292,-75.0836,-89
41.66,-115.32,55
41.9819,-70.6961,-61
40.5514,-80.2167,-56
35.8578,-98.4139,-6
40.1347,-90.4792,-122
36.0469,-115.1847,83
41.1431,-96.4808,-150
45.0606,-83.4281,-133
38.2306,-90.3981,-22
34.1742,-103.3519,44
65.0033,-147.3408,-117
61.1303,-146.3517,-100
45.04,-121.93,23
40.0378,-113.9886,17
37.5422,-122.0158,144
36.4742,-79.7433,-33
41.1056,-100.9775,-122
41.3511,-72.0389,-83
40.49,-112.61,50
41.4439,-86.9294,-144
31.1444,-99.3492,39
43.5492,-121.9639,-17
43.6747,-86.4239,-117
31.6725,-100.7283,0
37.9458,-79.9542,-44
41.49,-119,87
37.9567,-122.5447,161
35.5164,-78.3458,-28
57.8047,-152.3561,33
38.9133,-76.97,-56
34.2314,-87.6353,28
37.85,-107.73,-29
45.1864,-85.1478,-122
36.5758,-98.8797,-11
39.8,-105.78,-29
40.7672,-95.38,-144
62.63,-150.78,-132
38.0936,-102.6306,-94
32.75,-98.9017,-6
44.07,-70.7467,-211
33.4692,-88.7822,-17
41.4,-73.4167,-100
31.3336,-96.8581,-11
38.5167,-81.6453,-44
33.55,-102.3758,17
33.5575,-111.5358,39
44.3272,-91.9194,-144
40.1467,-79.8986,-83
48.57,-120.78,5
33.9283,-78.3894,128
37.87,-109.45,13
34.3592,-116.5378,78
42.4036,-124.4242,122
65.08,-145.87,-106
44.63,-115.79,14
45.5119,-88.7594,-244
43.87,-114.71,11
37.6128,-114.5264,-56
44.5767,-106.9061,-78
44.2394,-95.6308,-200
35.7192,-78.7878,-28
46.3731,-112.0225,11
39.8372,-75.0442,-67
39.3,-106.11,-9
65.1744,-152.1069,-278
43.4719,-88.8825,-222
44.0697,-102.4478,-106
29.9142,-94.9908,22
43.5594,-90.8761,-217
31.4403,-98.5903,22
37.9647,-87.5783,-28
35.6,-95.05,-33
37.1644,-88.4311,-39
41.0072,-76.4483,-67
41.2986,-80.7647,-111
46.5022,-116.3217,17
43.23,-122.43,16
35.9833,-83.2008,-6
48.87,-121.79,77
41.8089,-72.7806,-94
42.6008,-99.3333,-150
30.7267,-91.3672,44
47.92,-112.79,-140
37.65,-108.01,-22
37.7219,-107.2667,-128
40.5764,-105.0858,33
37.5922,-100.4389,-22
39.8383,-96.6364,-128
34.2042,-84.7925,-56
40.5208,-98.0536,-133
34.1239,-109.9219,-17
63.7175,-148.9692,-233
26.7361,-81.0492,100
37.8225,-107.1097,-78
32.3392,-110.9808,72
41.9797,-122.3378,-11
43.5,-109.75,7
42.6394,-72.2244,-117
46.4444,-97.6928,-200
46.3286,-114.0836,11
39.6361,-91.2494,-50
26.2422,-98.3992,67
38.4758,-102.7769,-94
35.9028,-103.5272,0
45.8814,-111.4164,67
31.3206,-92.4611,-11
46.0108,-98.5261,-156
35.2667,-105.3572,-22
44.7158,-103.4275,-111
46.3047,-96.5217,-194
43.2389,-88.1222,-194
41.6111,-102.9014,-111
39.285,-94.95,-106
36.8894,-81.7711,-28
48.1603,-90.8842,-217
32.92,-108.15,67
39.7994,-79.3664,-94
42.0772,-91.3028,-183
43.2386,-76.1964,-106
46.58,-111.27,-139
26.5581,-99.1372,83
35.1411,-114.5686,222
31.5447,-90.4581,-33
45.9983,-83.9014,-133
42.0019,-76.525,-106
47.3706,-123.16,94
30.3011,-99.2681,22
35.1581,-92.7672,-39
39.7333,-82.2156,-94
38.3833,-81.8344,-39
34.6111,-82.7269,-50
33.2119,-87.6161,72
63.31,-147.65,-318
40.8592,-102.5167,-61
36.79,-92.2192,-17
36.5044,-96.7439,-17
39.245,-99.3808,-100
37.4725,-122.4433,194
44.46,-110.14,11
44.0981,-93.2308,-233
18.2972,-65.29,256
38.1167,-89.7167,-39
37.6,-112.92,-7
31.7119,-110.0686,44
44.9167,-110.4203,0
46.26,-122.18,107
43.47,-107.24,-34
36.2981,-86.2631,-33
32.8556,-100.4611,17
48.86,-118.4,15
44.5075,-109.1675,78
42.4244,-103.7347,-72
43.6028,-72.3622,-178
39.5833,-120.3706,-11
44.3253,-96.7686,-239
34.1408,-82.855,-33
37.9825,-103.5439,-50
37.8256,-106.9319,-139
40.35,-106.09,-60
34.7056,-113.6125,50
41.8819,-70.9086,-100
42.0264,-115.3597,-17
44.25,-118.52,15
46.5372,-92.1186,-161
31.4364,-100.8781,28
41.96,-121.4744,117
40.8619,-75.6428,-106
43.4131,-106.2772,-11
30.1192,-85.2042,28
34.37,-111.01,41
37.4664,-96.2714,-44
36.86,-106.23,-43
41.47,-111.5,12
36.4992,-80.6508,-33
42.0811,-76.3178,-111
39.5633,-120.8239,22
39.0044,-80.4744,-61
41.41,-111.83,14
