@relation tobs-averages

@attribute 34.6189 numeric
@attribute -89.1911 numeric
@attribute -44 numeric

@data
45.5958,-96.8283,-206
48.6469,-118.7314,0
41.8564,-71.7333,-128
32.4481,-100.5264,17
41.4764,-75.1653,-106
43.13,-110.2,-19
31.3706,-100.4942,28
40.9153,-97.5997,-167
32.1808,-94.7964,-11
60.55,-145.75,1
43.9181,-113.6317,6
36.41,-105.33,17
48.31,-114.84,9
35.2489,-106.595,-61
38.7853,-76.9947,-61
34.5675,-92.6006,-33
48.7167,-111.4747,-150
43.7828,-113.0033,-61
31.8708,-85.45,17
35.3056,-120.6619,261
46.6533,-123.73,78
20.0386,-155.3683,211
41.0497,-112.9367,33
42.54,-90.6461,-228
39.9222,-81.4347,-94
36.4783,-77.6717,-22
39.6186,-87.6672,-83
34.8814,-82.7189,-33
44.0461,-69.5367,-122
39.5283,-85.7914,-78
39.23,-114.24,17
44.98,-111.95,-6
47.1547,-110.2239,-167
41.55,-116.01,84
39.3672,-101.4461,-83
64.8569,-147.8611,-256
44.85,-106.2889,-161
45.4803,-122.4664,39
39.2728,-79.3683,-83
47.98,-114.35,34
36.7386,-103.9936,22
37.7417,-95.9333,-11
37.1319,-90.7756,-56
45.4136,-97.9064,-178
41.0664,-86.2097,-133
32.7744,-101.4539,39
37.4636,-113.2897,0
37.6411,-112.1689,-22
43.4047,-95.7483,-256
38.8681,-94.0353,-67
38.99,-106.75,-47
45.8944,-106.6336,-122
34.6747,-82.2267,-39
37.9492,-107.8736,-100
43.6356,-113.2989,11
45.53,-123.3,83
34.4092,-79.3564,-17
47.19,-112.2906,-167
46.2147,-96.1783,-217
59.4547,-135.3136,-83
21.9189,-159.6278,228
31.5447,-90.4581,-33
41.9903,-77.1567,-122
44.5486,-95.0997,-211
39.08,-106.61,-70
33.9,-109.16,35
43.8567,-110.5889,-72
46.18,-117.54,82
59.7667,-151.1667,-167
42.65,-109.26,-92
47.8947,-92.5336,-211
26.0283,-80.1342,233
43.03,-109.17,26
43.8575,-95.1167,-217
43.7144,-106.6375,-33
43.73,-113.83,20
40.2986,-86.5067,-122
64.0839,-145.6136,-200
36.5956,-76.4386,28
40.74,-110.62,-10
35.5325,-90.6872,-11
40.025,-83.0286,-111
36.31,-115.68,53
34.2067,-119.1375,172
42.5497,-78.5767,-111
36.8894,-81.7711,-28
20.7947,-156.0153,217
43.1803,-101.7386,-139
41.9117,-89.0708,-189
40.74,-110.62,-10
43.9144,-122.76,72
38.1311,-105.4661,22
44.5228,-116.0481,0
44.3514,-87.812,-194
39.0642,-77.8883,-89
46.6533,-123.73,78
37.5,-108.11,36
27.0997,-80.2628,183
32.0142,-85.7464,-22
36.7236,-102.4806,44
41.66,-115.32,55
41.735,-111.8564,-17
43.7028,-88.9989,-211
39.7067,-86.2808,-117
39.32,-106.61,-50
41.4086,-102.9661,-50
43.305,-76.3939,-106
40.9125,-89.0339,-161
48.5497,-114.5739,-50
37.3036,-89.9664,-6
35.9086,-79.0794,-39
32.8672,-116.4194,100
38.645,-95.5661,-72
33.1544,-88.5586,-28
28.8147,-81.2778,128
40.7928,-87.7556,-156
39.8986,-80.1656,-89
47.9186,-108.5244,-150
34.265,-88.7658,-17
45.6,-111.96,39
35.7,-105.81,-8
26.565,-98.1236,67
36.235,-88.0908,33
40.2411,-83.3669,-117
32.5067,-97.3444,-11
38.7339,-77.4925,-61
46.3119,-119.2633,6
37.4536,-103.3219,-6
33.1869,-102.8281,-6
37.5742,-81.5356,-22
44.45,-119.93,45
45.4,-110.96,-3
38.72,-119.89,-43
48.5558,-119.7492,-6
65.08,-145.87,-106
36.0975,-119.5817,122
40.3544,-96.1939,-139
40.91,-109.96,-42
40.265,-74.5642,-72
42.4733,-91.4517,-256
40.95,-110.48,-56
48.82,-121.93,101
32.4758,-88.8111,-11
45.7717,-108.4811,-111
44.7764,-108.7592,-100
26.3769,-98.8117,67
45.8081,-120.8428,6
46.9914,-112.0122,-128
43.0908,-73.1244,-133
39.32,-114.62,57
40.2575,-94.0269,-111
46.72,-122.9528,56
37.2733,-99.3289,6
43.23,-122.43,16
40.86,-102.8031,-94
32.8472,-97.4761,-6
32.2767,-104.5136,78
36.9769,-79.8961,-22
40.6653,-86.955,-128
37.3858,-109.075,-22
38.6753,-93.2228,-50
37.5669,-101.7508,-50
46.5333,-109.3442,-122
40.19,-111.36,10
31.7119,-110.0686,44
48.9081,-103.8056,-211
40.2403,-81.8711,-106
46.24,-117.39,95
46.98,-115.03,13
45.9336,-88.2583,-250
39.8161,-82.0733,-94
40.36,-116.86,74
45.2925,-111.9481,28
37.9497,-82.4047,-44
44.9933,-84.1625,-144
30.6036,-92.7739,-11
42.7672,-74.1711,-128
44.7183,-96.2697,-206
39.66,-105.59,-1
27.8703,-81.0436,150
39.0744,-96.8983,-106
41.4175,-95.0042,-183
42.2611,-90.423,-178
33.9283,-78.3894,128
20.0131,-155.6686,167
41.9442,-71.9031,-106
46.4867,-84.4089,-167
40.3392,-79.8603,-94
43.67,-122.57,128
39.9661,-75.0217,-78
63.7175,-148.9692,-233
34.7392,-90.7664,-11
35.4244,-77.9919,-22
40.185,-105.8667,22
39.9058,-91.4281,-94
42.9203,-77.7558,-117
45.3558,-122.6047,78
42.0628,-88.2861,-183
46.1081,-123.2058,39
34.265,-88.7658,-17
41.6517,-76.8464,-117
30.5833,-94.4,-22
31.7633,-84.1869,22
41.36,-106.23,-19
42.3717,-79.4867,-89
41.07,-106.94,-42
20.6419,-156.44,189
31.7044,-98.0853,28
33.8642,-79.7297,0
40.4528,-74.8081,-94
38.4617,-76.6992,-44
40.7908,-111.4078,67
46.35,-111.85,-81
46.8208,-88.6064,-167
30.5844,-97.4156,6
39.29,-117.11,61
40.84,-110.66,-81
40.6117,-116.8917,61
33.4528,-87.3572,-33
44.6453,-67.6494,-189
32.7822,-106.1758,-56
32.3222,-110.4147,39
21.3933,-157.975,183
39.5683,-119.7956,44
41.5889,-75.3303,-111
44.2994,-120.7264,33
38.68,-119.96,28
40.6864,-100.0536,-133
42.0981,-89.9842,-228
34.2289,-84.1275,11
43.23,-122.43,16
31.4144,-97.7019,100
38.6989,-90.6828,-28
42.3833,-85.3828,-72
41.38,-74.6847,-94
38.3897,-108.9494,-78
41.0469,-102.1467,-72
43.6536,-110.7169,11
39.4039,-86.453,-78
38.5933,-86.6114,-44
39.7156,-82.6072,-100
42.3114,-78.9083,-144
43.6408,-87.905,-183
40.3033,-121.2422,-22
45.1769,-109.2572,-161
45.6414,-85.0142,-122
35.8489,-90.6589,-28
33.8161,-111.9019,239
40.61,-109.89,4
33.6617,-115.7206,83
33.3614,-93.5675,-28
46.93,-110.9,-130
33.4,-105.79,76
36.6044,-118.7325,-33
35.5325,-90.6872,-11
39.9717,-120.0828,6
41.76,-115.69,65
25.1422,-80.9144,239
43.7861,-90.7953,-189
44.7281,-75.4442,-128
36.3825,-79.6947,-22
61.6267,-149.0364,-144
25.1422,-80.9144,239
38.07,-112.17,25
43.6842,-114.3603,-28
46.0044,-102.6472,-139
39.14,-120.22,-9
42.6,-90.4236,-200
47.6428,-115.9172,-6
46.2061,-67.8417,-217
39.2728,-79.3683,-83
43.0428,-112.4133,-28
40.8494,-84.5808,-133
38.4558,-86.6983,-50
37.1167,-84.6167,-17
40.2333,-100.83,-78
47.1889,-120.9131,-6
44.8767,-97.7383,-256
43.9522,-71.9156,-194
44.6425,-71.8908,-228
45.41,-112.96,3
41.24,-120.79,-17
21.5383,-158.0892,167
35.64,-77.3983,22
42.5189,-93.2536,-228
37.7083,-113.1439,11
35.1161,-93.6506,0
32.8242,-95.5275,44
42.5483,-119.6556,72
35.2239,-109.3222,22
41.0656,-92.7867,-183
39.14,-111.56,4
43.5606,-103.4881,-61
36.2747,-91.5056,28
41.5575,-85.8825,-139
41.3853,-70.5181,-78
37.8225,-107.1097,-78
47.35,-120.68,34
37.8675,-109.3514,-22
47.4144,-121.7561,44
34.46,-111.41,62
47.78,-121.7,90
33.3947,-110.7933,44
39.19,-120.26,64
45.0908,-91.4864,-222
43.2356,-99.4339,-178
48.69,-121.91,81
39.5592,-97.6697,-133
35.2947,-113.3664,17
43.17,-110.14,-74
48.91,-114.77,-25
20.0386,-155.3683,211
38.7339,-77.4925,-61
42.9131,-98.8511,-183
44.59,-111.12,-7
40.1597,-79.0286,-122
40.23,-105.92,-5
44.0992,-105.1175,-150
35.3125,-81.9889,-50
66.92,-151.53,-194
30.1981,-91.1256,61
65.1744,-152.1069,-278
36.0606,-102.5211,-11
38.0047,-120.4864,44
34.6033,-91.9928,-28
40.6019,-112.5075,-44
45.9981,-120.3006,22
38.68,-111.6,-16
40.8603,-115.7425,-11
65.1,-144.93,-122
39.0733,-93.7075,-89
37.6336,-83.7161,-39
42.9011,-87.8494,-183
25.3867,-80.5936,211
44.4933,-68.4583,-167
37.6094,-109.9772,-50
33.8203,-93.3878,-50
35.2458,-82.3892,-33
42.665,-74.3036,-122
45.3172,-85.2672,-100
39.7411,-99.8361,-111
43.7953,-88.4533,-206
45.2236,-91.1269,-244
35.895,-82.8311,-44
32.385,-90.8753,-28
33.1772,-90.4919,-6
39.0044,-80.4744,-61
32.7225,-113.9192,33
38.0936,-102.6306,-94
33.9792,-112.7403,233
42.8222,-99.7467,-178
37.39,-94.7025,-11
59.7444,-151.6347,-33
37.9983,-122.5372,100
29.5175,-97.4597,33
41.3283,-88.9106,-194
42.4897,-95.5489,-161
37.3522,-113.6667,44
48.86,-118.4,15
42.9592,-120.7897,22
40.72,-109.54,-24
48.6956,-106.3153,-178
38.8247,-106.1275,-39
40.5208,-101.655,-111
34.0464,-94.3481,-17
64.8603,-147.8483,-289
47.43,-113.78,24
41.5183,-84.1453,-133
48.0164,-123.5906,61
43.4378,-103.4739,-100
41.4197,-78.7492,-128
38.395,-93.7711,-44
44.7442,-116.4325,6
35.5489,-105.6886,94
43.0453,-92.3122,-233
44.5847,-85.3653,-156
32.2631,-96.6369,11
40.9842,-86.8872,-150
43.1017,-93.8014,-244
44.6719,-117.9942,-6
46.9997,-109.8694,-161
29.1967,-81.0083,150
42.7392,-78.5878,-128
32.7667,-99.89,17
43.8925,-70.2544,-139
32.7692,-94.3592,-28
37.2858,-120.5117,50
34.5858,-102.312,-17
64.7856,-141.2036,-372
35.5981,-85.1936,44
43.3828,-95.1842,-172
47.9558,-124.3539,106
44.3222,-93.9656,-233
