@relation usgs-averages

@attribute 17.95780016 numeric
@attribute -66.39216119 numeric
@attribute 15.11 numeric

@data
17.980799,-66.166833,64.78
17.990911,-66.613173,9.46
17.994132,-66.216001,29.04
18.012882,-66.786092,8.62
18.020325,-66.93351,5.35
18.098242,-65.467492,11.33
18.202736,-65.75794,5.04
18.214685,-67.138299,5.7
18.357672,-66.573923,126.26
18.418837,-66.327391,67.77
18.428086,-66.511449,23.13
18.441696,-66.798676,311.65
18.442002,-66.647786,101.34
18.44428,-66.338169,27.42
29.133889,-98.391389,138.09
29.438565,-99.283374,206.79
29.495278,-98.595556,177.56
29.547778,-98.635556,187.33
29.563648,-95.119153,131.77
29.587778,-98.548611,229.39
29.72723,-95.450996,227.7
29.727452,-95.45133,255
29.790784,-95.586611,10.84
29.790923,-95.586361,348.99
29.790784,-95.586611,153.57
29.791338,-95.333826,171.73
29.867797,-99.567189,248.04
29.913833,-95.144931,67.89
30.139972,-95.463139,142.99
30.146944,-95.2425,141.75
30.207903,-95.457417,366.2
30.210339,-97.781583,138.53
30.216667,-92.98,60.33
30.251444,-95.576972,44.56
30.330209,-95.483552,91.2
30.330209,-95.483552,55.95
30.437413,-91.141773,163.04
30.443333,-91.143889,129.61
30.443694,-95.708139,16.48
30.443694,-95.708139,16.77
30.445191,-91.142884,106
30.450746,-91.177607,212.88
30.507412,-91.191775,243.48
30.528368,-95.564139,78.37
30.547688,-91.19733,72.38
30.735236,-81.551208,-10.18
30.735236,-81.551208,2.94
30.735,-81.551389,-25.46
30.735,-81.551389,-35.36
30.831035,-83.282652,130.83
30.961854,-84.596026,48.34
31.085463,-84.439355,56.43
31.136342,-81.490934,-8.39
31.136342,-81.490934,-9.76
31.158611,-81.486111,-1.09
31.172778,-81.512778,4.74
31.172778,-81.512778,14.99
31.174528,-81.483278,3.37
31.300736,-84.322964,43.09
31.358235,-84.115738,53.09
31.43825,-84.185028,43.56
31.487306,-84.258333,27.12
31.546565,-84.013794,54.29
31.635729,-84.159908,26.75
31.664613,-84.604362,202.54
31.685278,-88.6575,26.58
31.953713,-106.605825,14.72
31.953713,-106.605825,24.66
31.953713,-106.605825,79.43
31.953713,-106.605825,73.37
32.024381,-80.853166,8.1
32.024381,-80.853444,31.89
32.03,-83.852222,67.56
32.217408,-82.40985,186.6
32.227378,-92.582926,237.59
32.267702,-80.722608,12.68
32.294538,-106.803338,43.53
32.294538,-106.803338,43.5
32.294816,-106.803338,43.79
32.342092,-84.986042,49.61
32.346528,-86.361915,25.85
32.389722,-106.530278,66.42
32.416917,-85.919917,15.87
32.451835,-83.057649,38.05
32.553644,-117.061603,45.75
32.553644,-117.061603,45.79
32.553644,-117.061603,45.8
32.553644,-117.061603,16.89
32.553644,-117.061603,15.71
32.591006,-117.083475,48.08
32.591006,-117.083475,44.85
32.591006,-117.083475,27.09
32.591006,-117.083475,24.75
32.591006,-117.083475,13.75
32.591236,-117.053892,-17.44
32.591236,-117.053892,-19.63
32.591236,-117.053892,9.91
32.591236,-117.053892,24.23
32.591236,-117.053892,27.79
32.616597,-117.059411,64.22
32.616597,-117.059411,63.55
32.616597,-117.059411,93.28
32.616597,-117.059411,117.62
32.616597,-117.059411,116.46
32.616597,-117.059411,119.14
32.626342,-107.019011,10.27
32.654414,-117.098244,56.28
32.654414,-117.098244,49.41
32.654414,-117.098244,42.94
32.654414,-117.098244,23.93
32.654414,-117.098244,20.87
32.659036,-117.085578,-68.7
32.659036,-117.085578,42.76
32.659036,-117.085578,59.42
32.659036,-117.085578,123.29
32.659036,-117.085578,25.51
32.659036,-117.085578,17.88
32.668639,-107.165333,13.03
32.682081,-117.112381,34.44
32.682081,-117.112381,12.15
32.682081,-117.112381,12.62
32.682081,-117.112381,11.94
32.682081,-117.112381,9.34
32.687794,-117.085597,110.14
32.687794,-117.085597,133.22
32.687794,-117.085597,133.37
32.687794,-117.085597,125.08
32.687794,-117.085597,98.13
32.694868,-92.651539,192.27
32.718933,-117.109947,-14.88
32.718933,-117.109947,-13.28
32.718933,-117.109947,-10.53
32.718933,-117.109947,87.04
32.718933,-117.109947,87.2
