@relation usgs-averages

@attribute 17.95780016 numeric
@attribute -66.39216119 numeric
@attribute 15.11 numeric

@data
41.161681,-97.963669,5.8
37.535528,-90.301778,99.24
39.351212,-77.929719,23
35.196181,-85.207457,64.51
34.847593,-83.07154,28.92
42.192278,-88.149917,66.09
37.364611,-91.540083,64.03
32.294538,-106.803338,43.53
43.617945,-116.18595,-15.42
37.615944,-93.254278,62.6
36.195889,-89.661306,19.12
43.724974,-96.730329,6.63
44.138129,-69.926161,10.75
37.151889,-93.244611,262.36
40.43205,-74.454874,17.67
42.482881,-88.398844,28.64
32.654414,-117.098244,23.93
35.189167,-83.913889,3.54
39.8125,-79.587222,23.02
35.149534,-89.987312,35.53
37.202368,-76.569397,23.58
39.802335,-75.289631,8.26
37.870211,-76.317346,96.72
34.519433,-90.772633,18.8
32.791565,-79.928421,44.85
38.651719,-90.854023,41.98
34.442591,-96.829177,53.23
32.024381,-80.853166,8.1
37.956513,-75.578538,9.1
42.412571,-77.342203,9.22
32.668639,-107.165333,13.03
30.251444,-95.576972,44.56
40.844411,-98.645631,43.25
37.656769,-77.374525,12.87
37.262083,-76.0091,10.93
41.933064,-98.014786,97.07
43.363333,-76.380833,23.08
34.90091,-85.266622,10.41
40.043727,-74.35737,28.12
37.515575,-91.111212,131.74
42.479122,-88.481625,26.29
29.913833,-95.144931,67.89
39.322194,-78.056056,32.42
44.656089,-92.690433,13.29
36.6225,-94.293889,9.32
32.778092,-117.120856,18.74
36.784316,-76.643287,162.26
32.553644,-117.061603,15.71
45.268017,-97.121746,78.35
40.765639,-77.880694,103.73
40.889889,-78.811889,35.6
34.094717,-117.128822,355.93
36.60904,-76.966628,115.37
40.917417,-98.738389,131.15
42.6875,-73.831389,10.13
44.139793,-70.487003,9.2
36.778881,-77.071161,12.54
32.778092,-117.120856,-14.4
44.656089,-92.690433,13.25
42.195833,-88.33,2.58
38.246333,-81.658556,18.5
34.975194,-81.058806,20.65
40.765639,-77.880694,103.73
35.77105,-81.147347,40.68
37.963652,-91.797381,371.16
35.387778,-82.812222,4.48
42.091729,-78.747532,7.83
32.659036,-117.085578,17.88
39.459004,-75.157683,5.46
41.397263,-86.857801,7.02
36.795667,-114.892806,356.29
37.364611,-91.540083,64.03
43.623889,-96.745833,11.57
34.134511,-117.372681,332.32
30.330209,-95.483552,55.95
40.788062,-99.76845,8.36
34.674304,-81.415097,90.53
34.970556,-79.528333,29.76
37.263222,-93.2465,220.52
36.995,-94.845,30.82
38.150028,-91.26075,212.29
35.336806,-81.262069,46.67
36.778869,-77.071036,97.67
41.705421,-70.526001,100.24
42.467472,-97.054689,2.59
39.820536,-84.1592,29.43
35.213403,-85.221069,18.53
43.015624,-75.594346,9.59
37.263222,-93.2465,220.52
32.659036,-117.085578,25.51
31.136342,-81.490934,-9.76
37.339778,-92.906417,237.7
42.389667,-76.3175,19.64
36.864,-76.086317,22.4
37.744972,-77.204909,184.45
34.134511,-117.372681,332.34
18.098242,-65.467492,11.33
31.953713,-106.605825,14.72
40.362053,-74.313203,5.5
42.389667,-76.3175,19.64
36.787385,-76.051538,13.19
41.76859,-102.442973,2.11
38.365444,-85.64,34.16
34.134511,-117.372681,318.89
36.795667,-114.892806,356.29
30.443333,-91.143889,129.61
41.04675,-99.279722,109.33
42.035228,-70.082572,12.1
42.462585,-73.188437,21.75
35.643806,-89.825944,202.3
38.546436,-87.602802,10.44
36.92515,-77.177468,61.71
37.094222,-93.827833,153.98
30.547688,-91.19733,72.38
38.977111,-90.996083,299.41
32.294816,-106.803338,43.79
35.186528,-89.856806,70.75
35.130628,-85.08273,8.5
37.106611,-92.413167,589.78
42.567222,-109.930222,5.63
18.442002,-66.647786,101.34
34.104819,-86.577769,62.67
34.442591,-96.829177,53.23
42.451111,-88.648056,7.62
32.346528,-86.361915,25.85
37.042922,-77.194653,101.58
42.490278,-88.431667,-11.99
42.188872,-88.471706,29.81
37.339778,-92.906417,237.7
40.837222,-99.986111,9.01
38.805819,-78.789639,13.41
37.094194,-93.827889,64.93
38.696472,-93.171833,177.45
34.026769,-117.060878,317.4
32.668639,-107.165333,13.03
40.753624,-98.303671,66.2
39.144722,-82.899444,23.53
37.094222,-93.827833,153.98
40.043727,-74.35737,28.12
37.87025,-76.317293,105.3
41.888456,-85.409336,0.29
42.755372,-70.939489,10.36
39.468946,-84.476612,30.28
39.698694,-92.051,28.18
32.778092,-117.120856,18.74
37.363839,-79.706358,39.45
36.784316,-76.643287,162.26
42.479122,-88.481625,26.29
37.262083,-76.0091,10.93
35.738889,-76.775278,1.69
41.778586,-100.525161,14.69
36.598472,-90.260389,22
35.77105,-81.147347,40.68
40.48087,-87.359738,13.98
33.257089,-81.962894,134.55
34.134511,-117.372681,318.1
36.934028,-92.664278,293.15
39.887778,-83.991944,1.11
37.454215,-90.852067,20.47
39.991223,-74.840442,6.43
40.4145,-78.453389,11.36
41.574361,-74.149278,6.65
39.374417,-94.792,20.73
32.342092,-84.986042,49.61
33.424531,-82.009581,6.24
37.554637,-77.214414,211.17
39.802335,-75.289631,8.26
37.189394,-78.195558,15.97
37.100083,-94.376333,17.21
40.043727,-74.35737,28.12
37.632913,-79.454203,22.43
34.847778,-78.020972,3.37
38.365444,-85.64,34.16
40.184835,-74.200143,40.51
41.032328,-98.740456,7.43
36.542694,-94.484667,482.86
38.979139,-90.976667,165.13
39.845323,-91.440707,22.94
41.458806,-78.061778,21.49
41.593155,-72.426474,11.47
41.473709,-72.684262,13.19
39.459004,-75.157683,5.36
37.515047,-76.978808,95.12
33.257089,-81.962894,134.55
32.591236,-117.053892,-19.63
35.842083,-81.409083,20.45
37.300389,-93.434333,189.49
42.262222,-78.036944,-0.64
18.357672,-66.573923,126.26
39.471703,-87.409187,43.64
37.870211,-76.317346,96.72
36.902997,-76.121219,7.33
39.322194,-78.056056,32.42
34.519433,-90.772633,18.8
42.273889,-88.520556,5.25
37.535528,-90.301778,99.24
38.167357,-78.161391,24.65
37.362647,-76.825239,190.82
31.953713,-106.605825,24.66
33.5475,-90.543889,29.8
39.979278,-77.069167,11.52
37.094194,-93.827889,64.93
38.981389,-92.991111,29
39.552715,-114.798075,11.54
36.607096,-76.873571,176.38
35.77105,-81.147347,40.9
37.651713,-91.119771,230.03
36.195889,-89.661306,19.12
30.330209,-95.483552,55.95
36.869501,-88.653661,9.67
39.376723,-84.56328,11.19
40.183361,-91.829778,62.36
32.553644,-117.061603,45.79
38.807611,-93.323361,186.06
35.192,-79.46475,42.44
41.547879,-71.542839,11.83
18.428086,-66.511449,23.13
32.687794,-117.085597,133.22
