@relation box-weka.filters.unsupervised.instance.Resample-S1-Z20.0-no-replacement

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
0.372787,4.597242,0
0.305069,6.305436,1
0.659963,7.666501,2
0.065727,7.144626,3
1.829348,1.317908,4
1.728534,6.893878,5
1.353195,7.283025,6
2.280916,1.569135,7
2.14167,1.101276,8
2.426223,4.739287,9
2.841596,4.42703,10
2.961415,6.091856,11
2.007088,6.262983,12
2.73213,7.678606,13
2.696425,8.957231,14
3.088293,0.739154,15
3.105835,1.430699,16
3.091506,2.864708,17
3.624588,2.966113,18
3.327977,5.746121,19
3.703128,8.376196,20
4.814551,1.491588,21
4.516564,8.97745,22
5.634405,2.910943,23
5.920571,3.472609,24
5.737164,4.995654,25
5.844806,5.904718,26
6.217752,4.683957,27
6.576834,5.359539,28
6.364451,7.494003,29
7.029144,4.343619,30
7.492087,5.91238,31
7.169262,9.796363,32
8.728486,9.47116,33
8.771793,9.714164,34
9.465161,1.284635,35
9.575749,2.141029,36
9.827695,2.683711,37
9.83545,3.719273,38
9.777727,7.197598,39
0.173134,2.42333,40
0.814876,3.020477,41
0.396149,5.82029,42
1.874765,0.040027,43
1.631362,7.308736,44
1.735899,8.494401,45
1.871439,9.740856,46
2.600324,2.899923,47
2.850719,3.51466,48
2.723733,4.231201,49
2.543471,8.889039,50
3.901197,2.001376,51
3.064614,2.753185,52
3.716477,3.555412,53
4.346195,0.587142,54
4.342431,1.844555,55
4.587009,5.36699,56
4.487898,7.77359,57
4.908755,7.87764,58
4.537156,8.346483,59
4.18722,9.163138,60
5.046538,1.973447,61
5.133347,2.91497,62
5.078207,6.185549,63
5.51149,9.805746,64
6.305096,3.154423,65
6.610494,5.990734,66
6.86604,6.488813,67
6.876329,8.454641,68
7.206088,0.293019,69
7.140542,3.889798,70
7.71471,6.839844,71
7.519116,7.409573,72
7.896603,9.742521,73
8.57434,1.809525,74
8.245206,5.59294,75
8.424127,6.2339,76
8.812906,9.887564,77
9.555013,1.566287,78
9.60863,7.752164,79
