@relation box

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
0.871455,0.20077,40.360182
0.415678,0.150719,40.360182
0.703239,1.522912,52.862845
0.976725,1.704681,55.019733
0.905372,2.586065,95.331558
0.320276,2.067014,52.862845
0.620399,3.762721,95.331558
0.035018,3.473783,95.331558
0.372787,4.597242,61.765417
0.479758,4.613413,61.765417
0.781553,5.998557,29.603661
0.306495,5.252078,29.603661
0.305069,6.305436,90.088738
0.466054,6.878782,87.456889
0.659963,7.666501,54.465687
0.065727,7.144626,87.456889
0.461319,8.289708,54.465687
0.373595,8.549467,54.465687
0.078929,9.981023,69.645358
0.755094,9.211921,99.408375
1.375789,0.109738,40.360182
1.25667,0.829143,55.019733
1.687255,1.699382,55.019733
1.829348,1.317908,55.019733
1.486045,2.777806,95.331558
1.401515,2.798624,95.331558
1.986774,3.367489,49.234479
1.880134,3.012513,49.234479
1.900569,4.943689,78.767462
1.435248,4.95065,78.767462
1.275353,5.720444,29.603661
1.43816,5.791023,84.434762
1.728534,6.893878,75.433161
1.542588,6.358468,84.434762
1.353195,7.283025,116.568963
1.357062,7.630163,116.568963
1.271116,8.199635,99.408375
1.397334,8.800934,99.408375
1.188383,9.190768,69.645358
1.891434,9.347468,69.645358
2.205442,0.390112,40.360182
2.393103,0.726794,42.910753
2.280916,1.569135,38.145402
2.14167,1.101276,42.910753
2.182876,2.671611,49.234479
2.559922,2.893761,49.234479
2.174204,3.150889,49.234479
2.661156,3.817574,57.227988
2.426223,4.739287,78.767462
2.841596,4.42703,54.745724
2.789259,5.213215,78.767462
2.583385,5.504648,72.860432
2.961415,6.091856,72.860432
2.007088,6.262983,84.434762
2.825538,7.219387,123.313329
2.73213,7.678606,123.313329
2.696425,8.957231,71.302292
2.009729,8.455081,99.408375
2.103475,9.054737,68.592147
2.760877,9.816054,71.302292
3.088293,0.739154,106.305384
3.718397,0.889216,106.305384
3.105835,1.430699,52.231686
3.309353,1.350347,52.231686
3.091506,2.864708,56.627517
3.624588,2.966113,77.10897
3.342111,3.672935,44.443873
3.227119,3.532744,57.227988
3.091601,4.596973,54.745724
3.467017,4.061211,44.443873
3.98158,5.942268,76.303864
3.327977,5.746121,76.303864
3.370964,6.650214,72.860432
3.98317,6.832286,64.185305
3.010987,7.708425,123.313329
3.636784,7.021908,123.313329
3.428863,8.678815,77.524268
3.703128,8.376196,77.524268
3.57495,9.593701,39.053803
3.41966,9.014584,77.524268
4.206793,0.383332,35.351511
4.708093,0.989988,66.530716
4.814551,1.491588,66.530716
4.868824,1.040781,66.530716
4.348864,2.881634,77.10897
4.47813,2.693577,61.25731
4.226991,3.451347,44.443873
4.358417,3.727354,44.443873
4.17281,4.735175,57.702891
4.567959,4.215424,44.443873
4.008348,5.963282,76.303864
4.026546,5.393745,57.702891
4.305571,6.609618,48.291542
4.666227,6.066373,48.291542
4.179219,7.40705,64.185305
4.738905,7.934246,76.189582
4.599201,8.073159,43.061658
4.516564,8.97745,58.234938
4.54209,9.218367,58.234938
4.75293,9.613976,58.234938
5.791447,0.372272,124.940356
5.591586,0.368722,35.351511
5.937286,1.612108,51.933615
5.239369,1.193693,66.530716
5.634405,2.910943,58.519946
5.605995,2.363211,58.519946
5.877854,3.947654,76.244071
5.920571,3.472609,76.244071
5.022821,4.204533,43.491507
5.737164,4.995654,43.491507
5.909801,5.064887,43.491507
5.844806,5.904718,57.241509
5.802024,6.24164,57.241509
5.826461,6.728171,57.241509
5.399855,7.219078,76.189582
5.353768,7.346686,76.189582
5.043215,8.294371,76.189582
5.461412,8.218926,76.189582
5.217016,9.183981,159.22824
5.059978,9.625883,159.22824
6.507298,0.728964,124.940356
6.41418,0.208643,124.940356
6.419265,1.561647,51.933615
6.670762,1.179578,124.940356
6.263211,2.540474,92.912883
6.265288,2.927741,92.912883
6.702572,3.178209,92.912883
6.457299,3.76588,76.244071
6.375449,4.994716,65.253231
6.217752,4.683957,65.253231
6.084151,5.272448,43.491507
6.576834,5.359539,91.226903
6.212549,6.96955,111.029535
6.069086,6.654021,57.241509
6.364451,7.494003,111.029535
6.250307,7.42645,111.029535
6.361628,8.285152,152.089673
6.095341,8.202655,111.029535
6.403689,9.269906,133.862614
6.527077,9.316962,133.862614
7.920457,0.107533,124.940356
7.451392,0.034109,124.940356
7.777492,1.464786,56.445894
7.689463,1.946829,56.445894
7.35075,2.148631,56.445894
7.69432,2.560219,56.445894
7.496883,3.21064,50.084712
7.770046,3.225414,50.084712
7.454167,4.220236,56.243565
7.029144,4.343619,56.243565
7.448979,5.724601,68.448443
7.492087,5.91238,68.448443
7.279191,6.539185,172.981636
7.312935,6.931482,120.446879
7.964033,7.642992,152.312308
7.790276,7.53033,152.312308
7.49035,8.031136,152.312308
7.53633,8.494179,152.089673
7.169262,9.796363,133.862614
7.287971,9.918937,133.862614
8.169944,0.875601,56.445894
8.070135,0.25743,124.940356
8.902007,1.466023,56.445894
8.697358,1.248322,56.445894
8.907873,2.011886,56.445894
8.958754,2.148484,56.445894
8.355497,3.651866,50.084712
8.054442,3.260399,50.084712
8.419742,4.522999,51.590199
8.139683,4.961711,51.590199
8.45167,5.664965,51.590199
8.01032,5.246733,51.590199
8.618496,6.600935,257.146674
8.928014,6.8681,257.146674
8.946819,7.526713,194.883577
8.153422,7.209172,120.446879
8.347288,8.502521,200.537267
8.020958,8.528745,152.089673
8.728486,9.47116,200.537267
8.771793,9.714164,204.844963
9.68651,0.242624,131.666971
9.67314,0.727841,131.666971
9.465161,1.284635,131.666971
9.959773,1.965395,66.457882
9.575749,2.141029,66.457882
9.827695,2.683711,129.687941
9.716435,3.195246,129.687941
9.83545,3.719273,55.505059
9.741526,4.599428,55.505059
9.930095,4.804813,55.505059
9.132284,5.672645,51.590199
9.306515,5.037045,51.590199
9.263056,6.242614,257.146674
9.777745,6.818182,152.60836
9.08108,7.981326,194.883577
9.777727,7.197598,152.60836
9.48038,8.943583,200.537267
9.005112,8.417737,194.883577
9.231448,9.285706,200.537267
9.258747,9.793933,257.100067
0.093473,0.354559,40.360182
0.179568,0.240799,40.360182
0.621033,1.830601,52.862845
0.417066,1.604793,52.862845
0.163003,2.080792,52.862845
0.173134,2.42333,52.862845
0.814876,3.020477,95.331558
0.111943,3.643456,95.331558
0.079458,4.580627,61.765417
0.322253,4.070535,61.765417
0.396149,5.82029,29.603661
0.90582,5.189602,61.765417
0.828691,6.966109,116.568963
0.822803,6.16186,90.088738
0.383773,7.505666,54.465687
0.021852,7.059209,87.456889
0.53962,8.778333,54.465687
0.465869,8.0636,54.465687
0.351985,9.726854,69.645358
0.433456,9.292941,69.645358
1.66541,0.962179,55.019733
1.874765,0.040027,40.360182
1.544552,1.411026,55.019733
1.836846,1.58366,55.019733
1.68217,2.990644,95.331558
1.271772,2.448174,95.331558
1.426328,3.459666,95.331558
1.246113,3.570831,95.331558
1.636059,4.53526,78.767462
1.02847,4.659839,61.765417
1.501134,5.083539,78.767462
1.603386,5.82734,84.434762
1.073018,6.120879,29.603661
1.016096,6.517113,90.088738
1.124365,7.718138,54.465687
1.631362,7.308736,127.037038
1.735899,8.494401,99.408375
1.101223,8.26191,99.408375
1.45605,9.792609,69.645358
1.871439,9.740856,69.645358
2.699952,0.769137,106.305384
2.140788,0.982723,42.910753
2.556045,1.481406,38.145402
2.344968,1.252625,42.910753
2.600324,2.899923,49.234479
2.093828,2.107425,38.145402
2.850719,3.51466,57.227988
2.280564,3.927916,26.240012
2.723733,4.231201,26.240012
2.140426,4.364747,78.767462
2.254242,5.156779,78.767462
2.583221,5.933797,72.860432
2.348208,6.824418,75.433161
2.333207,6.464479,84.434762
2.629302,7.132275,123.313329
2.518063,7.975547,123.313329
2.550783,8.03411,123.313329
2.543471,8.889039,68.592147
2.888595,9.074809,71.302292
2.396512,9.830867,69.645358
3.030621,0.371021,106.305384
3.447058,0.051217,106.305384
3.064981,1.500243,52.231686
3.821424,1.161727,52.231686
3.901197,2.001376,59.632921
3.064614,2.753185,42.559195
3.909565,3.56745,44.443873
3.716477,3.555412,44.443873
3.109404,4.045416,26.240012
3.669257,4.06154,44.443873
3.700946,5.015687,76.303864
3.809318,5.74924,76.303864
3.304181,6.390498,72.860432
3.78881,6.344158,76.303864
3.433575,7.366898,123.313329
3.737214,7.603612,77.524268
3.167118,8.170202,77.524268
3.216742,8.607089,77.524268
3.540591,9.460082,39.053803
3.270019,9.640621,71.302292
4.346195,0.587142,35.351511
4.804596,0.669713,35.351511
4.342431,1.844555,51.839588
4.07105,1.417978,51.839588
4.030169,2.58136,77.10897
4.837378,2.641714,61.25731
4.318776,3.929236,44.443873
4.837094,3.25783,61.25731
4.064199,4.170794,44.443873
4.363618,4.942537,57.702891
4.587009,5.36699,57.702891
4.091304,5.910936,57.702891
4.404188,6.107873,48.291542
4.26751,6.822692,64.185305
4.487898,7.77359,64.185305
4.908755,7.87764,76.189582
4.334142,8.26145,43.061658
4.537156,8.346483,43.061658
4.18722,9.163138,39.053803
4.254382,9.13572,39.053803
5.011369,0.369986,35.351511
5.976262,0.265196,124.940356
5.046538,1.973447,51.933615
5.561245,1.571562,51.933615
5.272824,2.075822,51.933615
5.133347,2.91497,61.25731
5.70602,3.397607,76.244071
5.737196,3.329895,76.244071
5.008003,4.808114,57.702891
5.700902,4.319528,65.253231
5.67201,5.242786,43.491507
5.199772,5.638303,48.291542
5.722737,6.326434,57.241509
5.078207,6.185549,48.291542
5.488175,7.227775,76.189582
5.559055,7.37083,111.029535
5.369302,8.789809,58.234938
5.716089,8.146089,76.189582
5.314673,9.475845,159.22824
5.51149,9.805746,159.22824
6.558782,0.047257,124.940356
6.507393,0.916472,124.940356
6.807768,1.242678,124.940356
6.858508,1.313747,124.940356
6.679251,2.193387,92.912883
6.589529,2.099475,92.912883
6.812322,3.798114,50.084712
6.305096,3.154423,92.912883
6.31018,4.993189,65.253231
6.324184,4.985108,65.253231
6.760071,5.76694,51.770004
6.610494,5.990734,51.770004
6.791992,6.849928,172.981636
6.86604,6.488813,172.981636
6.904214,7.368696,111.029535
6.75564,7.184672,111.029535
6.876329,8.454641,152.089673
6.341239,8.383512,152.089673
6.649917,9.618603,133.862614
6.188333,9.360199,159.22824
7.206088,0.293019,124.940356
7.60528,0.665866,124.940356
7.67981,1.413039,56.445894
7.470156,1.581865,56.445894
7.686241,2.987236,50.084712
7.665844,2.786869,50.084712
7.242111,3.383584,50.084712
7.140542,3.889798,50.084712
7.30136,4.078686,50.084712
7.262375,4.018412,50.084712
7.344029,5.786316,68.448443
7.905939,5.51072,51.590199
7.305779,6.04071,68.448443
7.71471,6.839844,120.446879
7.948647,7.455417,152.312308
7.519116,7.409573,152.312308
7.148724,8.592675,152.089673
7.596605,8.742326,152.089673
7.944142,9.198198,163.577221
7.896603,9.742521,163.577221
8.90178,0.188447,131.666971
8.66326,0.734674,131.666971
8.991664,1.817216,56.445894
8.57434,1.809525,56.445894
8.54434,2.949965,56.445894
