@relation hs2012

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
37.783219,-122.444229,802653.527505
37.744463,-122.501914,696409.66061
37.790506,-122.396252,1881181.818182
37.759912,-122.43236,1166491.891071
37.782585,-122.390403,1109998.47242
37.786889,-122.422165,761675.67001
37.804184,-122.42296,1622130.127932
37.790506,-122.396252,1881181.818182
37.735215,-122.4298,545642.678072
37.777431,-122.393707,1006789.172428
37.777741,-122.432477,656377.886652
37.778294,-122.423658,561884.774781
37.709359,-122.468483,365715.142117
37.778489,-122.504714,711372.557249
37.771218,-122.387925,1010495.333333
37.785786,-122.392112,1176843.535834
37.786236,-122.389074,941672.028167
37.758351,-122.444765,668175.296611
37.798234,-122.417394,1251315.043929
37.745178,-122.415507,840158.328906
37.759941,-122.390691,848676.046557
37.786792,-122.438734,821766.838474
37.72705,-122.395153,242069
37.77349,-122.439182,898340.748169
37.793212,-122.423746,980790
37.786236,-122.389074,941672.028167
37.779454,-122.396676,950091.688291
37.78629,-122.401375,1846528.533487
37.754569,-122.505924,694386.631243
37.763857,-122.403233,545000
37.782983,-122.407883,16600000
37.790506,-122.396252,1881181.818182
37.782069,-122.392744,1115002.246733
37.787535,-122.401149,1843749.268921
37.751866,-122.494296,697822.392931
37.778241,-122.393224,1008543.127002
37.774183,-122.394756,767041.738067
37.79073,-122.402993,1901013.867097
37.791599,-122.414338,1177910.296778
37.783006,-122.390247,1110001.518117
37.77493,-122.419416,414486.933469
37.785786,-122.392112,1176843.535834
37.793212,-122.423746,980790
37.758252,-122.429398,1167246.65495
37.798379,-122.434929,987094.424539
37.745299,-122.427078,967219.400546
37.79805,-122.399952,1930490.873359
37.790079,-122.390468,1064666.666667
37.771218,-122.387925,1010495.333333
37.788252,-122.403079,1880384.005105
37.790506,-122.396252,1881181.818182
37.771218,-122.387925,1010495.333333
37.737136,-122.42687,722827.836898
37.803061,-122.421044,1624474.888309
37.764169,-122.446798,1100437.367135
37.791506,-122.426332,929124.81794
37.782328,-122.451326,782687.454466
37.803055,-122.423908,1623265.095554
37.785786,-122.392112,1176843.535834
37.776381,-122.44569,730901.05828
37.783585,-122.443486,802562.127139
37.779781,-122.439062,777028.136166
37.773284,-122.498956,726829.156466
37.77493,-122.419416,414486.933469
37.795127,-122.429699,821333.333333
37.771218,-122.387925,1010495.333333
37.753736,-122.402192,806423.610873
37.785794,-122.424669,639858.72375
37.799493,-122.414884,1250345.903453
37.786126,-122.434389,752964.303423
37.783203,-122.420568,682022.751122
37.73537,-122.42443,505891.305045
37.717125,-122.440305,590585.243653
37.753738,-122.393031,848639.299427
37.76424,-122.446782,1100564.573264
37.793212,-122.423746,980790
37.803353,-122.417839,1277683.388119
37.772256,-122.453668,866300.208136
37.794845,-122.421821,933000
37.78069,-122.38922,1109998.768589
37.771218,-122.387925,1010495.333333
37.798636,-122.413205,957766.882077
37.733129,-122.41458,459908.917569
37.792492,-122.415813,1175032.655277
37.761862,-122.488082,731384.457362
37.745299,-122.427078,967219.400546
37.78629,-122.401375,1846528.533487
37.756345,-122.508281,693507.579968
37.778241,-122.393224,1008543.127002
37.793389,-122.415397,1142086.297384
37.774805,-122.412058,577738.279978
37.778621,-122.485342,1184857.263439
37.71246,-122.394372,427039.102832
37.771218,-122.387925,1010495.333333
37.770932,-122.433304,768143.935184
37.790506,-122.396252,1881181.818182
37.783184,-122.407694,11335018.282611
37.771144,-122.389123,931937.5
37.790506,-122.396252,1881181.818182
37.793212,-122.423746,980790
37.78639,-122.460041,886572.29142
37.785786,-122.392112,1176843.535834
37.785115,-122.45877,842929.246904
37.779454,-122.396676,950091.688291
37.783536,-122.421393,771683.436343
37.792841,-122.4122,1527451.195063
37.791564,-122.424608,980790
37.785786,-122.392112,1176843.535834
37.786079,-122.441017,821529.426222
37.783571,-122.390701,929914.033792
37.71025,-122.467494,366485.267755
37.790506,-122.396252,1881181.818182
37.793212,-122.423746,980790
37.788038,-122.430024,812737.68193
37.778241,-122.393224,1008543.127002
37.768294,-122.421876,755000
37.802366,-122.420561,1745374.19544
37.791077,-122.414339,1138224.380413
37.771218,-122.387925,1010495.333333
37.745299,-122.427078,967219.400546
37.786212,-122.404303,2147279.310384
37.763752,-122.436994,962751.9186
37.79929,-122.437277,513434.154446
37.771144,-122.389123,931937.5
37.771144,-122.389123,931937.5
37.732848,-122.488351,680789.126249
37.796848,-122.431823,1014610.638779
37.790506,-122.396252,1881181.818182
37.784306,-122.422292,673293.43449
37.788228,-122.440683,821203.421577
37.777456,-122.435424,756534.233096
37.772835,-122.396429,767042.013328
37.74535,-122.427767,967061.801432
37.794845,-122.421821,933000
37.760025,-122.488369,731380.317197
37.786598,-122.438286,821879.415834
37.755248,-122.466027,731230.146219
37.771144,-122.389123,931937.5
37.72721,-122.395677,242069
37.78069,-122.38922,1109998.768589
37.800034,-122.416276,1251472.450149
37.733129,-122.41458,459908.917569
37.793692,-122.42349,947747.556448
37.714149,-122.401075,423291.115149
37.725277,-122.395194,327382.13005
37.771218,-122.387925,1010495.333333
37.77493,-122.419416,414486.933469
37.771144,-122.389123,931937.5
37.779478,-122.454419,840002.447911
37.779983,-122.44022,777569.43861
37.76555,-122.428128,829089.067244
37.777946,-122.40542,552758.926719
37.77493,-122.419416,414486.933469
37.771218,-122.387925,1010495.333333
37.781836,-122.438494,777357.58229
37.781711,-122.486137,1180794.26265
37.783203,-122.420568,682022.751122
37.782454,-122.426156,479699.588888
37.779454,-122.396676,950091.688291
37.758219,-122.503953,694804.640233
37.791544,-122.42211,980790
37.797173,-122.430042,1015560.364922
37.714779,-122.436111,570005.339211
37.771144,-122.389123,931937.5
37.77394,-122.44825,731222.164331
37.782245,-122.457454,844160.272048
37.743584,-122.43262,898491.099836
37.794845,-122.421821,933000
37.740366,-122.429607,886434.686197
37.771218,-122.387925,1010495.333333
37.745109,-122.407959,635768.786218
37.78582,-122.3975,1201931.648888
37.782585,-122.390403,1109998.478499
37.771218,-122.387925,1010495.333333
37.771218,-122.387925,1010495.333333
37.768693,-122.445744,988348.058283
37.751036,-122.490964,685984.138692
37.79073,-122.402993,1901013.867097
37.779268,-122.439576,777143.730582
37.790506,-122.396252,1881181.818182
37.771144,-122.389123,931937.5
37.737157,-122.425066,721896.265606
37.72834,-122.416576,459589.308206
37.783571,-122.390701,929914.033792
37.781174,-122.420903,672236.927922
37.790506,-122.396252,1881181.818182
37.793212,-122.423746,980790
37.725277,-122.395194,327382.13005
37.782096,-122.438111,777336.703049
37.791764,-122.435177,982922.772453
37.788176,-122.392522,1121240.572619
37.786963,-122.432281,812585.770566
37.790506,-122.396252,1881181.818182
37.771218,-122.387925,1010495.333333
37.760688,-122.441596,895361.765222
37.743462,-122.434663,897730.798052
37.78629,-122.401375,1846528.533487
37.78629,-122.401375,1846528.533487
37.790214,-122.421362,980790
37.775805,-122.471095,1253593.612195
37.771144,-122.389123,931937.5
37.759999,-122.390774,813226.64227
37.771144,-122.389123,931937.5
37.790506,-122.396252,1881181.818182
37.760305,-122.391409,773042.75
37.790506,-122.396252,1881181.818182
37.741189,-122.460578,573169.891203
37.786744,-122.434481,753115.022429
37.790506,-122.396252,1881181.818182
37.757917,-122.395476,773042.75
37.783619,-122.458204,843746.36446
37.78629,-122.401375,1846528.533487
37.771218,-122.387925,1010495.333333
37.761537,-122.437592,962867.008284
37.781016,-122.39507,950543.278793
37.768294,-122.421876,755000
37.771144,-122.389123,931937.5
37.803905,-122.443333,825662.509486
37.794845,-122.421821,933000
37.785786,-122.392112,1176843.535834
37.790506,-122.396252,1881181.818182
37.725277,-122.395194,327382.13005
37.771144,-122.389123,931937.5
37.779454,-122.396676,950091.688291
37.76114,-122.421884,1148011.092737
37.781264,-122.423206,514180.456185
37.725277,-122.395194,327382.13005
37.778262,-122.403211,683298.724541
37.787885,-122.454304,746083.329842
37.752614,-122.508192,694229.934426
37.782646,-122.390388,1110001.521733
37.787114,-122.42414,761718.448071
37.772744,-122.510212,694733.78217
37.744875,-122.420113,988069.018212
37.708971,-122.444789,396733.178117
37.782585,-122.390403,1109998.485268
37.78629,-122.401375,1846587.80836
37.77911,-122.408833,552902.897084
37.790506,-122.396252,1881181.818182
37.790506,-122.396252,1881181.818182
37.74544,-122.441466,738767.453406
37.762785,-122.438532,896181.635057
37.771144,-122.389123,931937.5
37.790506,-122.396252,1881181.818182
37.794845,-122.421821,933000
37.764941,-122.431219,963500.203582
37.80379,-122.42264,1623805.602475
37.780064,-122.393173,961245.053371
37.801069,-122.433243,1028933.674422
37.755107,-122.475757,693785.153019
37.790506,-122.396252,1881181.818182
37.790506,-122.396252,1881181.818182
37.760307,-122.450039,1097808.662668
37.71036,-122.468561,366325.55231
37.805426,-122.424814,1622153.299203
37.79805,-122.399952,1930441.640356
37.790506,-122.396252,1881181.818182
37.738826,-122.41976,508939.231009
37.782443,-122.426241,479708.109256
37.790506,-122.396252,1881181.818182
37.79274,-122.391122,1064666.666667
37.771144,-122.389123,931937.5
37.736421,-122.416217,509313.651349
37.78069,-122.38922,1109998.767789
37.790506,-122.396252,1881181.818182
37.777822,-122.468677,1253275.710882
37.788252,-122.403079,1880362.946981
37.758163,-122.469156,777913.257536
37.784971,-122.424299,638795.567908
37.74645,-122.440439,738897.392699
37.78069,-122.38922,1109998.767789
37.738049,-122.411715,627526.074656
37.771588,-122.388536,1003623.206859
37.770645,-122.448281,704660.47224
37.777593,-122.407584,553288.178718
37.790506,-122.396252,1881181.818182
37.791114,-122.429586,840100.975412
37.771144,-122.389123,931937.5
37.718167,-122.402638,364123.166419
37.731248,-122.373905,239390.648863
37.764003,-122.417959,798230.662845
37.759837,-122.4357,1105096.42114
37.787535,-122.401149,1844230.871622
37.733981,-122.433437,547957.459366
37.771218,-122.387925,1010495.333333
37.783404,-122.445419,802507.261449
37.77493,-122.419416,414646.054634
37.782646,-122.390388,1110001.509563
37.771144,-122.389123,931937.5
37.791986,-122.443437,859582.969768
37.709845,-122.467858,366076.341474
37.771144,-122.389123,931937.5
37.762785,-122.438532,896083.092231
37.754334,-122.444984,572876.700395
37.771218,-122.387925,1010495.333333
37.783203,-122.420568,682021.285823
37.725713,-122.462899,376532.410675
37.774867,-122.394176,766767.884559
37.752633,-122.444084,573243.173959
37.785786,-122.392112,1176803.742524
37.70865,-122.425775,387726.902948
37.777518,-122.405045,552993.566495
37.785786,-122.392112,1176800.833196
37.771218,-122.387925,1010495.333333
37.796549,-122.435581,989850.924211
37.710914,-122.411839,428289.974466
37.803055,-122.423908,1623385.497756
37.783554,-122.392432,930518.71689
37.776381,-122.44569,730897.292916
37.790506,-122.396252,1881181.818182
37.763857,-122.403233,545000
37.765495,-122.459381,899046.897572
37.787031,-122.393642,1406757.861289
37.760305,-122.391409,773042.75
37.728385,-122.390586,239396.093173
37.791373,-122.445322,859106.588356
37.759478,-122.470619,777756.876228
37.785786,-122.392112,1176800.833196
37.760305,-122.391409,773042.75
37.786541,-122.438203,817616.477633
37.781174,-122.420903,672227.817726
37.785994,-122.48533,1175728.382394
37.755146,-122.432773,1232663.744905
37.803933,-122.412155,1065142.659082
37.799048,-122.44065,815934.549326
37.777026,-122.39574,1006174.167063
37.771218,-122.387925,1010495.333333
37.742155,-122.414571,837851.838995
37.780002,-122.442881,824044.436919
37.760182,-122.39098,813048.44266
37.764728,-122.474315,751877.73895
37.771144,-122.389123,931937.5
37.778241,-122.393224,1008519.603273
37.794845,-122.421821,933000
37.726678,-122.403469,242069
37.77393,-122.396241,767012.913861
37.78629,-122.401375,1847012.914455
37.790506,-122.396252,1881181.818182
37.795127,-122.429699,821333.333333
37.73598,-122.39557,342959.262145
37.782585,-122.390403,1109998.495511
37.786236,-122.389074,941669.465486
37.782483,-122.420541,681312.601314
37.740836,-122.419524,976659.822316
37.792258,-122.415965,1174803.552053
37.779454,-122.396676,950120.793254
37.753378,-122.442187,573310.080592
37.790532,-122.444561,858412.508589
37.719403,-122.463835,376294.393702
37.771144,-122.389123,931937.5
37.771144,-122.389123,931937.5
37.725277,-122.395194,327373.686854
37.793212,-122.423746,980790
37.771144,-122.389123,931937.5
37.745218,-122.431862,898736.35029
37.790506,-122.396252,1881181.818182
37.783536,-122.421393,771683.927776
37.755845,-122.43675,1232822.304248
37.783571,-122.390701,929951.063703
37.799613,-122.420667,1206153.064112
37.775713,-122.40695,554306.585852
37.776381,-122.44569,730897.292916
37.790141,-122.430666,840388.745971
37.735408,-122.430889,546113.966541
37.790506,-122.396252,1881181.818182
37.768294,-122.421876,755000
37.756243,-122.436136,1232847.314458
37.752167,-122.442184,573525.056287
37.790506,-122.396252,1881181.818182
37.771144,-122.389123,931937.5
37.74645,-122.440439,739083.477994
37.79431,-122.42961,821333.333333
37.787421,-122.389003,940996.22715
37.771218,-122.387925,1010495.333333
37.754097,-122.417783,1106554.412068
37.760305,-122.391409,773042.75
37.793387,-122.425805,1502018.864678
37.751584,-122.407834,805896.299682
37.785794,-122.424669,761730.875336
37.774183,-122.394756,767036.049856
37.785786,-122.392112,1176800.833196
37.757185,-122.412062,878523.856312
37.777822,-122.468677,1252675.342359
37.771218,-122.387925,1010495.333333
37.789945,-122.412727,1133466.341796
37.742933,-122.42947,900392.179247
37.749486,-122.413343,936067.250801
37.756838,-122.444599,572925.803085
37.771218,-122.387925,1010495.333333
37.787737,-122.390361,1076576.135084
