@relation hs2012

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
37.760182,-122.39098,635000
37.758888,-122.410975,635000
37.771144,-122.389123,980930
37.774183,-122.394756,915000
37.790506,-122.396252,1683889.166667
37.790506,-122.396252,1683889.166667
37.790506,-122.396252,1683889.166667
37.779454,-122.396676,575300
37.783184,-122.407694,715000
37.759973,-122.390426,635000
37.790506,-122.396252,1683889.166667
37.760305,-122.391409,635000
37.758926,-122.432265,3225000
37.796848,-122.431823,1465000
37.785994,-122.48533,488333.333333
37.764169,-122.446798,1450000
37.725277,-122.395194,224727
37.751454,-122.407822,635000
37.782483,-122.420541,649900
37.789525,-122.391175,1537500
37.786598,-122.438286,750000
37.768294,-122.421876,775000
37.756588,-122.476261,488333.333333
37.787703,-122.41949,664000
37.784971,-122.424299,837000
37.760305,-122.391409,635000
37.740321,-122.417253,712000
37.71025,-122.467494,270000
37.773487,-122.448186,765000
37.795237,-122.403246,2195000
37.778621,-122.391806,1200000
37.763857,-122.403233,635000
37.768294,-122.421876,775000
37.782389,-122.426668,415000
37.74645,-122.440439,435000
37.792924,-122.421729,664000
37.790506,-122.396252,1683889.166667
37.790214,-122.421362,664000
37.790506,-122.396252,1683889.166667
37.776797,-122.444365,765000
37.783685,-122.3915,1175000
37.754569,-122.505924,787833.333333
37.791114,-122.429586,1335000
37.77493,-122.419416,208000
37.777822,-122.468677,1085000
37.790506,-122.396252,1683889.166667
37.793904,-122.431749,1335000
37.771144,-122.389123,980930
37.79274,-122.391122,1537500
37.801787,-122.408327,2195000
37.771144,-122.389123,980930
37.793212,-122.423746,664000
37.760305,-122.391409,635000
37.783421,-122.445172,542000
37.779454,-122.396676,575300
37.768294,-122.421876,775000
37.800064,-122.42468,1100000
37.789945,-122.412727,520000
37.775805,-122.471095,488333.333333
37.735408,-122.430889,874500
37.771144,-122.389123,980930
37.782983,-122.407883,715000
37.745299,-122.427078,874500
37.763634,-122.404631,635000
37.758197,-122.493617,787833.333333
37.775395,-122.427389,1250000
37.771144,-122.389123,980930
37.760305,-122.391409,635000
37.771218,-122.387925,966010
37.771588,-122.388536,966010
37.779732,-122.45535,1085000
37.771218,-122.387925,966010
37.755248,-122.466027,488333.333333
37.768294,-122.421876,775000
37.753757,-122.424935,3225000
37.777741,-122.432477,585000
37.790506,-122.396252,1683889.166667
37.743031,-122.490408,550000
37.771144,-122.389123,980930
37.785786,-122.392112,1918750
37.777593,-122.407584,555000
37.709845,-122.467858,270000
37.801282,-122.41921,1100000
37.753738,-122.393031,635000
37.783475,-122.398897,894000
37.794845,-122.421821,664000
37.778241,-122.393224,620000
37.791223,-122.435135,350000
37.785994,-122.48533,488333.333333
37.719633,-122.39281,224727
37.771144,-122.389123,980930
37.775713,-122.40695,555000
37.711929,-122.393497,224727
37.723888,-122.466115,995000
37.753738,-122.393031,635000
37.733822,-122.454103,995000
37.800569,-122.440204,970000
37.77393,-122.396241,915000
37.780053,-122.423453,649900
37.79073,-122.402993,2000000
37.782711,-122.460433,1085000
37.785786,-122.392112,1918750
37.788727,-122.429787,1335000
37.785786,-122.392112,1918750
37.771144,-122.389123,980930
37.72721,-122.395677,224727
37.751855,-122.399959,635000
37.771218,-122.387925,966010
37.794415,-122.413705,1800000
37.731248,-122.373905,380000
37.793212,-122.423746,664000
37.771218,-122.387925,966010
37.774183,-122.394756,915000
37.735215,-122.4298,874500
37.74645,-122.440439,435000
37.781168,-122.492685,488333.333333
37.803061,-122.421044,1100000
37.785794,-122.424669,837000
37.768294,-122.421876,775000
37.777456,-122.435424,625000
37.785786,-122.392112,1918750
37.764015,-122.463993,488333.333333
37.735363,-122.433527,874500
37.805426,-122.424814,1100000
