@relation hs2012

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
37.783219,-122.444229,886231.87753
37.744463,-122.501914,881421.301833
37.790506,-122.396252,2700000
37.759912,-122.43236,884330.085993
37.782585,-122.390403,1130000
37.786889,-122.422165,887040.836706
37.804184,-122.42296,888622.636776
37.790506,-122.396252,2700000
37.735215,-122.4298,882101.630123
37.777431,-122.393707,886772.381567
37.777741,-122.432477,885975.681851
37.778294,-122.423658,886214.543759
37.709359,-122.468483,878888.035839
37.778489,-122.504714,884507.007539
37.771218,-122.387925,1091250
37.785786,-122.392112,1120000
37.786236,-122.389074,887684.932537
37.758351,-122.444765,883921.705434
37.798234,-122.417394,888191.119366
37.745178,-122.415507,883326.871954
37.759941,-122.390691,885219.837771
37.786792,-122.438734,886679.140791
37.72705,-122.395153,882084.452617
37.77349,-122.439182,885439.986164
37.793212,-122.423746,1053500
37.786236,-122.389074,887684.932537
37.779454,-122.396676,886896.179124
37.78629,-122.401375,887428.054216
37.754569,-122.505924,882270.118715
37.763857,-122.403233,320000
37.782983,-122.407883,16600000
37.790506,-122.396252,2700000
37.782069,-122.392744,887221.612324
37.787535,-122.401149,887547.951394
37.751866,-122.494296,882267.800191
37.778241,-122.393224,886857.539131
37.774183,-122.394756,886449.80956
37.79073,-122.402993,887804.03649
37.791599,-122.414338,887642.847392
37.783006,-122.390247,887361.384648
37.77493,-122.419416,885993.886406
37.785786,-122.392112,1120000
37.793212,-122.423746,1053500
37.758252,-122.429398,884239.694603
37.798379,-122.434929,887831.228872
37.745299,-122.427078,883091.727629
37.79805,-122.399952,888545.424925
37.790079,-122.390468,888010.497634
37.771218,-122.387925,1091250
37.788252,-122.403079,887573.142992
37.790506,-122.396252,2700000
37.771218,-122.387925,1091250
37.737136,-122.42687,882341.57989
37.803061,-122.421044,888559.617094
37.764169,-122.446798,884416.233275
37.791506,-122.426332,887378.91618
37.782328,-122.451326,885998.430218
37.803055,-122.423908,888498.092161
37.785786,-122.392112,1120000
37.776381,-122.44569,885568.680319
37.783585,-122.443486,886281.527399
37.779781,-122.439062,886024.0716
37.773284,-122.498956,884148.444231
37.77493,-122.419416,885993.886406
37.795127,-122.429699,887641.957686
37.771218,-122.387925,1091250
37.753736,-122.402192,884401.417479
37.785794,-122.424669,886886.310074
37.799493,-122.414884,888360.933648
37.786126,-122.434389,886710.075318
37.783203,-122.420568,886734.106027
37.73537,-122.42443,882230.277413
37.717125,-122.440305,880205.781219
37.753738,-122.393031,884596.626426
37.76424,-122.446782,884423.137027
37.793212,-122.423746,1053500
37.803353,-122.417839,888654.838831
37.772256,-122.453668,885017.531609
37.794845,-122.421821,900000
37.78069,-122.38922,1130000
37.771218,-122.387925,1091250
37.798636,-122.413205,888317.457239
37.733129,-122.41458,882232.814515
37.792492,-122.415813,887693.994446
37.761862,-122.488082,883324.102595
37.745299,-122.427078,883091.727629
37.78629,-122.401375,887428.054216
37.756345,-122.508281,882384.112525
37.778241,-122.393224,886857.539131
37.793389,-122.415397,887785.767832
37.774805,-122.412058,886138.97247
37.778621,-122.485342,884931.610505
37.71246,-122.394372,880752.400742
37.771218,-122.387925,1091250
37.770932,-122.433304,885328.662276
37.790506,-122.396252,2700000
37.783184,-122.407694,887006.418015
37.771144,-122.389123,886288.807052
37.790506,-122.396252,2700000
37.793212,-122.423746,1053500
37.78639,-122.460041,886188.386147
37.785786,-122.392112,1120000
37.785115,-122.45877,886097.584718
37.779454,-122.396676,886896.179124
37.783536,-122.421393,886747.325035
37.792841,-122.4122,887803.170893
37.791564,-122.424608,1053500
37.785786,-122.392112,1120000
37.786079,-122.441017,886564.630441
37.783571,-122.390701,887403.947434
37.71025,-122.467494,878991.452912
37.790506,-122.396252,2700000
37.793212,-122.423746,1053500
37.788038,-122.430024,886979.742155
37.778241,-122.393224,886857.539131
37.768294,-122.421876,885328.094555
37.802366,-122.420561,888505.654665
37.791077,-122.414339,887594.573189
37.771218,-122.387925,1091250
37.745299,-122.427078,883091.727629
37.786212,-122.404303,887358.511243
37.763752,-122.436994,884586.398991
37.79929,-122.437277,887865.454947
37.771144,-122.389123,886288.807052
37.771144,-122.389123,886288.807052
37.732848,-122.488351,880636.364372
37.796848,-122.431823,887755.8276
37.790506,-122.396252,2700000
37.784306,-122.422292,886799.364332
37.788228,-122.440683,886770.391213
37.777456,-122.435424,885886.599621
37.772835,-122.396429,886289.586734
37.74535,-122.427767,883081.774209
37.794845,-122.421821,900000
37.760025,-122.488369,883148.183205
37.786598,-122.438286,886670.744969
37.755248,-122.466027,883182.232295
37.771144,-122.389123,886288.807052
37.72721,-122.395677,882088.087602
37.78069,-122.38922,1130000
37.800034,-122.416276,888381.309284
37.733129,-122.41458,882232.814515
37.793692,-122.42349,887641.488769
37.714149,-122.401075,880765.83252
37.725277,-122.395194,881919.686268
37.771218,-122.387925,1091250
37.77493,-122.419416,885993.886406
37.771144,-122.389123,886288.807052
37.779478,-122.454419,885669.135025
37.779983,-122.44022,886018.092085
37.76555,-122.428128,884941.347433
37.777946,-122.40542,886570.635055
37.77493,-122.419416,885993.886406
37.771218,-122.387925,1091250
37.781836,-122.438494,886226.124662
37.781711,-122.486137,885200.321206
37.783203,-122.420568,886734.106027
37.782454,-122.426156,886545.909353
37.779454,-122.396676,886896.179124
37.758219,-122.503953,882649.479022
37.791544,-122.42211,1053500
37.797173,-122.430042,887823.784966
37.714779,-122.436111,880078.204444
37.771144,-122.389123,886288.807052
37.77394,-122.44825,885288.539265
37.782245,-122.457454,885860.30181
37.743584,-122.43262,882815.214603
37.794845,-122.421821,900000
37.740366,-122.429607,882581.889693
37.771218,-122.387925,1091250
37.745109,-122.407959,883481.179394
37.78582,-122.3975,887467.101094
37.782585,-122.390403,1130000
37.771218,-122.387925,1091250
37.771218,-122.387925,1091250
37.768693,-122.445744,884856.863294
37.751036,-122.490964,882262.009535
37.79073,-122.402993,887804.03649
37.779268,-122.439576,885965.708336
37.790506,-122.396252,2700000
37.771144,-122.389123,886288.807052
37.737157,-122.425066,882381.925578
37.72834,-122.416576,881747.634505
37.783571,-122.390701,887403.947434
37.781174,-122.420903,886539.41659
37.790506,-122.396252,2700000
37.793212,-122.423746,1053500
37.725277,-122.395194,881919.686268
37.782096,-122.438111,886258.312181
37.791764,-122.435177,887214.468422
37.788176,-122.392522,887790.860498
37.786963,-122.432281,886832.322557
37.790506,-122.396252,2700000
37.771218,-122.387925,1091250
37.760688,-122.441596,884205.197586
37.743462,-122.434663,882760.444669
37.78629,-122.401375,887428.054216
37.78629,-122.401375,887428.054216
37.790214,-122.421362,1053500
37.775805,-122.471095,884974.601044
37.771144,-122.389123,886288.807052
37.759999,-122.390774,885223.43226
37.771144,-122.389123,886288.807052
37.790506,-122.396252,2700000
37.760305,-122.391409,773171
37.790506,-122.396252,2700000
37.741189,-122.460578,881998.64006
37.786744,-122.434481,886765.243788
37.790506,-122.396252,2700000
37.757917,-122.395476,773171
37.783619,-122.458204,885971.34597
37.78629,-122.401375,887428.054216
37.771218,-122.387925,1091250
37.761537,-122.437592,884368.917108
37.781016,-122.39507,887074.757466
37.768294,-122.421876,885328.094555
37.771144,-122.389123,886288.807052
37.803905,-122.443333,888163.135543
37.794845,-122.421821,900000
37.785786,-122.392112,1120000
37.790506,-122.396252,2700000
37.725277,-122.395194,881919.686268
37.771144,-122.389123,886288.807052
37.779454,-122.396676,886896.179124
37.76114,-122.421884,884666.618977
37.781264,-122.423206,886498.708612
37.725277,-122.395194,881919.686268
37.778262,-122.403211,886646.871958
37.787885,-122.454304,886448.713956
37.752614,-122.508192,882041.119033
37.782646,-122.390388,887325.105095
37.787114,-122.42414,887019.590562
37.772744,-122.510212,883858.903917
37.744875,-122.420113,883200.808186
37.708971,-122.444789,879356.579723
37.782585,-122.390403,1130000
37.78629,-122.401375,887428.054216
37.77911,-122.408833,886605.575813
37.790506,-122.396252,2700000
37.790506,-122.396252,2700000
37.74544,-122.441466,882798.462333
37.762785,-122.438532,884464.269195
37.771144,-122.389123,886288.807052
37.790506,-122.396252,2700000
37.794845,-122.421821,900000
37.764941,-122.431219,884819.249572
37.80379,-122.42264,888593.028318
37.780064,-122.393173,887027.140292
37.801069,-122.433243,888115.780961
37.755107,-122.475757,882962.061227
37.790506,-122.396252,2700000
37.790506,-122.396252,2700000
37.760307,-122.450039,883990.239587
37.71036,-122.468561,878978.906307
37.805426,-122.424814,888697.976531
37.79805,-122.399952,888545.424925
37.790506,-122.396252,2700000
37.738826,-122.41976,882649.162342
37.782443,-122.426241,886543.083005
37.790506,-122.396252,2700000
37.79274,-122.391122,888242.553884
37.771144,-122.389123,886288.807052
37.736421,-122.416217,882502.272871
37.78069,-122.38922,1130000
37.790506,-122.396252,2700000
37.777822,-122.468677,885212.525191
37.788252,-122.403079,887573.142992
37.758163,-122.469156,883385.078862
37.784971,-122.424299,886818.109911
37.74645,-122.440439,882913.688555
37.78069,-122.38922,1130000
37.738049,-122.411715,882748.603691
37.771588,-122.388536,886342.346118
37.770645,-122.448281,884983.294353
37.777593,-122.407584,886491.93591
37.790506,-122.396252,2700000
37.791114,-122.429586,887273.407453
37.771144,-122.389123,886288.807052
37.718167,-122.402638,881103.976602
37.731248,-122.373905,882924.847912
37.764003,-122.417959,885014.827914
37.759837,-122.4357,884252.049468
37.787535,-122.401149,887547.951394
37.733981,-122.433437,881910.13465
37.771218,-122.387925,1091250
