@relation box

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
0.905372,2.586065,5.838168
3.809318,5.74924,16.204958
8.424127,6.2339,49.806371
9.821899,8.739028,92.531621
5.078207,6.185549,26.006745
4.404188,6.107873,21.30267
5.877854,3.947654,16.497309
0.465869,8.0636,13.530838
7.905939,5.51072,38.906808
5.70602,3.397607,13.30262
5.700902,4.319528,17.687806
8.245206,5.59294,41.690373
5.239369,1.193693,10.030589
5.217016,9.183981,45.823606
2.348208,6.824418,14.680454
9.258747,9.793933,99.748618
0.415678,0.150719,15.265513
6.760071,5.76694,34.123706
2.140426,4.364747,6.38816
0.53962,8.778333,13.217294
2.73213,7.678606,19.102675
3.540591,9.460082,29.404857
4.179219,7.40705,27.125002
5.059978,9.625883,45.918078
1.66541,0.962179,7.859371
1.375789,0.109738,12.878488
8.57434,1.809525,16.500385
5.133347,2.91497,9.774658
8.604616,6.076238,49.121249
3.737214,7.603612,24.942659
1.880134,3.012513,4.239404
1.02847,4.659839,7.445919
2.543471,8.889039,20.762364
0.871455,0.20077,13.475718
6.403689,9.269906,60.149023
3.342111,3.672935,6.469914
4.091304,5.910936,18.456032
4.804596,0.669713,10.959268
4.868824,1.040781,9.671829
2.333207,6.464479,13.416728
4.54209,9.218367,38.668407
6.069086,6.654021,36.61669
5.844806,5.904718,29.125732
7.242111,3.383584,19.139451
2.205442,0.390112,10.142412
4.26751,6.822692,24.550768
0.828691,6.966109,12.471597
1.357062,7.630163,14.006073
2.850719,3.51466,5.244308
3.703128,8.376196,27.864497
4.346195,0.587142,10.533176
4.348864,2.881634,7.338233
1.353195,7.283025,13.39378
1.900569,4.943689,7.765727
2.789259,5.213215,10.10723
2.559922,2.893761,4.185777
3.909565,3.56745,7.627972
0.093473,0.354559,15.377745
9.23921,3.570562,26.22899
4.908755,7.87764,35.638167
1.603386,5.82734,10.071195
1.68217,2.990644,4.380016
2.182876,2.671611,4.040829
6.265288,2.927741,13.686983
1.542588,6.358468,11.479314
2.600324,2.899923,4.213917
3.309353,1.350347,6.243008
0.111943,3.643456,8.739085
6.807768,1.242678,13.474391
6.812322,3.798114,19.75331
4.07105,1.417978,7.111394
2.518063,7.975547,18.84316
3.327977,5.746121,14.075361
1.871439,9.740856,16.622378
8.812906,9.887564,95.345747
8.90178,0.188447,18.520323
4.358417,3.727354,9.505976
2.14167,1.101276,6.82001
8.890419,3.526933,25.145433
0.320276,2.067014,8.408846
0.079458,4.580627,9.899453
5.920571,3.472609,14.445838
3.624588,2.966113,5.705869
1.631362,7.308736,13.976442
2.426223,4.739287,7.751906
2.103475,9.054737,18.267804
8.958754,2.148484,17.733049
3.98158,5.942268,18.048091
9.08108,7.981326,76.048486
3.064614,2.753185,4.564794
7.029144,4.343619,24.257743
3.821424,1.161727,7.424178
3.433575,7.366898,21.924014
8.728486,9.47116,90.025128
0.417066,1.604793,8.988106
9.231448,9.285706,93.614901
4.18722,9.163138,34.875464
9.60863,7.752164,77.27937
2.888595,9.074809,23.386478
8.169944,0.875601,16.206695
5.802024,6.24164,31.385865
4.587009,5.36699,18.056234
1.636059,4.53526,6.664937
6.375449,4.994716,25.577279
9.716435,3.195246,24.002194
4.064199,4.170794,10.084809
5.272824,2.075822,9.11709
6.86604,6.488813,41.339714
7.454167,4.220236,25.321009
8.054442,3.260399,21.149896
0.383773,7.505666,13.3582
9.276605,8.24865,81.177863
8.16155,7.760788,65.251454
6.610494,5.990734,35.042875
8.347288,8.502521,75.322153
4.363618,4.942537,14.704197
1.101223,8.26191,14.163464
9.741526,4.599428,37.104042
4.030169,2.58136,6.18153
1.401515,2.798624,4.705896
5.461412,8.218926,42.902783
4.254382,9.13572,35.450341
8.635614,7.280801,63.673916
0.306495,5.252078,10.18499
8.45167,5.664965,43.619044
3.98317,6.832286,22.770375
2.550783,8.03411,19.161244
7.148724,8.592675,63.455528
8.708432,2.929841,20.871654
3.091506,2.864708,4.678546
2.140788,0.982723,7.280875
1.397334,8.800934,15.059548
5.399855,7.219078,35.533337
7.448979,5.724601,38.215736
3.57495,9.593701,29.933207
5.737196,3.329895,13.164552
9.84315,9.360431,100.954759
0.976725,1.704681,6.896747
6.419265,1.561647,12.24897
9.492609,2.024773,17.555015
6.188333,9.360199,58.124384
3.227119,3.532744,5.90817
1.728534,6.893878,13.188997
3.270019,9.640621,27.165344
8.618496,6.600935,55.368799
0.035018,3.473783,8.980282
6.649917,9.618603,65.4951
4.537156,8.346483,34.859733
2.093828,2.107425,4.406816
0.372787,4.597242,8.870701
1.016096,6.517113,11.595241
1.735899,8.494401,16.178426
0.90582,5.189602,8.736612
7.896603,9.742521,82.415307
5.634405,2.910943,11.445554
1.829348,1.317908,6.349237
0.461319,8.289708,13.50328
