@relation Circles

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
7.016788,1.780556,6.89856
7.910408,1.334689,6.818233
4.755981,4.206881,6.895286
7.338048,3.371915,6.978739
9.020395,6.497272,6.617244
4.986914,9.32879,6.463333
4.184298,5.050788,6.845171
9.170366,0.256861,6.515266
4.290668,9.565176,6.440273
3.120605,4.412321,6.684071
2.599937,4.216968,6.585431
8.240537,6.097634,6.789295
5.246392,8.250306,6.655824
1.200106,3.978808,6.29912
5.082726,2.40917,6.841084
8.434148,9.626903,6.020017
9.561512,7.266002,6.379162
4.689434,0.690114,6.620283
7.691777,7.849241,6.581332
5.119797,3.114702,6.891023
1.930361,4.183049,6.461029
8.338782,1.489463,6.791488
0.030152,4.831471,6.182153
5.366004,0.40172,6.670846
0.354516,6.435497,6.400836
4.237633,3.34137,6.795419
7.302325,3.320124,6.978816
6.51115,5.375615,6.96451
3.362704,3.422214,6.662749
7.510818,2.540322,6.937973
5.546457,1.547324,6.814771
9.21968,0.703189,6.566271
2.857798,0.611297,6.264748
6.534256,4.326529,6.99787
3.544852,7.04473,6.735266
1.540317,0.537378,5.932849
1.178112,7.096832,6.524907
7.809576,6.231679,6.82257
2.185946,3.887943,6.483776
3.827838,6.225209,6.793762
0.574609,4.013582,6.178171
2.689616,9.85908,6.430153
2.817212,2.273986,6.453818
8.124467,3.2955,6.923124
3.643458,5.325006,6.784384
2.592969,6.757921,6.66257
9.553067,9.415565,5.84684
1.131433,7.47354,6.529594
6.312325,1.983099,6.904048
7.006026,2.337289,6.940402
6.497425,3.695352,6.994801
7.094718,9.929304,6.137045
9.237872,7.459978,6.411879
1.688326,7.281018,6.574398
1.578523,6.446361,6.547286
1.904249,3.022218,6.340224
3.892001,6.656608,6.781588
1.769637,7.393925,6.581172
4.012181,2.311625,6.682967
3.121912,0.661068,6.329545
2.450835,3.111692,6.464149
0.575267,5.449788,6.341887
4.724798,5.492769,6.891537
2.978739,5.948381,6.70793
5.29664,5.445754,6.931223
1.895488,2.806834,6.31402
8.826535,1.12456,6.68685
8.630484,2.228388,6.815022
6.665477,8.008909,6.643411
7.643219,7.709372,6.614085
3.235303,2.208064,6.531777
3.980127,2.276108,6.674406
2.007064,6.447738,6.597955
1.927339,2.286646,6.259676
8.336104,9.395178,6.107125
3.637583,8.990658,6.546852
4.803277,0.24193,6.581836
3.612409,7.278525,6.725516
9.259681,7.568319,6.385698
8.942626,7.762343,6.408699
7.63497,0.013687,6.678811
3.698135,4.056304,6.75537
8.149572,1.068187,6.768658
9.263991,5.350596,6.699275
6.299718,8.390168,6.59275
6.406541,8.612995,6.540236
1.687689,5.23018,6.49981
6.120917,0.789788,6.778168
8.031771,6.529581,6.761315
3.532159,0.704198,6.420527
1.927133,9.146671,6.515066
8.610737,1.525223,6.760321
2.464386,4.856902,6.602305
3.74599,8.020374,6.668746
7.625178,8.120178,6.533453
4.747969,8.194384,6.667042
0.429811,9.317477,6.502518
1.769437,3.507569,6.364237
3.750487,6.747047,6.766262
1.968328,6.057859,6.582781
3.568819,3.0083,6.666771
4.960903,0.623954,6.649799
1.788294,9.454679,6.48877
7.45523,7.106461,6.737406
4.598611,9.830519,6.373429
9.966675,3.581398,6.60798
6.532079,5.428766,6.961327
0.599453,9.052571,6.507168
7.525161,1.357626,6.845293
5.31664,0.901436,6.724288
7.101361,6.099946,6.890825
2.575881,7.128298,6.654071
0.592992,4.080277,6.190266
2.947729,3.356723,6.583167
9.77342,3.48476,6.653789
7.038143,8.193153,6.57848
5.419858,9.370287,6.434229
9.99181,8.587077,5.973987
4.3507,2.140338,6.721434
4.932182,2.200813,6.806829
9.676417,4.872586,6.64585
5.513661,2.563866,6.895163
5.175926,0.07663,6.608808
5.331071,4.739495,6.948594
1.723421,5.493081,6.521992
1.123375,8.053069,6.533479
7.21218,7.157638,6.749915
7.800058,9.578077,6.141604
9.338956,7.904602,6.297304
8.625505,5.629296,6.784628
8.330257,3.912995,6.906494
1.098339,6.888778,6.509997
8.017309,0.037236,6.651856
4.091978,1.479614,6.614252
5.281645,6.688723,6.852815
3.495719,3.119922,6.662921
7.288735,3.261333,6.977708
3.081593,6.47791,6.715805
6.109821,6.671562,6.861816
6.694062,6.973194,6.80865
5.800554,9.125824,6.467236
1.442384,0.054371,5.839517
4.14818,3.000691,6.760096
2.634348,8.710648,6.565577
6.30357,8.235949,6.62248
8.436016,4.689339,6.874624
9.863233,3.214251,6.627026
8.4808,7.667423,6.509011
0.363568,4.841633,6.240887
1.928457,5.729061,6.564354
5.912178,3.290239,6.962417
9.438958,9.049839,5.982918
7.437683,1.577878,6.870106
1.756434,7.984948,6.57096
3.800822,5.273427,6.802737
4.669896,0.036832,6.536626
8.597916,3.610695,6.872344
6.511423,7.410849,6.753866
4.509868,9.242516,6.495649
0.952788,7.687491,6.520007
2.009394,7.636105,6.596352
3.126842,7.154932,6.698353
4.086417,6.10142,6.820583
2.563401,7.644226,6.634981
8.506674,4.772854,6.861499
2.630741,8.157793,6.609741
3.341663,2.825978,6.610948
0.054914,1.609748,5.70591
7.645876,8.152396,6.524141
7.029662,9.520872,6.261595
2.684369,3.485536,6.544393
9.469791,3.073596,6.711754
0.440452,8.499569,6.505787
5.660613,5.180016,6.957931
3.221096,5.294528,6.730374
9.822625,2.193907,6.585711
5.318289,9.542514,6.400959
3.242919,9.887174,6.411725
3.65859,3.843305,6.738288
4.185234,4.110285,6.825606
9.0195,0.643591,6.596366
3.004126,7.350218,6.679871
1.6833,0.559971,5.972862
9.954983,1.216165,6.46009
5.900641,5.598843,6.947595
2.069323,4.914405,6.541168
8.788352,3.015072,6.832485
8.24748,8.047075,6.465817
6.598386,2.831497,6.967396
4.589815,4.475398,6.883107
0.809469,6.515203,6.459551
4.894124,0.784822,6.659875
2.762042,7.211512,6.667149
9.861244,8.631124,5.996099
