Latitude,Longitude,Price
8.330257,3.912995,6.835593
2.592969,6.757921,6.968949
6.109821,6.671562,6.946086
0.575267,5.449788,6.797034
6.655043,3.490521,6.938659
2.689616,9.85908,6.419791
0.354516,6.435497,6.755809
7.809576,6.231679,6.828087
4.717766,5.235838,7.090057
7.800058,9.578077,6.06166
9.870511,8.781346,5.908944
2.415708,8.141651,6.786011
9.861244,8.631124,5.958232
1.895488,2.806834,6.691902
6.936874,4.349503,6.985086
2.069323,4.914405,6.962113
7.568138,0.883374,6.348543
0.363568,4.841633,6.73856
4.626226,5.358548,7.089774
2.978739,5.948381,7.037269
1.811464,8.191509,6.742139
8.747879,0.845967,6.250047
5.930606,7.750509,6.789218
9.564955,4.983554,6.676167
2.11555,0.793956,6.192038
3.018516,8.871289,6.66338
8.18668,8.276256,6.385069
7.63497,0.013687,6.052784
7.094718,9.929304,6.060169
5.419858,9.370287,6.443744
4.509868,9.242516,6.54356
2.268224,3.362498,6.827622
6.532079,5.428766,7.015316
7.45523,7.106461,6.746979
9.259681,7.568319,6.368912
5.31664,0.901436,6.412102
4.689434,0.690114,6.332365
2.015798,6.093041,6.964955
4.747969,8.194384,6.777209
3.382866,2.593671,6.781921
7.029662,9.520872,6.205414
4.960903,0.623954,6.316656
3.616471,4.000142,7.006543
0.840096,7.714784,6.718357
2.702465,4.851429,7.013033
8.031771,6.529581,6.761205
4.184298,5.050788,7.085705
3.126842,7.154932,6.953864
8.630484,2.228388,6.596752
5.29664,5.445754,7.077476
4.185234,4.110285,7.0371
7.64408,4.759277,6.932026
3.409523,9.264532,6.572462
2.594419,9.746187,6.448261
8.016709,0.438286,6.178701
1.115813,4.700867,6.840067
1.283146,5.066376,6.881705
4.755981,4.206881,7.053056
2.134705,4.838541,6.964678
4.894124,0.784822,6.368574
4.803277,0.24193,6.179205
6.511423,7.410849,6.799756
7.910408,1.334689,6.454927
2.464386,4.856902,6.99476
9.966675,3.581398,6.600006
1.688326,7.281018,6.853834
9.039335,2.315709,6.569382
9.665995,3.541675,6.641643
0.678421,0.748022,5.989326
4.086417,6.10142,7.06395
3.249678,8.618795,6.719299
2.007064,6.447738,6.948521
3.242919,9.887174,6.411218
5.691584,9.759405,6.301289
3.004126,7.350218,6.926225
4.842789,4.854034,7.084916
8.4808,7.667423,6.484638
0.256185,5.196729,6.739489
3.980127,2.276108,6.74691
4.10067,6.300639,7.051468
4.231031,4.944326,7.084201
9.428669,3.395909,6.663298
1.211934,2.071255,6.444975
3.643458,5.325006,7.075115
6.665477,8.008909,6.663512
1.232386,6.206814,6.880811
5.175926,0.07663,6.125671
7.633453,1.790396,6.587911
9.020395,6.497272,6.616358
2.450835,3.111692,6.804848
2.064277,7.441817,6.865559
6.30357,8.235949,6.651432
0.429811,9.317477,6.410299
3.405474,0.717725,6.280319
2.324613,0.642547,6.163579
9.561512,7.266002,6.378881
8.506674,4.772854,6.833865
7.590068,2.559477,6.747245
5.331071,4.739495,7.075034
6.726436,0.412369,6.233576
7.338048,3.371915,6.881631
9.661768,1.304578,6.281494
5.552685,9.149275,6.493562
0.828313,3.721337,6.700667
5.082726,2.40917,6.803844
3.750487,6.747047,7.011101
4.790144,6.994489,6.974734
3.877755,8.783674,6.67912
2.251964,0.349199,6.054247
