@relation Circles

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
3.800822,5.273427,6.345376
9.963354,0.800935,6.10696
4.088259,3.181665,6.079286
9.237872,7.459978,6.236234
2.592969,6.757921,7.340936
6.522061,0.911144,7.171825
9.412632,8.944355,6.373575
3.291142,2.071983,6.084674
2.684369,3.485536,6.249247
3.827838,6.225209,6.345376
2.630741,8.157793,7.075019
9.861244,8.631124,6.10811
1.178112,7.096832,7.081645
5.046983,1.028555,7.360217
6.548865,4.882863,7.242666
4.747969,8.194384,6.29119
1.098339,6.888778,7.081645
7.730709,3.396122,7.277554
5.082726,2.40917,6.313125
5.691584,9.759405,6.085762
7.633453,1.790396,6.262237
2.29433,3.119298,6.249247
7.006026,2.337289,7.076873
6.534256,4.326529,7.06073
6.291612,6.436484,6.271349
6.312325,1.983099,7.076873
5.294362,9.580869,6.085762
1.200106,3.978808,6.202015
1.811971,4.877138,6.309133
5.31664,0.901436,7.360217
2.450835,3.111692,6.249247
4.986914,9.32879,6.085762
0.363568,4.841633,6.419685
3.785798,8.333421,6.388755
8.597916,3.610695,7.360217
4.211825,0.040666,6.248595
1.904249,3.022218,6.379641
9.513089,7.141153,6.236234
3.215082,1.774011,6.084674
1.772154,4.462132,6.420521
6.989042,3.672985,7.350415
6.406541,8.612995,6.280042
3.018516,8.871289,7.226762
5.587597,3.380831,7.195613
0.828313,3.721337,6.202015
5.930606,7.750509,6.28673
9.469791,3.073596,7.090266
7.45523,7.106461,6.271349
2.134705,4.838541,6.28739
5.07369,9.896545,6.085762
2.978739,5.948381,7.124191
1.283146,5.066376,6.07808
8.5688,4.182588,6.321782
2.702465,4.851429,7.072331
0.403062,9.401118,6.372104
8.124467,3.2955,7.277554
6.665477,8.008909,6.411515
1.77886,3.29992,6.249247
7.605344,4.785172,7.350415
0.05772,9.198152,6.372104
4.755981,4.206881,7.068772
7.016788,1.780556,7.076873
8.015675,1.466528,6.262237
7.029662,9.520872,6.3358
9.474898,3.202666,7.090266
3.544852,7.04473,7.130009
5.912178,3.290239,7.195613
5.331071,4.739495,7.068772
1.540317,0.537378,6.402117
8.016709,0.438286,6.376236
9.863233,3.214251,7.090266
4.304597,7.032171,7.224824
9.665995,3.541675,7.334776
9.237306,5.17031,6.272672
8.24748,8.047075,6.195864
8.031771,6.529581,6.199289
0.574609,4.013582,6.202015
1.927133,9.146671,6.414756
3.341663,2.825978,6.084674
1.549221,2.385182,6.379641
1.723421,5.493081,6.07808
7.645876,8.152396,6.082581
9.870511,8.781346,6.373575
6.51115,5.375615,7.242666
2.689616,9.85908,6.414756
5.318289,9.542514,6.085762
8.18668,8.276256,6.3358
5.660613,5.180016,7.242666
7.21218,7.157638,6.271349
8.149572,1.068187,6.376236
1.788294,9.454679,6.414756
5.546457,1.547324,7.171825
2.563401,7.644226,7.340936
8.610737,1.525223,6.216134
8.490796,2.643521,7.277554
4.932182,2.200813,6.313125
9.0195,0.643591,6.10696
7.974321,7.870582,6.195864
7.302325,3.320124,7.350415
4.474982,8.20582,6.289128
6.588141,4.238004,7.06073
7.265952,6.92842,6.271349
4.012181,2.311625,6.313125
6.109821,6.671562,6.271349
1.044333,7.964776,6.389871
9.412065,7.030317,6.236234
0.440452,8.499569,6.372104
2.219663,1.933278,6.426551
1.232386,6.206814,7.356795
3.603555,7.551247,7.267648
4.589815,4.475398,7.068772
0.637336,6.815804,7.356795
9.661768,1.304578,6.397057
9.472111,0.11277,6.10696
7.590068,2.559477,7.277554
6.990762,1.236851,7.06625
9.702093,5.573372,6.272672
8.152177,9.543624,6.297892
3.643458,5.325006,6.345376
4.091978,1.479614,6.313125
1.6833,0.559971,6.402117
5.211523,3.233893,7.195613
3.980127,2.276108,6.313125
9.77342,3.48476,7.334776
4.290668,9.565176,6.085762
8.747879,0.845967,6.397057
9.438958,9.049839,6.373575
8.153368,1.012639,6.376236
3.448878,8.575038,7.226762
2.069323,4.914405,6.110728
0.840096,7.714784,6.389871
9.052439,5.650697,6.094208
5.05869,9.092334,6.419413
8.240537,6.097634,6.199289
6.299718,8.390168,6.280042
0.763991,0.42097,6.402117
7.101361,6.099946,6.199289
4.669896,0.036832,7.360217
2.498966,6.624963,7.340936
5.440452,0.415301,7.360217
8.630484,2.228388,6.216134
1.769437,3.507569,6.420521
6.044207,7.99689,6.28673
7.782015,8.45942,6.3358
4.842789,4.854034,6.207261
6.117874,3.379915,7.195613
5.947305,6.585698,6.271349
4.527137,5.159491,6.207261
4.708736,6.920194,7.224824
8.898343,8.864944,6.297892
9.020395,6.497272,6.094208
2.324613,0.642547,6.242309
2.700719,9.082565,7.226762
5.667224,9.570326,6.085762
5.246392,8.250306,6.29119
1.211934,2.071255,6.227609
8.832723,9.655829,6.297892
0.952788,7.687491,6.389871
1.043373,8.402494,6.356407
5.900641,5.598843,7.242666
3.892001,6.656608,7.159639
4.869413,8.240724,6.29119
7.809576,6.231679,6.199289
9.598911,2.319945,7.090266
9.954983,1.216165,6.397057
6.30357,8.235949,6.280042
1.622703,0.91901,6.242309
4.10067,6.300639,7.159639
4.795172,8.084661,6.29119
3.221096,5.294528,7.072331
2.015798,6.093041,7.124191
5.281645,6.688723,7.224824
6.655043,3.490521,7.06073
2.064277,7.441817,7.340936
5.71929,7.26039,6.28673
8.336104,9.395178,6.297892
2.849678,9.955808,7.226762
5.119797,3.114702,7.195613
4.064977,6.551622,7.159639
3.081593,6.47791,7.245324
6.598386,2.831497,7.076873
4.231031,4.944326,6.207261
2.833889,6.22943,7.124191
1.397319,4.772194,6.309133
6.120917,0.789788,7.171825
4.442438,8.117034,6.289128
0.703323,5.835731,6.207909
3.121912,0.661068,6.248595
6.568086,7.469657,6.271349
7.691777,7.849241,6.195864
8.322268,7.624759,6.195864
5.513661,2.563866,7.195613
8.436016,4.689339,6.321782
2.640111,1.525051,6.426551
0.259723,8.688846,6.372104
8.850602,1.319569,6.397057
5.264936,9.300132,6.085762
9.292042,2.149119,6.397057
1.694591,1.977936,6.379641
4.191093,7.150385,7.224824
4.237633,3.34137,6.079286
3.126842,7.154932,7.130009
9.676417,4.872586,6.272672
9.039335,2.315709,7.090266
9.049482,1.729971,6.397057
9.561512,7.266002,6.236234
3.74599,8.020374,6.388755
2.594419,9.746187,6.414756
0.408908,9.466088,6.372104
3.361323,6.898147,7.130009
0.729526,2.233058,6.227609
9.187878,3.536303,7.334776
7.63497,0.013687,7.06625
4.421768,4.477363,7.068772
0.354516,6.435497,7.356795
7.144174,5.370249,6.199289
3.65859,3.843305,7.074122
6.386807,6.133744,6.271349
7.288735,3.261333,7.350415
4.313249,8.321252,6.289128
0.678421,0.748022,6.227609
1.687689,5.23018,6.07808
3.163451,7.832962,7.267648
2.007064,6.447738,7.124191
5.29664,5.445754,6.207261
7.408127,7.639133,6.082581
7.437683,1.577878,6.376236
6.532079,5.428766,7.242666
5.552685,9.149275,6.085762
0.50127,5.930622,6.207909
7.094718,9.929304,6.3358
1.895488,2.806834,6.379641
7.882015,2.87325,7.277554
6.452347,6.692511,6.271349
4.960903,0.623954,7.360217
9.170366,0.256861,6.10696
1.927339,2.286646,6.379641
4.790144,6.994489,7.224824
0.099334,9.330501,6.372104
7.625178,8.120178,6.082581
5.393113,6.97546,6.28673
2.009394,7.636105,7.075019
9.338956,7.904602,6.236234
4.14818,3.000691,6.079286
9.267371,5.521198,6.272672
3.612409,7.278525,7.130009
3.829506,5.961093,6.345376
2.020888,3.193713,6.249247
5.591413,0.404827,7.360217
3.362704,3.422214,6.079286
2.839721,2.390985,6.084674
4.689434,0.690114,7.360217
2.11555,0.793956,6.242309
0.809469,6.515203,7.356795
2.346834,4.640736,6.093895
3.409523,9.264532,7.226762
2.169079,1.544423,6.426551
6.891251,8.013415,6.309102
8.330257,3.912995,6.321782
7.525161,1.357626,6.376236
9.148575,1.916538,6.397057
7.038143,8.193153,6.309102
6.62201,4.101838,7.06073
2.718512,0.652162,6.242309
4.626226,5.358548,6.354243
7.570674,3.980511,7.350415
7.64408,4.759277,7.350415
7.465605,6.047312,6.199289
5.175926,0.07663,7.360217
1.123375,8.053069,6.389871
7.122523,7.972487,6.309102
1.131433,7.47354,7.081645
1.811464,8.191509,7.075019
3.750487,6.747047,7.130009
3.532159,0.704198,6.248595
4.185234,4.110285,7.068772
8.506674,4.772854,6.321782
2.762042,7.211512,7.340936
4.092678,3.041624,6.079286
7.516739,3.26069,7.277554
3.616471,4.000142,7.074122
0.429811,9.317477,6.372104
0.030152,4.831471,6.372839
2.577089,7.69237,7.075019
4.509868,9.242516,6.419413
3.249678,8.618795,7.226762
2.634348,8.710648,7.226762
7.162921,8.1456,6.309102
5.195088,2.781354,7.195613
7.568138,0.883374,6.376236
4.717766,5.235838,6.207261
8.625505,5.629296,6.094208
3.877755,8.783674,6.419413
3.444642,7.749965,7.267648
1.819335,4.360201,6.420521
8.338782,1.489463,6.216134
5.800554,9.125824,6.280042
1.909859,4.723473,6.309133
2.464386,4.856902,6.093895
9.822625,2.193907,7.090266
7.800058,9.578077,6.3358
9.966675,3.581398,7.334776
6.726436,0.412369,7.06625
8.33996,0.507043,6.10696
6.121884,4.983913,7.242666
0.599453,9.052571,6.372104
5.906003,9.473386,6.085762
9.263991,5.350596,6.272672
9.259681,7.568319,6.236234
0.575267,5.449788,6.207909
4.803277,0.24193,7.360217
1.930361,4.183049,6.420521
4.598611,9.830519,6.085762
7.905888,8.577553,6.3358
4.894124,0.784822,7.360217
7.338048,3.371915,7.350415
3.235303,2.208064,6.084674
2.185946,3.887943,6.420521
6.511423,7.410849,6.271349
2.415708,8.141651,7.075019
3.405474,0.717725,6.248595
6.936874,4.349503,7.06073
