@relation Circles

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
8.330257,3.912995,7.368004
2.592969,6.757921,7.171418
6.109821,6.671562,7.043838
0.575267,5.449788,6.797188
6.655043,3.490521,7.169697
2.689616,9.85908,6.913904
0.354516,6.435497,7.265334
7.809576,6.231679,6.533455
4.717766,5.235838,6.712937
7.800058,9.578077,6.12831
9.870511,8.781346,6.141402
2.415708,8.141651,7.27569
9.861244,8.631124,6.141459
1.895488,2.806834,6.350553
6.936874,4.349503,7.150064
2.069323,4.914405,6.256492
7.568138,0.883374,6.215384
0.363568,4.841633,6.800977
4.626226,5.358548,6.712914
2.978739,5.948381,7.156475
1.811464,8.191509,6.779438
8.747879,0.845967,6.234006
5.930606,7.750509,6.45951
9.564955,4.983554,6.925631
2.11555,0.793956,6.158064
3.018516,8.871289,7.346945
8.18668,8.276256,6.071743
7.63497,0.013687,6.215516
7.094718,9.929304,6.128873
5.419858,9.370287,6.306919
4.509868,9.242516,6.45956
2.268224,3.362498,6.430792
6.532079,5.428766,7.107608
7.45523,7.106461,6.071391
9.259681,7.568319,6.181615
5.31664,0.901436,6.636138
4.689434,0.690114,6.640435
2.015798,6.093041,7.168866
4.747969,8.194384,6.459492
3.382866,2.593671,7.215935
7.029662,9.520872,6.128881
4.960903,0.623954,6.638121
3.616471,4.000142,6.870571
0.840096,7.714784,6.769893
2.702465,4.851429,6.427436
8.031771,6.529581,6.179185
4.184298,5.050788,6.755244
3.126842,7.154932,7.153519
8.630484,2.228388,6.235371
5.29664,5.445754,6.713322
4.185234,4.110285,7.256081
7.64408,4.759277,7.060568
3.409523,9.264532,6.91265
2.594419,9.746187,6.870249
8.016709,0.438286,6.233294
1.115813,4.700867,6.773306
1.283146,5.066376,6.762893
4.755981,4.206881,7.253643
2.134705,4.838541,6.257287
4.894124,0.784822,6.639262
4.803277,0.24193,6.265416
6.511423,7.410849,6.58495
7.910408,1.334689,6.233167
2.464386,4.856902,6.427261
9.966675,3.581398,6.900693
1.688326,7.281018,7.135625
9.039335,2.315709,6.309498
9.665995,3.541675,6.905393
0.678421,0.748022,6.114743
4.086417,6.10142,7.154689
3.249678,8.618795,6.896313
2.007064,6.447738,7.16805
3.242919,9.887174,6.910444
5.691584,9.759405,6.302666
3.004126,7.350218,7.217502
4.842789,4.854034,6.755325
8.4808,7.667423,6.177899
0.256185,5.196729,6.812223
3.980127,2.276108,7.213034
4.10067,6.300639,7.154372
4.231031,4.944326,6.756996
9.428669,3.395909,6.906653
1.211934,2.071255,6.199579
3.643458,5.325006,6.81097
6.665477,8.008909,6.127965
1.232386,6.206814,6.624194
5.175926,0.07663,6.635614
7.633453,1.790396,6.700519
9.020395,6.497272,6.18061
2.450835,3.111692,6.430742
2.064277,7.441817,7.273735
6.30357,8.235949,6.128246
0.429811,9.317477,6.183374
3.405474,0.717725,6.165543
2.324613,0.642547,6.159995
9.561512,7.266002,6.181647
8.506674,4.772854,6.949891
7.590068,2.559477,6.726893
5.331071,4.739495,6.785406
6.726436,0.412369,6.21674
7.338048,3.371915,7.171572
9.661768,1.304578,6.309909
5.552685,9.149275,6.306197
0.828313,3.721337,6.317161
5.082726,2.40917,6.664261
3.750487,6.747047,7.153613
4.790144,6.994489,6.758516
3.877755,8.783674,6.88854
2.251964,0.349199,6.159094
8.33996,0.507043,6.233558
4.724798,5.492769,6.713198
7.525161,1.357626,6.692595
5.281645,6.688723,6.721093
7.302325,3.320124,7.171636
1.896037,9.158486,6.84245
1.909859,4.723473,6.255948
8.625505,5.629296,6.371192
9.0195,0.643591,6.265174
1.772154,4.462132,6.428776
2.563401,7.644226,7.276878
7.162921,8.1456,6.127708
2.630741,8.157793,7.27633
6.365863,2.180486,6.645214
7.204028,2.040167,6.714853
