@relation Circles

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
8.330257,3.912995,7.497916
2.592969,6.757921,7.242785
6.109821,6.671562,7.11967
0.575267,5.449788,7.432532
6.655043,3.490521,7.11967
2.689616,9.85908,7.242785
0.354516,6.435497,7.432532
7.809576,6.231679,7.11967
4.717766,5.235838,6.429946
7.800058,9.578077,6.212446
9.870511,8.781346,6.212446
2.415708,8.141651,7.242785
9.861244,8.631124,6.212446
1.895488,2.806834,6.429946
6.936874,4.349503,7.11967
2.069323,4.914405,6.429946
7.568138,0.883374,6.212446
0.363568,4.841633,7.432532
4.626226,5.358548,6.429946
2.978739,5.948381,7.242785
1.811464,8.191509,7.242785
8.747879,0.845967,6.212446
5.930606,7.750509,6.429946
9.564955,4.983554,6.212446
2.11555,0.793956,6.212446
3.018516,8.871289,7.242785
8.18668,8.276256,6.212446
7.63497,0.013687,6.212446
7.094718,9.929304,6.212446
5.419858,9.370287,6.429946
4.509868,9.242516,6.429946
2.268224,3.362498,6.429946
6.532079,5.428766,7.11967
7.45523,7.106461,6.212446
9.259681,7.568319,6.212446
5.31664,0.901436,6.212446
4.689434,0.690114,6.212446
2.015798,6.093041,7.242785
4.747969,8.194384,6.429946
3.382866,2.593671,7.362826
7.029662,9.520872,6.212446
4.960903,0.623954,6.212446
3.616471,4.000142,7.362826
0.840096,7.714784,6.212446
2.702465,4.851429,6.429946
8.031771,6.529581,6.212446
4.184298,5.050788,6.429946
3.126842,7.154932,7.06079
8.630484,2.228388,6.212446
5.29664,5.445754,6.429946
4.185234,4.110285,7.11967
7.64408,4.759277,7.11967
3.409523,9.264532,7.242785
2.594419,9.746187,7.242785
8.016709,0.438286,6.212446
1.115813,4.700867,6.142584
1.283146,5.066376,6.142584
4.755981,4.206881,7.11967
2.134705,4.838541,6.429946
4.894124,0.784822,6.212446
4.803277,0.24193,6.212446
6.511423,7.410849,6.212446
7.910408,1.334689,6.212446
2.464386,4.856902,6.429946
9.966675,3.581398,7.497916
1.688326,7.281018,7.242785
9.039335,2.315709,6.212446
9.665995,3.541675,7.497916
0.678421,0.748022,6.212446
4.086417,6.10142,7.242785
3.249678,8.618795,7.242785
2.007064,6.447738,7.242785
3.242919,9.887174,7.242785
5.691584,9.759405,6.212446
3.004126,7.350218,7.242785
4.842789,4.854034,6.429946
8.4808,7.667423,6.212446
0.256185,5.196729,7.432532
3.980127,2.276108,7.362826
4.10067,6.300639,7.06079
4.231031,4.944326,6.429946
9.428669,3.395909,7.497916
1.211934,2.071255,6.212446
3.643458,5.325006,7.242785
6.665477,8.008909,6.212446
1.232386,6.206814,7.242785
5.175926,0.07663,6.212446
7.633453,1.790396,6.212446
9.020395,6.497272,6.212446
2.450835,3.111692,6.429946
2.064277,7.441817,7.242785
6.30357,8.235949,6.212446
0.429811,9.317477,6.212446
3.405474,0.717725,6.212446
2.324613,0.642547,6.212446
9.561512,7.266002,6.212446
8.506674,4.772854,6.212446
7.590068,2.559477,7.11967
5.331071,4.739495,6.429946
6.726436,0.412369,6.212446
7.338048,3.371915,7.11967
9.661768,1.304578,6.212446
5.552685,9.149275,6.429946
0.828313,3.721337,6.429946
5.082726,2.40917,7.11967
3.750487,6.747047,7.06079
4.790144,6.994489,6.429946
3.877755,8.783674,6.429946
2.251964,0.349199,6.212446
8.33996,0.507043,6.212446
4.724798,5.492769,6.429946
7.525161,1.357626,6.212446
5.281645,6.688723,6.429946
7.302325,3.320124,7.11967
1.896037,9.158486,6.212446
1.909859,4.723473,6.429946
8.625505,5.629296,6.212446
9.0195,0.643591,6.212446
1.772154,4.462132,6.429946
2.563401,7.644226,7.242785
7.162921,8.1456,6.212446
2.630741,8.157793,7.242785
6.365863,2.180486,6.212446
7.204028,2.040167,6.212446
5.587597,3.380831,7.11967
1.6833,0.559971,6.212446
7.645876,8.152396,6.212446
3.121912,0.661068,6.212446
1.930361,4.183049,6.429946
9.21968,0.703189,6.212446
1.098339,6.888778,7.242785
4.474982,8.20582,6.429946
6.534256,4.326529,7.11967
3.612409,7.278525,7.06079
3.361323,6.898147,7.06079
8.336104,9.395178,6.212446
9.513089,7.141153,6.212446
3.568819,3.0083,7.362826
1.927133,9.146671,6.212446
5.912178,3.290239,7.11967
8.610737,1.525223,6.212446
7.916654,3.508503,7.11967
2.640111,1.525051,6.212446
0.703323,5.835731,7.432532
8.448586,5.382036,6.212446
1.044333,7.964776,6.212446
3.215082,1.774011,6.212446
9.148575,1.916538,6.212446
7.260487,1.513908,6.212446
0.50127,5.930622,7.432532
0.259723,8.688846,6.212446
4.313249,8.321252,6.429946
4.3507,2.140338,7.11967
8.124467,3.2955,7.11967
9.702093,5.573372,6.212446
1.756434,7.984948,7.242785
2.29433,3.119298,6.429946
9.474898,3.202666,7.497916
7.006026,2.337289,7.11967
8.322268,7.624759,6.212446
1.968328,6.057859,7.242785
7.882015,2.87325,7.11967
8.149572,1.068187,6.212446
4.527137,5.159491,6.429946
2.749516,7.858192,7.242785
8.152177,9.543624,6.212446
0.952788,7.687491,6.212446
