@relation Circles

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
3.800822,5.273427,6.353513
9.963354,0.800935,6.054675
4.088259,3.181665,6.011865
9.237872,7.459978,6.233421
2.592969,6.757921,7.369657
6.522061,0.911144,7.169485
9.412632,8.944355,6.396049
3.291142,2.071983,6.048482
2.684369,3.485536,6.247302
3.827838,6.225209,6.353513
2.630741,8.157793,7.015958
9.861244,8.631124,6.114044
1.178112,7.096832,7.0268
5.046983,1.028555,7.421194
6.548865,4.882863,7.268788
4.747969,8.194384,6.297454
1.098339,6.888778,7.0268
7.730709,3.396122,7.294327
5.082726,2.40917,6.325346
5.691584,9.759405,6.01609
7.633453,1.790396,6.281535
2.29433,3.119298,6.247302
7.006026,2.337289,7.010351
6.534256,4.326529,7.081053
6.291612,6.436484,6.240152
6.312325,1.983099,7.010351
5.294362,9.580869,6.01609
1.200106,3.978808,6.164216
1.811971,4.877138,6.34814
5.31664,0.901436,7.421194
2.450835,3.111692,6.247302
4.986914,9.32879,6.01609
0.363568,4.841633,6.486965
3.785798,8.333421,6.416523
8.597916,3.610695,7.450234
4.211825,0.040666,6.237142
1.904249,3.022218,6.42789
9.513089,7.141153,6.233421
3.215082,1.774011,6.048482
1.772154,4.462132,6.48579
6.989042,3.672985,7.368419
6.406541,8.612995,6.278837
3.018516,8.871289,7.242663
5.587597,3.380831,7.154361
0.828313,3.721337,6.164216
5.930606,7.750509,6.283745
9.469791,3.073596,7.114115
7.45523,7.106461,6.240152
2.134705,4.838541,6.283741
5.07369,9.896545,6.01609
2.978739,5.948381,7.103714
1.283146,5.066376,6.03972
8.5688,4.182588,6.330235
2.702465,4.851429,7.02666
0.403062,9.401118,6.376618
8.124467,3.2955,7.294327
6.665477,8.008909,6.458404
1.77886,3.29992,6.247302
7.605344,4.785172,7.368419
0.05772,9.198152,6.376618
4.755981,4.206881,7.052616
7.016788,1.780556,7.010351
8.015675,1.466528,6.281535
7.029662,9.520872,6.359153
9.474898,3.202666,7.114115
3.544852,7.04473,7.129588
5.912178,3.290239,7.154361
5.331071,4.739495,7.052616
1.540317,0.537378,6.436148
8.016709,0.438286,6.395454
9.863233,3.214251,7.114115
4.304597,7.032171,7.214247
9.665995,3.541675,7.372301
9.237306,5.17031,6.282945
8.24748,8.047075,6.173905
8.031771,6.529581,6.165627
0.574609,4.013582,6.164216
1.927133,9.146671,6.425215
3.341663,2.825978,6.048482
1.549221,2.385182,6.42789
1.723421,5.493081,6.03972
7.645876,8.152396,6.016599
9.870511,8.781346,6.396049
6.51115,5.375615,7.268788
2.689616,9.85908,6.425215
5.318289,9.542514,6.01609
8.18668,8.276256,6.359153
5.660613,5.180016,7.268788
7.21218,7.157638,6.240152
8.149572,1.068187,6.395454
1.788294,9.454679,6.425215
5.546457,1.547324,7.169485
2.563401,7.644226,7.369657
8.610737,1.525223,6.193
8.490796,2.643521,7.294327
4.932182,2.200813,6.325346
9.0195,0.643591,6.054675
7.974321,7.870582,6.173905
7.302325,3.320124,7.368419
4.474982,8.20582,6.262417
6.588141,4.238004,7.081053
7.265952,6.92842,6.240152
4.012181,2.311625,6.325346
6.109821,6.671562,6.240152
1.044333,7.964776,6.481296
9.412065,7.030317,6.233421
0.440452,8.499569,6.376618
2.219663,1.933278,6.4638
1.232386,6.206814,7.454752
3.603555,7.551247,7.292616
4.589815,4.475398,7.052616
0.637336,6.815804,7.454752
9.661768,1.304578,6.385186
9.472111,0.11277,6.054675
7.590068,2.559477,7.294327
6.990762,1.236851,7.026887
9.702093,5.573372,6.282945
8.152177,9.543624,6.301857
3.643458,5.325006,6.353513
4.091978,1.479614,6.325346
1.6833,0.559971,6.436148
5.211523,3.233893,7.154361
3.980127,2.276108,6.325346
9.77342,3.48476,7.372301
4.290668,9.565176,6.01609
8.747879,0.845967,6.385186
9.438958,9.049839,6.396049
8.153368,1.012639,6.395454
3.448878,8.575038,7.242663
2.069323,4.914405,6.052564
0.840096,7.714784,6.481296
9.052439,5.650697,6.033788
5.05869,9.092334,6.46231
8.240537,6.097634,6.165627
6.299718,8.390168,6.278837
0.763991,0.42097,6.436148
7.101361,6.099946,6.165627
4.669896,0.036832,7.421194
2.498966,6.624963,7.369657
5.440452,0.415301,7.421194
8.630484,2.228388,6.193
1.769437,3.507569,6.48579
6.044207,7.99689,6.283745
7.782015,8.45942,6.359153
4.842789,4.854034,6.183779
6.117874,3.379915,7.154361
5.947305,6.585698,6.240152
4.527137,5.159491,6.183779
4.708736,6.920194,7.214247
8.898343,8.864944,6.301857
9.020395,6.497272,6.033788
2.324613,0.642547,6.245893
2.700719,9.082565,7.242663
5.667224,9.570326,6.01609
5.246392,8.250306,6.297454
1.211934,2.071255,6.195938
8.832723,9.655829,6.301857
0.952788,7.687491,6.481296
1.043373,8.402494,6.377341
5.900641,5.598843,7.268788
3.892001,6.656608,7.132385
4.869413,8.240724,6.297454
7.809576,6.231679,6.165627
9.598911,2.319945,7.114115
9.954983,1.216165,6.385186
6.30357,8.235949,6.278837
1.622703,0.91901,6.245893
4.10067,6.300639,7.132385
4.795172,8.084661,6.297454
3.221096,5.294528,7.02666
2.015798,6.093041,7.103714
5.281645,6.688723,7.214247
6.655043,3.490521,7.081053
2.064277,7.441817,7.369657
5.71929,7.26039,6.283745
8.336104,9.395178,6.301857
2.849678,9.955808,7.242663
5.119797,3.114702,7.154361
4.064977,6.551622,7.132385
3.081593,6.47791,7.24855
6.598386,2.831497,7.010351
4.231031,4.944326,6.183779
2.833889,6.22943,7.103714
1.397319,4.772194,6.34814
6.120917,0.789788,7.169485
4.442438,8.117034,6.262417
0.703323,5.835731,6.185067
3.121912,0.661068,6.237142
6.568086,7.469657,6.240152
7.691777,7.849241,6.173905
8.322268,7.624759,6.173905
5.513661,2.563866,7.154361
8.436016,4.689339,6.330235
2.640111,1.525051,6.4638
0.259723,8.688846,6.376618
8.850602,1.319569,6.385186
5.264936,9.300132,6.01609
9.292042,2.149119,6.385186
1.694591,1.977936,6.42789
4.191093,7.150385,7.214247
4.237633,3.34137,6.011865
