Latitude,Longitude,Price
8.330257,3.912995,7.497916
2.592969,6.757921,7.24855
6.109821,6.671562,7.069788
0.575267,5.449788,7.432532
6.655043,3.490521,7.236732
2.689616,9.85908,7.321532
0.354516,6.435497,7.432532
7.809576,6.231679,7.017407
4.717766,5.235838,6.372663
7.800058,9.578077,6.145721
9.870511,8.781346,6.168604
2.415708,8.141651,7.373874
9.861244,8.631124,6.168604
1.895488,2.806834,6.490985
6.936874,4.349503,7.10216
2.069323,4.914405,6.367062
7.568138,0.883374,6.193
0.363568,4.841633,7.432532
4.626226,5.358548,6.372663
2.978739,5.948381,7.24855
1.811464,8.191509,7.176262
8.747879,0.845967,6.193
5.930606,7.750509,6.456709
9.564955,4.983554,6.412082
2.11555,0.793956,6.025496
3.018516,8.871289,7.321532
8.18668,8.276256,6.110549
7.63497,0.013687,6.193
7.094718,9.929304,6.145721
5.419858,9.370287,6.46231
4.509868,9.242516,6.46231
2.268224,3.362498,6.490985
6.532079,5.428766,7.017407
7.45523,7.106461,6.110549
9.259681,7.568319,6.327754
5.31664,0.901436,6.239904
4.689434,0.690114,6.239904
2.015798,6.093041,7.093707
4.747969,8.194384,6.456709
3.382866,2.593671,7.362826
7.029662,9.520872,6.145721
4.960903,0.623954,6.239904
3.616471,4.000142,7.362826
0.840096,7.714784,6.377341
2.702465,4.851429,6.367062
8.031771,6.529581,6.031504
4.184298,5.050788,6.372663
3.126842,7.154932,7.06079
8.630484,2.228388,6.193
5.29664,5.445754,6.372663
4.185234,4.110285,7.150715
7.64408,4.759277,7.10216
3.409523,9.264532,7.321532
2.594419,9.746187,7.321532
8.016709,0.438286,6.193
1.115813,4.700867,6.142584
1.283146,5.066376,6.142584
4.755981,4.206881,7.150715
2.134705,4.838541,6.367062
4.894124,0.784822,6.239904
4.803277,0.24193,6.239904
6.511423,7.410849,6.110549
7.910408,1.334689,6.193
2.464386,4.856902,6.367062
9.966675,3.581398,7.497916
1.688326,7.281018,7.176262
9.039335,2.315709,6.278315
9.665995,3.541675,7.497916
0.678421,0.748022,6.199541
4.086417,6.10142,7.24855
3.249678,8.618795,7.321532
2.007064,6.447738,7.093707
3.242919,9.887174,7.321532
5.691584,9.759405,6.145721
3.004126,7.350218,7.373874
4.842789,4.854034,6.372663
8.4808,7.667423,6.031504
0.256185,5.196729,7.432532
3.980127,2.276108,7.362826
4.10067,6.300639,7.06079
4.231031,4.944326,6.372663
9.428669,3.395909,7.497916
1.211934,2.071255,6.199541
3.643458,5.325006,7.24855
6.665477,8.008909,6.110549
1.232386,6.206814,7.093707
5.175926,0.07663,6.239904
7.633453,1.790396,6.193
9.020395,6.497272,6.327754
2.450835,3.111692,6.490985
2.064277,7.441817,7.176262
6.30357,8.235949,6.145721
0.429811,9.317477,6.12932
3.405474,0.717725,6.291934
2.324613,0.642547,6.291934
9.561512,7.266002,6.327754
8.506674,4.772854,6.412082
7.590068,2.559477,7.236732
5.331071,4.739495,6.372663
6.726436,0.412369,6.239904
7.338048,3.371915,7.236732
9.661768,1.304578,6.34123
5.552685,9.149275,6.46231
0.828313,3.721337,6.490985
5.082726,2.40917,7.059015
3.750487,6.747047,7.06079
4.790144,6.994489,7.06079
3.877755,8.783674,6.456709
2.251964,0.349199,6.291934
8.33996,0.507043,6.193
4.724798,5.492769,6.372663
7.525161,1.357626,6.193
5.281645,6.688723,7.069788
7.302325,3.320124,7.236732
1.896037,9.158486,6.377341
1.909859,4.723473,6.367062
8.625505,5.629296,6.412082
9.0195,0.643591,6.193
1.772154,4.462132,6.367062
2.563401,7.644226,7.373874
7.162921,8.1456,6.110549
2.630741,8.157793,7.373874
6.365863,2.180486,6.239904
7.204028,2.040167,6.193
5.587597,3.380831,7.150715
1.6833,0.559971,6.025496
7.645876,8.152396,6.110549
3.121912,0.661068,6.291934
1.930361,4.183049,6.490985
9.21968,0.703189,6.193
1.098339,6.888778,7.093707
4.474982,8.20582,6.456709
6.534256,4.326529,7.10216
3.612409,7.278525,7.06079
3.361323,6.898147,7.06079
8.336104,9.395178,6.110549
9.513089,7.141153,6.327754
3.568819,3.0083,7.362826
1.927133,9.146671,6.377341
5.912178,3.290239,7.150715
8.610737,1.525223,6.193
7.916654,3.508503,7.236732
2.640111,1.525051,6.291934
0.703323,5.835731,7.432532
8.448586,5.382036,6.412082
1.044333,7.964776,6.377341
3.215082,1.774011,6.291934
9.148575,1.916538,6.278315
7.260487,1.513908,6.193
0.50127,5.930622,7.432532
0.259723,8.688846,6.238139
4.313249,8.321252,6.456709
4.3507,2.140338,7.059015
8.124467,3.2955,7.236732
9.702093,5.573372,6.412082
1.756434,7.984948,7.176262
2.29433,3.119298,6.490985
9.474898,3.202666,7.497916
7.006026,2.337289,7.236732
8.322268,7.624759,6.031504
1.968328,6.057859,7.093707
7.882015,2.87325,7.236732
8.149572,1.068187,6.193
4.527137,5.159491,6.372663
2.749516,7.858192,7.373874
8.152177,9.543624,6.110549
0.952788,7.687491,6.377341
6.694062,6.973194,7.069788
8.490796,2.643521,6.278315
9.237306,5.17031,6.412082
7.465605,6.047312,7.017407
7.974321,7.870582,6.110549
0.592992,4.080277,7.432532
5.513661,2.563866,7.059015
9.469791,3.073596,7.497916
4.442438,8.117034,6.456709
9.472111,0.11277,6.193
5.660613,5.180016,6.372663
3.120605,4.412321,6.367062
5.546457,1.547324,6.239904
6.568086,7.469657,6.110549
1.442384,0.054371,6.025496
5.032672,3.696894,7.150715
9.890789,4.84025,6.412082
7.144174,5.370249,7.017407
2.577089,7.69237,7.373874
5.046983,1.028555,6.239904
1.043373,8.402494,6.377341
1.788294,9.454679,6.12932
6.548865,4.882863,7.201872
1.904249,3.022218,6.490985
9.267371,5.521198,6.412082
5.71929,7.26039,6.456709
1.200106,3.978808,6.490985
4.237633,3.34137,7.362826
7.730709,3.396122,7.236732
1.928457,5.729061,7.093707
1.178112,7.096832,7.176262
7.437683,1.577878,6.193
7.265952,6.92842,6.110549
3.495719,3.119922,7.362826
6.989042,3.672985,7.236732
3.444642,7.749965,7.373874
4.290668,9.565176,6.46231
2.817212,2.273986,7.362826
9.598911,2.319945,6.278315
5.900641,5.598843,7.069788
8.153368,1.012639,6.193
4.447824,4.108985,7.150715
3.827838,6.225209,7.24855
4.064977,6.551622,7.06079
9.237872,7.459978,6.327754
1.131433,7.47354,7.176262
8.832723,9.655829,6.168604
1.811971,4.877138,6.142584
6.522061,0.911144,6.239904
0.763991,0.42097,6.025496
4.304597,7.032171,7.06079
5.906003,9.473386,6.145721
