@relation Circles

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
7.016788,1.780556,6.564562
7.910408,1.334689,6.859637
4.755981,4.206881,7.18904
7.338048,3.371915,7.18904
9.020395,6.497272,6.180954
4.986914,9.32879,6.145441
4.184298,5.050788,7.01677
9.170366,0.256861,7.152938
4.290668,9.565176,6.906875
3.120605,4.412321,6.32946
2.599937,4.216968,6.32946
8.240537,6.097634,6.407536
5.246392,8.250306,6.145441
1.200106,3.978808,6.32946
5.082726,2.40917,7.18904
8.434148,9.626903,6.407536
9.561512,7.266002,6.180954
4.689434,0.690114,6.060425
7.691777,7.849241,6.145441
5.119797,3.114702,7.18904
1.930361,4.183049,6.32946
8.338782,1.489463,6.859637
0.030152,4.831471,6.32946
5.366004,0.40172,7.152938
0.354516,6.435497,6.32946
4.237633,3.34137,7.18904
7.302325,3.320124,7.18904
6.51115,5.375615,7.01677
3.362704,3.422214,6.32946
7.510818,2.540322,7.18904
5.546457,1.547324,6.060425
9.21968,0.703189,6.206771
2.857798,0.611297,6.32946
6.534256,4.326529,7.18904
3.544852,7.04473,7.01677
1.540317,0.537378,6.32946
1.178112,7.096832,6.32946
7.809576,6.231679,6.407536
2.185946,3.887943,6.32946
3.827838,6.225209,7.01677
0.574609,4.013582,6.32946
2.689616,9.85908,6.32946
2.817212,2.273986,6.32946
8.124467,3.2955,7.18904
3.643458,5.325006,7.01677
2.592969,6.757921,6.32946
9.553067,9.415565,6.180954
1.131433,7.47354,6.32946
6.312325,1.983099,6.564562
7.006026,2.337289,7.18904
6.497425,3.695352,7.18904
7.094718,9.929304,6.906875
9.237872,7.459978,6.180954
1.688326,7.281018,6.32946
1.578523,6.446361,6.32946
1.904249,3.022218,6.32946
3.892001,6.656608,7.01677
1.769637,7.393925,6.32946
4.012181,2.311625,7.18904
3.121912,0.661068,6.32946
2.450835,3.111692,6.32946
0.575267,5.449788,6.32946
4.724798,5.492769,7.01677
2.978739,5.948381,6.32946
5.29664,5.445754,7.01677
1.895488,2.806834,6.32946
8.826535,1.12456,6.206771
8.630484,2.228388,6.564562
6.665477,8.008909,6.145441
7.643219,7.709372,6.145441
3.235303,2.208064,6.32946
3.980127,2.276108,6.060425
2.007064,6.447738,6.32946
1.927339,2.286646,6.32946
8.336104,9.395178,6.407536
3.637583,8.990658,6.145441
4.803277,0.24193,7.152938
3.612409,7.278525,7.01677
9.259681,7.568319,6.180954
8.942626,7.762343,6.180954
7.63497,0.013687,7.152938
3.698135,4.056304,7.18904
8.149572,1.068187,6.206771
9.263991,5.350596,6.180954
6.299718,8.390168,6.145441
6.406541,8.612995,6.145441
1.687689,5.23018,6.32946
6.120917,0.789788,6.206771
8.031771,6.529581,6.407536
3.532159,0.704198,6.060425
1.927133,9.146671,6.32946
8.610737,1.525223,6.859637
2.464386,4.856902,6.32946
3.74599,8.020374,6.145441
7.625178,8.120178,6.145441
4.747969,8.194384,6.145441
0.429811,9.317477,6.32946
1.769437,3.507569,6.32946
3.750487,6.747047,7.01677
1.968328,6.057859,6.32946
3.568819,3.0083,7.18904
4.960903,0.623954,7.152938
1.788294,9.454679,6.32946
7.45523,7.106461,7.01677
4.598611,9.830519,6.906875
9.966675,3.581398,7.18904
6.532079,5.428766,7.01677
0.599453,9.052571,6.32946
7.525161,1.357626,6.859637
5.31664,0.901436,6.060425
7.101361,6.099946,7.01677
2.575881,7.128298,6.32946
0.592992,4.080277,6.32946
2.947729,3.356723,6.32946
9.77342,3.48476,7.18904
7.038143,8.193153,6.145441
5.419858,9.370287,6.145441
9.99181,8.587077,6.180954
4.3507,2.140338,6.060425
4.932182,2.200813,6.060425
9.676417,4.872586,6.180954
5.513661,2.563866,7.18904
5.175926,0.07663,7.152938
5.331071,4.739495,7.01677
1.723421,5.493081,6.32946
1.123375,8.053069,6.32946
7.21218,7.157638,7.01677
7.800058,9.578077,6.407536
9.338956,7.904602,6.180954
8.625505,5.629296,6.407536
8.330257,3.912995,7.18904
1.098339,6.888778,6.32946
8.017309,0.037236,7.152938
4.091978,1.479614,6.060425
5.281645,6.688723,7.01677
3.495719,3.119922,7.18904
7.288735,3.261333,7.18904
3.081593,6.47791,6.32946
6.109821,6.671562,7.01677
6.694062,6.973194,7.01677
5.800554,9.125824,6.145441
1.442384,0.054371,6.32946
4.14818,3.000691,7.18904
2.634348,8.710648,6.32946
6.30357,8.235949,6.145441
8.436016,4.689339,6.407536
9.863233,3.214251,7.18904
8.4808,7.667423,6.407536
0.363568,4.841633,6.32946
1.928457,5.729061,6.32946
5.912178,3.290239,7.18904
9.438958,9.049839,6.180954
7.437683,1.577878,6.859637
1.756434,7.984948,6.32946
3.800822,5.273427,7.01677
4.669896,0.036832,7.152938
8.597916,3.610695,7.18904
6.511423,7.410849,7.01677
4.509868,9.242516,6.145441
0.952788,7.687491,6.32946
2.009394,7.636105,6.32946
3.126842,7.154932,6.32946
4.086417,6.10142,7.01677
2.563401,7.644226,6.32946
8.506674,4.772854,6.407536
2.630741,8.157793,6.32946
3.341663,2.825978,6.32946
0.054914,1.609748,6.32946
7.645876,8.152396,6.145441
7.029662,9.520872,6.906875
2.684369,3.485536,6.32946
9.469791,3.073596,7.18904
0.440452,8.499569,6.32946
5.660613,5.180016,7.01677
3.221096,5.294528,6.32946
9.822625,2.193907,6.12688
5.318289,9.542514,6.906875
3.242919,9.887174,6.32946
3.65859,3.843305,7.18904
4.185234,4.110285,7.18904
9.0195,0.643591,7.152938
3.004126,7.350218,6.32946
1.6833,0.559971,6.32946
9.954983,1.216165,6.12688
5.900641,5.598843,7.01677
2.069323,4.914405,6.32946
8.788352,3.015072,7.18904
8.24748,8.047075,6.407536
6.598386,2.831497,7.18904
4.589815,4.475398,7.18904
0.809469,6.515203,6.32946
4.894124,0.784822,6.060425
2.762042,7.211512,6.32946
9.861244,8.631124,6.180954
4.088259,3.181665,7.18904
1.909859,4.723473,6.32946
9.312866,7.609821,6.180954
4.842789,4.854034,7.01677
3.249678,8.618795,6.32946
6.62201,4.101838,7.18904
8.448586,5.382036,6.407536
8.5688,4.182588,7.18904
6.568086,7.469657,7.01677
0.260629,0.881454,6.32946
1.694591,1.977936,6.32946
7.905888,8.577553,6.407536
5.393113,6.97546,7.01677
2.577089,7.69237,6.32946
5.947305,6.585698,7.01677
4.313249,8.321252,6.145441
5.906003,9.473386,6.145441
9.472111,0.11277,7.152938
1.150011,9.420742,6.32946
7.916654,3.508503,7.18904
0.606789,8.204521,6.32946
2.700719,9.082565,6.32946
7.408127,7.639133,7.01677
9.661768,1.304578,6.12688
2.169079,1.544423,6.32946
4.231031,4.944326,7.01677
3.163451,7.832962,6.32946
6.365863,2.180486,6.564562
9.039335,2.315709,7.18904
4.717766,5.235838,7.01677
0.828313,3.721337,6.32946
9.412632,8.944355,6.180954
1.811971,4.877138,6.32946
1.819335,4.360201,6.32946
0.703323,5.835731,6.32946
8.015675,1.466528,6.859637
2.718512,0.652162,6.32946
0.50127,5.930622,6.32946
8.832723,9.655829,6.407536
1.044333,7.964776,6.32946
8.747879,0.845967,6.206771
7.570674,3.980511,7.18904
2.849678,9.955808,6.32946
4.82532,1.524519,6.060425
4.869413,8.240724,6.145441
2.346834,4.640736,6.32946
3.382866,2.593671,6.32946
5.195088,2.781354,7.18904
4.615498,8.797231,6.145441
7.882015,2.87325,7.18904
2.640111,1.525051,6.32946
6.121884,4.983913,7.01677
7.605344,4.785172,7.01677
7.465605,6.047312,7.01677
5.032672,3.696894,7.18904
5.591413,0.404827,7.152938
6.452347,6.692511,7.01677
2.833889,6.22943,6.32946
3.361323,6.898147,6.32946
9.598911,2.319945,7.18904
7.602783,6.203792,7.01677
2.324613,0.642547,6.32946
6.044207,7.99689,6.145441
6.990762,1.236851,6.859637
4.304597,7.032171,7.01677
1.043373,8.402494,6.32946
3.829506,5.961093,7.01677
7.162921,8.1456,6.145441
0.51348,5.393303,6.32946
4.064977,6.551622,7.01677
4.442438,8.117034,6.145441
1.622703,0.91901,6.32946
4.604859,0.640071,7.152938
2.268224,3.362498,6.32946
0.408908,9.466088,6.32946
7.64408,4.759277,7.01677
9.870511,8.781346,6.180954
3.444642,7.749965,6.32946
0.256185,5.196729,6.32946
5.918558,7.869024,6.145441
7.590068,2.559477,7.18904
2.749516,7.858192,6.32946
5.71929,7.26039,7.01677
6.548865,4.882863,7.01677
7.260487,1.513908,6.859637
7.139742,8.803696,6.145441
1.896037,9.158486,6.32946
4.211825,0.040666,7.152938
9.148575,1.916538,6.564562
