Latitude,Longitude,Price
3.800822,5.273427,6.872956
9.963354,0.800935,6.26197
4.088259,3.181665,6.872956
9.237872,7.459978,6.872956
2.592969,6.757921,6.872956
6.522061,0.911144,7.156979
9.412632,8.944355,6.277588
3.291142,2.071983,6.155709
2.684369,3.485536,6.872956
3.827838,6.225209,6.872956
2.630741,8.157793,7.242663
9.861244,8.631124,6.277588
1.178112,7.096832,6.835047
5.046983,1.028555,7.156979
6.548865,4.882863,6.872956
4.747969,8.194384,6.277588
1.098339,6.888778,6.835047
7.730709,3.396122,6.872956
5.082726,2.40917,7.156979
5.691584,9.759405,6.277588
7.633453,1.790396,6.26197
2.29433,3.119298,6.451305
7.006026,2.337289,7.156979
6.534256,4.326529,6.872956
6.291612,6.436484,6.872956
6.312325,1.983099,7.156979
5.294362,9.580869,6.277588
1.200106,3.978808,6.370843
1.811971,4.877138,6.370843
5.31664,0.901436,7.156979
2.450835,3.111692,6.451305
4.986914,9.32879,6.277588
0.363568,4.841633,6.370843
3.785798,8.333421,6.277588
8.597916,3.610695,6.872956
4.211825,0.040666,6.155709
1.904249,3.022218,6.370843
9.513089,7.141153,6.872956
3.215082,1.774011,6.155709
1.772154,4.462132,6.370843
6.989042,3.672985,6.872956
6.406541,8.612995,6.277588
3.018516,8.871289,7.242663
5.587597,3.380831,6.872956
0.828313,3.721337,6.370843
5.930606,7.750509,6.277588
9.469791,3.073596,6.26197
7.45523,7.106461,6.872956
2.134705,4.838541,6.370843
5.07369,9.896545,6.277588
2.978739,5.948381,6.872956
1.283146,5.066376,6.185067
8.5688,4.182588,6.872956
2.702465,4.851429,6.872956
0.403062,9.401118,6.400917
8.124467,3.2955,6.872956
6.665477,8.008909,6.277588
1.77886,3.29992,6.370843
7.605344,4.785172,6.872956
0.05772,9.198152,6.400917
4.755981,4.206881,6.872956
7.016788,1.780556,7.156979
8.015675,1.466528,6.26197
7.029662,9.520872,6.277588
9.474898,3.202666,6.872956
3.544852,7.04473,6.872956
5.912178,3.290239,6.872956
5.331071,4.739495,6.872956
1.540317,0.537378,6.370843
8.016709,0.438286,6.26197
9.863233,3.214251,6.872956
4.304597,7.032171,6.872956
9.665995,3.541675,6.872956
9.237306,5.17031,6.872956
8.24748,8.047075,6.277588
8.031771,6.529581,6.872956
0.574609,4.013582,6.370843
