@relation Stair

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
6.961558,1.048365,5.024433
3.493595,1.599732,5.673004
7.263537,0.117184,4.825931
1.883236,4.68835,6.922076
0.667128,9.285483,7.253834
5.840208,5.030173,5.883231
8.076505,8.955413,6.048647
9.315912,4.968144,5.261386
1.98367,4.55161,6.86901
0.505449,6.257152,7.477306
6.987025,2.231872,5.242233
1.661529,0.667783,5.771999
8.125561,8.762376,5.997457
6.028752,3.451202,5.595134
9.793768,8.389577,5.639714
0.017046,0.218483,6.059125
2.501278,0.886237,5.64235
9.774897,3.226174,5.155907
3.57241,2.68466,5.985088
9.649224,7.804216,5.546067
8.063389,5.222465,5.465097
4.386303,9.57757,6.755285
0.920325,1.905131,6.536695
2.495635,6.635182,6.940766
8.620322,4.798827,5.337857
2.338113,0.569157,5.542215
9.290983,7.651152,5.577059
5.236206,0.809852,5.09572
6.088338,5.016993,5.825298
6.369549,0.176425,4.828741
8.786631,6.757301,5.524218
3.82311,0.943402,5.365048
4.994264,1.357672,5.297637
7.345818,2.366184,5.228376
1.769906,6.437667,7.126497
7.642615,3.134091,5.298825
0.255679,2.280881,6.90698
9.615575,1.732555,5.133392
8.326053,1.673775,5.093119
5.155215,7.306029,6.346174
7.02394,5.731961,5.721491
9.338561,4.587631,5.234522
7.441443,5.221008,5.575211
0.816162,1.392722,6.366532
1.861616,2.424894,6.406433
1.601137,1.05075,5.966036
8.062717,3.812901,5.321706
2.583371,7.878377,6.975454
5.551055,5.627934,6.035339
0.648862,5.865906,7.424293
7.419929,8.422606,6.053255
2.173776,4.767586,6.842809
9.600177,9.214,5.869418
6.969478,2.620558,5.307389
9.663225,9.56619,5.958654
7.819078,1.307051,5.050559
7.553808,5.814722,5.626771
9.848719,3.343936,5.155497
1.973924,4.655835,6.888466
3.967439,8.234395,6.70307
0.161215,8.099454,7.469373
7.332465,1.51467,5.096007
8.070467,2.822157,5.222122
3.678404,9.516313,6.850678
8.596381,4.687692,5.331486
4.472664,1.113044,5.305812
6.205562,2.491534,5.388481
5.171293,8.106341,6.441923
6.838478,3.446701,5.451617
5.028834,6.779717,6.311343
9.585735,5.390102,5.258474
1.932862,4.65721,6.901647
6.910906,7.71658,6.027982
9.527127,1.91744,5.132497
7.805846,4.701463,5.451248
1.939531,1.079899,5.879166
4.51686,5.708823,6.305005
0.092689,8.173861,7.474095
8.448171,3.032258,5.212176
7.386677,1.006801,5.005947
4.031773,2.242501,5.747591
3.307196,4.037871,6.373365
3.644544,3.827639,6.235383
2.933481,8.369637,6.918718
2.579826,8.440197,6.989163
5.957344,9.948262,6.592249
2.863614,0.631019,5.442798
1.925544,9.546751,7.08176
1.72748,5.480176,7.069037
2.346713,8.575583,7.034156
1.947135,0.274009,5.500245
9.074188,2.06905,5.126128
4.482637,9.735493,6.759478
3.137878,9.57279,6.927897
9.868416,1.099917,5.149941
4.782152,9.21513,6.652452
9.492858,2.579028,5.147305
1.394907,1.042936,6.025478
4.146355,2.160071,5.697596
4.554675,9.167486,6.684189
2.017452,1.25796,5.93198
1.467615,9.454555,7.141696
1.550951,3.374301,6.774293
7.349972,7.335191,5.879415
9.350745,2.56207,5.147326
7.153791,7.034878,5.873501
0.453779,8.962153,7.320527
2.601189,1.120368,5.714778
3.48858,1.373738,5.594789
9.995702,6.824658,5.34221
8.243741,8.075477,5.83678
4.766211,6.747378,6.370771
0.423808,9.030982,7.31607
5.851822,6.936903,6.140168
1.436646,2.244529,6.484664
8.265289,4.262695,5.338259
8.418772,6.50226,5.554265
6.458039,1.426684,5.13681
0.14575,3.689956,7.332932
6.934774,5.320629,5.686419
5.837256,0.94618,5.073013
1.583348,1.058094,5.974654
9.077108,2.853448,5.165372
6.993449,5.552948,5.704516
2.347617,2.769158,6.358492
6.229398,7.213992,6.094786
8.243124,6.102574,5.534802
4.676686,8.063264,6.539603
4.963887,8.966386,6.590537
1.121152,7.554871,7.302898
1.322418,8.963986,7.193913
2.233228,8.164291,7.054407
1.200202,1.555761,6.306574
5.434207,5.025455,5.977828
4.046522,3.925989,6.14506
4.075763,4.25265,6.198627
0.100414,3.698373,7.350932
2.229371,8.158473,7.05516
4.190382,1.46403,5.474939
2.457421,8.199866,7.009259
9.833481,4.27131,5.175656
8.71399,2.489624,5.156165
6.5428,9.127646,6.344329
8.221223,6.914099,5.647369
7.571267,4.064777,5.417201
5.79918,4.993826,5.887409
9.42824,2.947901,5.158379
5.229845,2.692891,5.602081
6.906827,2.101451,5.228048
5.045958,7.444138,6.387713
0.37891,0.767097,6.22618
9.938305,2.88015,5.151503
0.307304,9.231155,7.30407
6.859896,4.026792,5.530197
9.16609,2.930884,5.165807
9.06154,9.039315,5.907793
1.338097,8.199964,7.232946
9.280678,6.863519,5.456502
8.515611,8.771983,5.933486
6.920722,9.739663,6.411753
5.761214,7.037003,6.174035
4.147372,7.758584,6.622805
4.771981,2.333969,5.609017
7.005125,6.944549,5.890924
9.57255,8.296077,5.654787
4.386684,7.692001,6.563183
6.167731,9.936134,6.561222
5.735423,7.546946,6.248487
1.545906,1.696718,6.250892
7.144935,9.934188,6.425103
9.585895,1.440324,5.12577
8.123048,7.965658,5.838194
3.585077,3.583948,6.200534
7.180908,1.76631,5.147209
4.00984,1.268524,5.445372
5.122775,9.807368,6.681649
8.625387,8.3316,5.819979
7.790786,4.154558,5.394214
8.448996,0.64377,4.984272
0.91485,3.2424,6.957762
7.281113,9.726004,6.355302
4.695869,4.569386,6.090041
5.36631,8.367584,6.436699
1.484016,2.971691,6.692151
9.712711,8.058049,5.583999
2.338992,3.211851,6.480161
1.997876,9.717722,7.067318
0.799398,6.271676,7.393402
7.197407,7.399079,5.919962
4.048232,3.865548,6.132697
5.253881,7.228112,6.314031
0.575848,9.63938,7.219343
9.498034,5.890196,5.311697
7.940176,2.276308,5.171703
6.458122,5.761026,5.845397
9.451812,3.117337,5.162869
3.229621,1.665918,5.760171
3.816996,5.510278,6.465738
6.880619,0.169737,4.827092
4.789485,0.216779,4.941205
6.880649,0.991416,5.015578
6.100161,3.859343,5.649077
9.739761,9.582663,5.952392
7.058054,8.569733,6.147465
6.962933,7.573226,5.994673
8.17549,1.519315,5.076557
8.25688,6.193049,5.543536
4.583894,6.57274,6.395052
8.332564,7.946338,5.796623
4.67337,5.948315,6.295921
2.048035,5.702323,6.994289
9.370777,6.618674,5.410088
5.085314,9.807594,6.686807
2.526234,4.396822,6.673637
8.255138,4.068509,5.321687
2.163173,5.423008,6.931268
1.486964,9.677924,7.124439
7.577101,2.158704,5.180109
1.848595,9.570136,7.089998
4.858974,8.013161,6.495685
7.81749,7.889085,5.880944
6.810523,2.630762,5.328983
3.024726,7.192937,6.840791
4.866009,8.139262,6.508868
3.359483,4.224581,6.393803
8.754493,6.83642,5.540747
8.521596,5.65115,5.435326
6.889387,5.397123,5.705596
4.328,4.649095,6.19918
8.051004,1.60432,5.087638
0.076447,6.316389,7.600011
7.444291,8.865654,6.137035
1.593625,5.386434,7.10062
8.91699,8.902169,5.897532
4.21007,8.88925,6.714415
9.027103,2.462683,5.146751
5.264705,6.127443,6.171702
7.697713,7.599079,5.853844
6.610131,8.158626,6.159882
6.913711,2.203009,5.244928
4.371369,3.186961,5.905672
1.563805,4.141592,6.933797
9.312904,1.810597,5.120463
0.105022,4.377225,7.467145
7.277617,4.26316,5.488385
0.403822,2.213903,6.830159
1.078696,3.905389,7.050654
4.052822,8.083836,6.67253
1.389247,6.699639,7.239487
1.28883,1.599388,6.295222
0.899572,1.28519,6.292103
1.719616,1.886358,6.267289
5.482354,8.022108,6.366653
6.451354,9.179051,6.369483
4.598489,6.624045,6.397424
4.556586,5.305788,6.23918
2.328349,5.679605,6.909544
0.087701,6.254536,7.597232
4.285842,6.480164,6.459222
5.453644,4.896245,5.953985
0.076421,5.366452,7.576659
9.29766,0.295684,5.048657
8.336253,9.940569,6.258695
4.875147,3.456965,5.842406
9.849067,8.272989,5.606195
2.746851,5.740064,6.794487
3.385716,6.56887,6.700514
8.242426,5.968237,5.518675
0.499575,9.117485,7.295169
4.894602,1.05551,5.219389
6.53117,6.782566,5.968425
4.556105,4.234375,6.068689
7.7722,6.892661,5.729246
3.68042,4.383877,6.3312
0.139045,9.448794,7.289849
2.300328,8.009761,7.039049
0.452742,9.919037,7.190211
1.626015,1.932565,6.313766
3.634808,5.976175,6.572953
7.646398,7.751791,5.889445
0.510817,2.946936,7.021706
7.24197,9.97206,6.420834
6.313179,6.712,6.006339
8.620568,1.166276,5.049336
7.356746,8.583813,6.095831
5.609314,4.419661,5.844252
8.455455,4.00832,5.291907
3.923673,3.037948,5.983784
4.398869,2.479309,5.727494
7.482098,4.269383,5.455142
0.736503,0.71097,6.078198
8.247202,1.30841,5.05262
0.031273,9.186427,7.343594
1.071211,7.265756,7.321779
0.235851,5.471313,7.53206
1.000935,6.542285,7.34197
0.99713,9.635882,7.178633
5.020517,7.19013,6.363004
8.328698,8.656966,5.939739
9.733168,2.335966,5.146166
8.704901,9.2654,6.021205
5.231209,0.918067,5.13028
9.481934,4.163876,5.199149
0.891274,3.970297,7.127207
9.977117,7.47492,5.438315
1.697026,5.766208,7.103985
2.042134,6.69527,7.064865
8.610225,0.8472,5.01788
7.33797,6.293511,5.731534
1.720076,3.312076,6.703176
0.193456,7.952859,7.478118
9.505761,0.795678,5.100274
9.315784,9.880969,6.102737
9.474018,8.472049,5.708474
8.756261,1.949234,5.116875
4.601464,9.976469,6.77309
1.808136,7.557723,7.144558
3.298336,8.516166,6.854593
3.73058,1.52221,5.591914
2.83171,8.128968,6.930669
3.822364,3.848198,6.190395
0.290491,0.546404,6.14362
1.813943,1.879461,6.235271
6.732426,4.460551,5.613232
4.369276,9.833387,6.785618
2.786983,3.596191,6.434537
3.631312,4.154407,6.303166
0.425501,0.305904,5.969406
5.187254,7.753174,6.394298
2.850687,5.223254,6.702246
6.206736,9.284674,6.429689
1.323309,0.125022,5.593466
2.148603,7.797296,7.069291
9.853207,9.018519,5.779672
2.67023,4.07594,6.570291
3.852085,4.556849,6.313144
4.700758,5.339736,6.206584
2.371338,5.167849,6.837834
2.565946,2.448502,6.198055
7.842771,7.150962,5.754273
5.42509,8.48391,6.441142
8.536528,3.65934,5.254744
5.736249,2.113519,5.380196
9.233875,9.697347,6.059461
3.155195,7.427661,6.824227
8.474704,7.514659,5.694912
0.983738,1.890707,6.509669
7.585153,6.711782,5.739817
8.507577,5.226406,5.39402
0.607531,8.063303,7.385529
5.999438,4.215931,5.726264
9.73464,6.214254,5.310198
3.731587,6.478388,6.601497
0.672568,3.049621,6.992333
6.993011,0.801844,4.971861
0.147092,0.369458,6.098153
9.38642,1.44971,5.111314
1.761077,6.486753,7.131258
3.951296,3.220211,6.019803
3.312791,5.666461,6.625457
8.384755,5.87598,5.483155
9.292996,0.615868,5.065995
2.27863,4.690922,6.798607
6.287031,9.661648,6.489104
7.881638,7.139455,5.745054
7.186749,2.397368,5.248404
5.327428,5.572871,6.081842
9.066116,2.070411,5.126119
2.524106,7.723706,6.983979
1.939503,1.494158,6.050499
8.110073,6.610444,5.625015
7.983073,8.515989,5.970208
7.696587,9.117468,6.148605
8.218574,9.775876,6.229892
5.701874,8.265806,6.35604
4.316517,3.164656,5.914156
0.582508,5.169717,7.398823
3.717633,5.088482,6.434504
0.565441,5.763428,7.444929
8.066313,6.968286,5.684216
0.997291,9.305568,7.211255
2.482777,9.123105,7.012527
8.109831,7.169547,5.706467
9.425541,8.744951,5.778474
9.458599,3.603688,5.178591
3.977048,1.544533,5.545532
7.343456,3.447166,5.375781
3.971141,9.29416,6.790128
3.890243,9.848026,6.847951
3.689582,8.387929,6.770742
1.513821,7.525675,7.212854
1.124909,5.50623,7.256278
5.986742,2.222318,5.366176
5.570147,2.92244,5.584283
6.001873,5.164371,5.865489
8.466231,2.726479,5.185694
8.931615,4.789141,5.295707
3.99779,7.323315,6.616783
7.528153,8.930042,6.136089
1.389259,2.713274,6.649633
