Latitude,Longitude,Price
1.813943,1.879461,6.335378
4.052822,8.083836,6.124502
8.620568,1.166276,5.265154
2.579826,8.440197,7.395728
8.596381,4.687692,5.265154
6.880619,0.169737,5.265154
8.255138,4.068509,5.265154
5.482354,8.022108,6.335986
1.467615,9.454555,7.121344
4.146355,2.160071,5.265154
0.017046,0.218483,6.342484
0.91485,3.2424,6.307577
1.761077,6.486753,7.395728
1.925544,9.546751,7.162144
1.997876,9.717722,7.162144
8.265289,4.262695,5.265154
7.983073,8.515989,6.166811
1.883236,4.68835,7.395728
4.048232,3.865548,6.237731
9.649224,7.804216,5.265154
0.100414,3.698373,7.341137
8.620322,4.798827,5.265154
9.38642,1.44971,5.265154
2.371338,5.167849,7.395728
7.005125,6.944549,6.163087
9.600177,9.214,6.269187
7.881638,7.139455,6.319646
5.045958,7.444138,6.335986
8.91699,8.902169,6.327
1.947135,0.274009,6.119842
0.307304,9.231155,7.395728
4.328,4.649095,6.342729
9.849067,8.272989,5.265154
5.229845,2.692891,5.265154
0.161215,8.099454,7.395728
3.634808,5.976175,7.395728
8.328698,8.656966,6.327
0.607531,8.063303,7.395728
7.281113,9.726004,6.335986
8.507577,5.226406,5.265154
6.987025,2.231872,5.265154
4.556586,5.305788,6.342729
3.298336,8.516166,7.121344
8.931615,4.789141,5.265154
6.100161,3.859343,6.324053
1.973924,4.655835,7.395728
1.593625,5.386434,7.395728
5.957344,9.948262,6.335986
2.850687,5.223254,6.342484
1.486964,9.677924,7.121344
7.263537,0.117184,5.265154
2.786983,3.596191,6.124258
9.73464,6.214254,5.265154
0.092689,8.173861,7.327343
6.859896,4.026792,5.265154
2.67023,4.07594,6.124258
5.187254,7.753174,6.335986
6.205562,2.491534,5.265154
9.338561,4.587631,5.265154
6.962933,7.573226,6.163087
9.315912,4.968144,5.265154
2.148603,7.797296,7.121344
6.920722,9.739663,6.335986
0.453779,8.962153,7.121344
4.695869,4.569386,6.342729
5.028834,6.779717,6.124258
4.583894,6.57274,6.124258
0.139045,9.448794,7.395728
6.001873,5.164371,6.324053
8.71399,2.489624,5.265154
3.951296,3.220211,5.265154
0.255679,2.280881,7.341536
7.419929,8.422606,6.166811
3.977048,1.544533,5.265154
4.472664,1.113044,5.265154
9.451812,3.117337,5.265154
3.822364,3.848198,6.174106
0.14575,3.689956,7.341137
0.920325,1.905131,6.335378
7.24197,9.97206,6.335986
8.076505,8.955413,6.167642
4.700758,5.339736,6.342729
5.79918,4.993826,6.324053
9.585735,5.390102,5.265154
8.110073,6.610444,5.265154
9.853207,9.018519,6.269187
3.717633,5.088482,6.342484
1.200202,1.555761,6.119842
9.977117,7.47492,5.265154
7.349972,7.335191,6.163087
8.448996,0.64377,5.265154
4.789485,0.216779,5.265154
1.563805,4.141592,6.124258
5.171293,8.106341,6.325906
6.229398,7.213992,6.124258
2.583371,7.878377,7.121344
4.51686,5.708823,6.342729
6.458039,1.426684,5.265154
0.99713,9.635882,7.121344
0.505449,6.257152,7.121344
0.235851,5.471313,7.395728
2.163173,5.423008,7.395728
1.98367,4.55161,7.395728
7.7722,6.892661,5.265154
0.799398,6.271676,7.121344
1.545906,1.696718,6.335378
3.359483,4.224581,6.33628
6.610131,8.158626,6.152318
9.938305,2.88015,5.265154
4.875147,3.456965,5.265154
8.418772,6.50226,5.265154
9.027103,2.462683,5.265154
8.070467,2.822157,5.265154
0.076447,6.316389,7.121344
9.074188,2.06905,5.265154
4.398869,2.479309,5.265154
7.345818,2.366184,5.265154
6.028752,3.451202,5.265154
4.21007,8.88925,7.368492
6.993449,5.552948,6.324053
9.585895,1.440324,5.265154
3.971141,9.29416,7.121344
6.934774,5.320629,6.324053
5.327428,5.572871,6.324053
1.338097,8.199964,7.395728
0.193456,7.952859,7.395728
0.983738,1.890707,6.335378
3.731587,6.478388,7.395728
8.521596,5.65115,5.265154
0.37891,0.767097,6.342484
3.493595,1.599732,5.265154
2.746851,5.740064,7.395728
6.993011,0.801844,5.265154
6.732426,4.460551,6.324053
1.394907,1.042936,6.119842
4.285842,6.480164,6.124258
9.663225,9.56619,6.269187
8.326053,1.673775,5.265154
3.689582,8.387929,7.121344
3.312791,5.666461,7.395728
8.474704,7.514659,6.319646
6.451354,9.179051,6.311245
4.598489,6.624045,6.124258
1.550951,3.374301,6.307577
2.338113,0.569157,6.163282
9.066116,2.070411,5.265154
9.292996,0.615868,5.265154
8.536528,3.65934,5.265154
9.712711,8.058049,5.265154
3.631312,4.154407,6.237731
8.218574,9.775876,6.119842
4.386303,9.57757,7.121344
4.031773,2.242501,5.265154
3.967439,8.234395,6.124502
1.720076,3.312076,6.307577
6.167731,9.936134,6.335986
2.565946,2.448502,6.124258
8.051004,1.60432,5.265154
0.076421,5.366452,7.395728
5.570147,2.92244,5.265154
6.913711,2.203009,5.265154
7.571267,4.064777,5.265154
5.236206,0.809852,5.265154
8.336253,9.940569,6.119842
8.515611,8.771983,6.327
3.155195,7.427661,7.121344
8.242426,5.968237,5.265154
8.448171,3.032258,5.265154
0.290491,0.546404,6.342484
9.615575,1.732555,5.265154
5.851822,6.936903,6.124258
1.484016,2.971691,6.307577
8.704901,9.2654,6.327
7.33797,6.293511,5.265154
2.173776,4.767586,7.395728
7.553808,5.814722,5.265154
0.891274,3.970297,7.341137
5.36631,8.367584,6.325906
1.389259,2.713274,6.307577
7.81749,7.889085,6.129756
0.648862,5.865906,7.121344
0.031273,9.186427,7.395728
9.739761,9.582663,6.269187
3.923673,3.037948,5.265154
5.986742,2.222318,5.265154
8.384755,5.87598,5.265154
5.085314,9.807594,7.121344
4.963887,8.966386,7.368492
6.910906,7.71658,6.163087
1.322418,8.963986,7.121344
1.719616,1.886358,6.335378
1.121152,7.554871,7.395728
4.766211,6.747378,6.124258
3.73058,1.52221,5.265154
9.492858,2.579028,5.265154
2.524106,7.723706,7.121344
5.736249,2.113519,5.265154
2.495635,6.635182,7.395728
3.99779,7.323315,6.124502
6.088338,5.016993,6.324053
0.510817,2.946936,7.341536
6.53117,6.782566,6.124258
1.808136,7.557723,7.121344
