@relation Stair

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
1.813943,1.879461,6.183248
4.052822,8.083836,6.19516
8.620568,1.166276,5.076047
2.579826,8.440197,7.188383
8.596381,4.687692,5.202906
6.880619,0.169737,5.377176
8.255138,4.068509,5.177129
5.482354,8.022108,6.316488
1.467615,9.454555,7.111604
4.146355,2.160071,5.307461
0.017046,0.218483,6.599394
0.91485,3.2424,6.952529
1.761077,6.486753,7.19856
1.925544,9.546751,7.138732
1.997876,9.717722,7.13916
8.265289,4.262695,5.176989
7.983073,8.515989,6.156801
1.883236,4.68835,6.663223
4.048232,3.865548,6.243192
9.649224,7.804216,5.647322
0.100414,3.698373,7.351618
8.620322,4.798827,5.11012
9.38642,1.44971,5.076065
2.371338,5.167849,7.112921
7.005125,6.944549,5.851901
9.600177,9.214,6.218102
7.881638,7.139455,5.978866
5.045958,7.444138,6.243535
8.91699,8.902169,6.220703
1.947135,0.274009,6.233432
0.307304,9.231155,7.290105
4.328,4.649095,6.35309
9.849067,8.272989,5.97678
5.229845,2.692891,5.396764
0.161215,8.099454,7.357187
3.634808,5.976175,7.108955
8.328698,8.656966,6.224616
0.607531,8.063303,7.359563
7.281113,9.726004,6.274968
8.507577,5.226406,5.206801
6.987025,2.231872,5.278454
4.556586,5.305788,6.370157
3.298336,8.516166,7.186936
8.931615,4.789141,5.10889
6.100161,3.859343,6.085656
1.973924,4.655835,6.662235
1.593625,5.386434,7.207737
5.957344,9.948262,6.647995
2.850687,5.223254,7.102652
1.486964,9.677924,7.137935
7.263537,0.117184,5.377148
2.786983,3.596191,6.188149
9.73464,6.214254,5.200855
0.092689,8.173861,7.356672
6.859896,4.026792,5.522261
2.67023,4.07594,6.213923
5.187254,7.753174,6.316668
6.205562,2.491534,5.345332
9.338561,4.587631,5.073638
6.962933,7.573226,6.142333
9.315912,4.968144,5.072993
2.148603,7.797296,7.3183
6.920722,9.739663,6.276225
0.453779,8.962153,7.288654
4.695869,4.569386,6.062206
5.028834,6.779717,6.118401
4.583894,6.57274,6.117814
0.139045,9.448794,7.291157
6.001873,5.164371,6.29509
8.71399,2.489624,5.234502
3.951296,3.220211,5.671043
0.255679,2.280881,6.670119
7.419929,8.422606,6.157243
3.977048,1.544533,5.303552
4.472664,1.113044,5.281558
9.451812,3.117337,5.328995
3.822364,3.848198,6.243231
0.14575,3.689956,7.351495
0.920325,1.905131,6.649193
7.24197,9.97206,6.275493
8.076505,8.955413,6.249379
4.700758,5.339736,6.290297
5.79918,4.993826,6.107094
9.585735,5.390102,5.155991
8.110073,6.610444,5.75432
9.853207,9.018519,5.996567
3.717633,5.088482,6.396609
1.200202,1.555761,6.190529
9.977117,7.47492,5.308378
7.349972,7.335191,6.23749
