@relation Stair

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
4.075763,4.25265,6.304116
0.899572,1.28519,6.091259
8.515611,8.771983,6.004799
5.155215,7.306029,6.304116
7.819078,1.307051,5.205962
1.848595,9.570136,7.261496
1.484016,2.971691,6.091259
5.36631,8.367584,6.304116
5.453644,4.896245,6.304116
5.999438,4.215931,5.205962
3.312791,5.666461,7.261496
8.066313,6.968286,6.304116
0.505449,6.257152,7.261496
3.68042,4.383877,6.304116
3.890243,9.848026,7.261496
7.805846,4.701463,5.431454
5.327428,5.572871,6.304116
0.799398,6.271676,7.261496
8.123048,7.965658,6.304116
7.197407,7.399079,6.304116
0.235851,5.471313,7.261496
4.482637,9.735493,7.261496
7.528153,8.930042,6.304116
4.994264,1.357672,5.205962
2.67023,4.07594,6.304116
7.33797,6.293511,5.205962
3.57241,2.68466,6.447061
2.173776,4.767586,7.261496
6.993011,0.801844,5.205962
2.501278,0.886237,6.091259
2.300328,8.009761,7.261496
9.42824,2.947901,5.205962
4.51686,5.708823,6.304116
0.031273,9.186427,7.261496
5.122775,9.807368,7.261496
6.906827,2.101451,5.205962
9.853207,9.018519,6.304116
0.672568,3.049621,6.091259
9.585735,5.390102,5.205962
9.505761,0.795678,5.205962
4.771981,2.333969,5.205962
6.859896,4.026792,5.431454
9.38642,1.44971,5.205962
1.939503,1.494158,6.091259
7.005125,6.944549,6.304116
5.735423,7.546946,6.304116
1.813943,1.879461,6.091259
9.868416,1.099917,5.205962
2.457421,8.199866,7.261496
6.458039,1.426684,5.205962
8.125561,8.762376,6.004799
8.265289,4.262695,5.431454
8.91699,8.902169,6.304116
4.285842,6.480164,6.304116
4.601464,9.976469,7.261496
1.883236,4.68835,7.261496
7.983073,8.515989,6.304116
8.326053,1.673775,5.431454
4.031773,2.242501,5.205962
1.932862,4.65721,7.261496
9.498034,5.890196,5.205962
1.769906,6.437667,7.261496
6.910906,7.71658,6.304116
7.343456,3.447166,5.205962
1.071211,7.265756,7.261496
5.701874,8.265806,6.304116
7.7722,6.892661,5.205962
1.626015,1.932565,6.091259
0.100414,3.698373,6.091259
3.99779,7.323315,6.304116
3.137878,9.57279,7.261496
7.058054,8.569733,6.304116
4.556586,5.305788,6.304116
5.171293,8.106341,6.304116
0.14575,3.689956,6.091259
1.389259,2.713274,6.091259
9.280678,6.863519,6.304116
2.933481,8.369637,7.261496
8.051004,1.60432,5.205962
0.403822,2.213903,6.091259
0.105022,4.377225,7.261496
8.931615,4.789141,5.431454
7.153791,7.034878,6.304116
9.833481,4.27131,5.205962
8.610225,0.8472,5.205962
1.28883,1.599388,6.091259
0.565441,5.763428,7.261496
9.458599,3.603688,5.205962
9.615575,1.732555,5.205962
9.338561,4.587631,5.205962
9.074188,2.06905,5.431454
1.545906,1.696718,6.091259
9.774897,3.226174,5.205962
6.088338,5.016993,6.304116
0.510817,2.946936,6.091259
2.83171,8.128968,7.261496
6.5428,9.127646,6.304116
0.37891,0.767097,6.091259
4.052822,8.083836,7.261496
6.53117,6.782566,6.304116
7.02394,5.731961,5.205962
2.579826,8.440197,7.261496
1.121152,7.554871,7.261496
1.808136,7.557723,7.261496
5.42509,8.48391,6.304116
7.940176,2.276308,5.431454
5.020517,7.19013,6.304116
6.458122,5.761026,5.205962
2.27863,4.690922,7.261496
8.242426,5.968237,5.205962
4.146355,2.160071,5.205962
6.287031,9.661648,6.304116
4.782152,9.21513,7.261496
6.993449,5.552948,5.205962
9.977117,7.47492,5.481327
7.553808,5.814722,5.205962
9.233875,9.697347,6.304116
7.144935,9.934188,6.304116
9.663225,9.56619,6.304116
4.894602,1.05551,5.205962
1.389247,6.699639,7.261496
7.577101,2.158704,5.205962
4.866009,8.139262,6.304116
1.322418,8.963986,7.261496
9.57255,8.296077,5.481327
1.394907,1.042936,6.091259
1.997876,9.717722,7.261496
6.369549,0.176425,5.205962
0.997291,9.305568,7.261496
0.582508,5.169717,7.261496
9.474018,8.472049,6.304116
2.863614,0.631019,6.091259
0.920325,1.905131,6.091259
5.482354,8.022108,6.304116
8.243124,6.102574,5.205962
8.418772,6.50226,5.205962
3.967439,8.234395,7.261496
6.962933,7.573226,6.304116
7.281113,9.726004,6.304116
7.881638,7.139455,6.304116
8.110073,6.610444,5.205962
6.838478,3.446701,5.205962
6.732426,4.460551,5.431454
9.793768,8.389577,5.481327
7.180908,1.76631,5.205962
8.448171,3.032258,5.431454
2.042134,6.69527,7.261496
6.889387,5.397123,5.205962
8.076505,8.955413,6.004799
8.109831,7.169547,6.304116
1.467615,9.454555,7.261496
4.554675,9.167486,7.261496
9.492858,2.579028,5.205962
0.423808,9.030982,7.261496
3.717633,5.088482,6.304116
7.263537,0.117184,5.205962
3.971141,9.29416,7.261496
3.678404,9.516313,7.261496
9.027103,2.462683,5.431454
9.451812,3.117337,5.205962
0.452742,9.919037,7.261496
3.82311,0.943402,5.205962
3.298336,8.516166,7.261496
1.601137,1.05075,6.091259
2.338992,3.211851,6.091259
1.72748,5.480176,7.261496
1.697026,5.766208,7.261496
4.398869,2.479309,5.205962
8.332564,7.946338,6.304116
0.736503,0.71097,6.091259
9.077108,2.853448,5.431454
9.481934,4.163876,5.205962
6.880649,0.991416,5.205962
7.482098,4.269383,5.431454
7.345818,2.366184,5.205962
9.849067,8.272989,5.481327
1.000935,6.542285,7.261496
2.233228,8.164291,7.261496
2.482777,9.123105,7.261496
2.371338,5.167849,7.261496
5.851822,6.936903,6.304116
9.938305,2.88015,5.205962
8.466231,2.726479,5.431454
2.338113,0.569157,6.091259
3.48858,1.373738,5.205962
7.81749,7.889085,6.304116
0.092689,8.173861,7.005544
7.642615,3.134091,5.205962
4.676686,8.063264,6.304116
4.00984,1.268524,5.205962
7.444291,8.865654,6.304116
5.761214,7.037003,6.304116
1.323309,0.125022,6.091259
8.221223,6.914099,6.304116
2.786983,3.596191,6.304116
9.066116,2.070411,5.431454
5.028834,6.779717,6.304116
3.385716,6.56887,6.304116
1.98367,4.55161,7.261496
3.644544,3.827639,6.304116
0.648862,5.865906,7.261496
8.25688,6.193049,5.205962
9.739761,9.582663,6.304116
1.486964,9.677924,7.261496
9.29766,0.295684,5.205962
5.231209,0.918067,5.205962
7.386677,1.006801,5.205962
3.689582,8.387929,7.261496
8.255138,4.068509,5.431454
4.858974,8.013161,6.304116
0.816162,1.392722,6.091259
5.264705,6.127443,6.304116
8.448996,0.64377,5.205962
7.697713,7.599079,6.304116
0.425501,0.305904,6.091259
1.078696,3.905389,6.091259
4.695869,4.569386,6.304116
0.076421,5.366452,7.005544
8.17549,1.519315,5.205962
5.840208,5.030173,6.304116
1.563805,4.141592,7.261496
9.712711,8.058049,5.481327
9.995702,6.824658,5.481327
6.229398,7.213992,6.304116
3.307196,4.037871,6.304116
1.947135,0.274009,6.091259
3.822364,3.848198,6.304116
7.349972,7.335191,6.304116
6.610131,8.158626,6.304116
4.048232,3.865548,6.304116
9.315912,4.968144,5.205962
8.754493,6.83642,6.304116
4.371369,3.186961,6.447061
4.046522,3.925989,6.304116
0.891274,3.970297,6.091259
5.045958,7.444138,6.304116
2.746851,5.740064,7.261496
5.609314,4.419661,6.304116
8.521596,5.65115,5.205962
3.631312,4.154407,6.304116
2.017452,1.25796,6.091259
8.063389,5.222465,5.205962
2.601189,1.120368,6.091259
3.816996,5.510278,6.304116
0.076447,6.316389,7.005544
5.551055,5.627934,6.304116
1.661529,0.667783,6.091259
4.875147,3.456965,5.205962
5.085314,9.807594,7.261496
1.200202,1.555761,6.091259
0.139045,9.448794,7.261496
8.756261,1.949234,5.431454
5.79918,4.993826,6.304116
9.73464,6.214254,5.205962
6.969478,2.620558,5.205962
1.583348,1.058094,6.091259
3.585077,3.583948,6.447061
4.598489,6.624045,6.304116
0.99713,9.635882,7.261496
9.585895,1.440324,5.205962
3.73058,1.52221,5.205962
7.842771,7.150962,6.304116
9.16609,2.930884,5.431454
2.347617,2.769158,6.091259
8.474704,7.514659,6.304116
4.386684,7.692001,6.304116
