@relation Stair

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Price numeric

@data
1.813943,1.879461,5.822517
4.052822,8.083836,7.165642
8.620568,1.166276,5.235662
2.579826,8.440197,7.165642
8.596381,4.687692,5.235662
6.880619,0.169737,5.235662
8.255138,4.068509,5.235662
5.482354,8.022108,6.452441
1.467615,9.454555,7.165642
4.146355,2.160071,5.822517
0.017046,0.218483,7.352062
0.91485,3.2424,5.822517
1.761077,6.486753,7.165642
1.925544,9.546751,7.165642
1.997876,9.717722,7.165642
8.265289,4.262695,5.235662
7.983073,8.515989,6.08868
1.883236,4.68835,6.278216
4.048232,3.865548,6.278216
9.649224,7.804216,6.08868
0.100414,3.698373,7.352062
8.620322,4.798827,5.235662
9.38642,1.44971,5.235662
2.371338,5.167849,7.165642
7.005125,6.944549,6.08868
9.600177,9.214,6.08868
7.881638,7.139455,6.08868
5.045958,7.444138,6.452441
8.91699,8.902169,6.08868
1.947135,0.274009,5.822517
0.307304,9.231155,7.165642
4.328,4.649095,6.278216
9.849067,8.272989,6.08868
5.229845,2.692891,5.822517
0.161215,8.099454,7.165642
3.634808,5.976175,7.165642
8.328698,8.656966,6.08868
0.607531,8.063303,7.165642
7.281113,9.726004,6.08868
8.507577,5.226406,5.235662
6.987025,2.231872,5.235662
4.556586,5.305788,7.165642
3.298336,8.516166,7.165642
8.931615,4.789141,5.235662
6.100161,3.859343,5.235662
1.973924,4.655835,6.278216
1.593625,5.386434,7.165642
5.957344,9.948262,6.452441
2.850687,5.223254,7.165642
1.486964,9.677924,7.165642
7.263537,0.117184,5.235662
2.786983,3.596191,6.278216
9.73464,6.214254,5.235662
0.092689,8.173861,7.165642
6.859896,4.026792,5.235662
2.67023,4.07594,6.278216
5.187254,7.753174,6.452441
6.205562,2.491534,5.235662
9.338561,4.587631,5.235662
6.962933,7.573226,6.08868
9.315912,4.968144,5.235662
2.148603,7.797296,7.165642
6.920722,9.739663,6.08868
0.453779,8.962153,7.165642
4.695869,4.569386,6.278216
5.028834,6.779717,6.452441
4.583894,6.57274,6.452441
0.139045,9.448794,7.165642
6.001873,5.164371,6.452441
8.71399,2.489624,5.235662
3.951296,3.220211,5.822517
0.255679,2.280881,7.352062
7.419929,8.422606,6.08868
3.977048,1.544533,5.822517
4.472664,1.113044,5.822517
9.451812,3.117337,5.235662
3.822364,3.848198,6.278216
0.14575,3.689956,7.352062
0.920325,1.905131,5.822517
7.24197,9.97206,6.08868
8.076505,8.955413,6.08868
4.700758,5.339736,6.452441
5.79918,4.993826,6.278216
9.585735,5.390102,5.235662
8.110073,6.610444,5.235662
9.853207,9.018519,6.08868
3.717633,5.088482,7.165642
1.200202,1.555761,5.822517
9.977117,7.47492,6.08868
7.349972,7.335191,6.08868
8.448996,0.64377,5.235662
4.789485,0.216779,5.822517
1.563805,4.141592,6.278216
5.171293,8.106341,6.452441
6.229398,7.213992,6.08868
2.583371,7.878377,7.165642
4.51686,5.708823,7.165642
