@relation tobs-averages

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
42.9389,-72.3247,-98.807897
44.4628,-87.505,-91.795594
36.2456,-85.945,-25.429867
45.4442,-105.4072,-54.123436
41.5667,-88.0833,-84.428286
28.8147,-81.2778,198.737505
46.79,-110.68,-57.124903
40.3131,-88.1594,-54.673557
35.9086,-79.0794,8.677413
41.0211,-91.9553,-79.983043
43.2794,-92.8106,-68.589091
39.7489,-104.9425,-123.515817
37.38,-106.55,-118.790703
43.7667,-88.4669,-96.587024
42.79,-121.98,-19.168378
37.8194,-85.3847,-34.362403
47.92,-112.82,-68.254832
30.5228,-82.9447,87.784121
39.6828,-92.0467,-74.231697
41.7769,-99.1433,-132.385259
40.51,-105.77,-135.047956
42.0944,-121.9022,-15.270892
43.95,-115.27,-100.875237
32.1633,-95.83,18.997411
37.1942,-99.7633,-94.412748
37.5544,-91.8831,-56.831627
46.98,-115.03,-97.990006
42.6469,-95.1933,-115.575438
65.4939,-144.6422,-133.532413
36.4161,-81.4286,-57.794901
43.7383,-116.2022,-108.460893
41.63,-79.6931,-97.808024
31.6728,-102.4133,-52.196767
43.7447,-97.3081,-86.771032
36.2528,-81.9136,-43.430853
40.6683,-84.93,-55.600452
32.1614,-94.3397,19.998426
42.2128,-122.7144,-6.666821
44.1747,-90.3483,-93.414318
40.6742,-100.4936,-152.228693
40,-107.24,-178.383469
41.825,-111.3208,-113.01467
42.665,-74.3036,-60.003795
30.1192,-85.2042,77.759406
45.6444,-109.2675,-76.643184
39.4667,-80.1333,-66.584435
40.4356,-85.2892,-59.971174
43.0428,-112.4133,-163.382215
41.8814,-92.2764,-78.701374
39.3572,-115.3303,-96.658783
47.68,-113.96,-99.40213
65.0033,-147.3408,-147.57047
40.6514,-78.555,-66.80904
36.3661,-85.6553,-33.212999
40.5375,-81.9197,-70.211193
57.2178,-134.877,27.796561
40.5694,-84.5364,-65.566166
45.51,-100.0356,-42.216401
40.1433,-91.5158,-73.201319
39.7378,-90.7086,-68.787132
42.76,-110.59,-112.201579
46.4858,-90.4372,-103.198376
45.4956,-110.5589,-88.586096
41.4619,-84.5272,-77.818452
32.8242,-95.5275,16.794045
47.33,-121.47,-56.412011
36.2114,-81.6442,-36.852945
45.5986,-89.4508,-106.617354
46.14,-114.51,-123.194699
30.3961,-84.3556,78.979162
33.2053,-86.2114,40.006404
39.1439,-103.4897,-166.465544
45.8081,-96.5042,-40.971611
43.2358,-77.0842,-54.611151
33.9111,-87.8469,40.041606
39.08,-107.14,-171.800159
39.9056,-80.755,-55.402125
40.8556,-85.4981,-63.388028
48.1503,-104.5089,-23.162641
41.92,-113.41,-114.781147
39.6381,-105.315,-126.788615
39.8183,-97.6375,-107.813366
40.025,-83.0286,-62.210831
35.3694,-111.5436,-111.1893
37.5142,-111.9883,-127.24088
41.23,-105.38,-138.008416
40.72,-109.54,-88.315861
37.9492,-107.8736,-165.827146
44.65,-93.6356,-116.58501
47.5808,-98.6422,-87.758674
36.3644,-82.2325,-16.936324
41.3053,-86.6286,-65.604364
39.4872,-75.22,-9.787661
47.1253,-91.7067,-108.585359
41.3367,-85.1197,-67.786862
36.5514,-84.7967,-43.389845
44.4,-107.06,-43.813294
43.6542,-92.9739,-101.959151
43.3864,-84.6492,-56.526322
46.5172,-100.3486,-29.99563
34.2314,-87.6353,39.014877
45.27,-111.43,-118.785403
48.31,-116.07,-120.425847
40.8397,-111.8314,-82.800065
42.3328,-75.2297,-61.194168
32.8847,-80.6761,40.977124
48.7272,-121.0722,-37.594946
42.875,-112.4444,-136.621538
37.3339,-92.9097,-54.619568
39.8144,-74.7883,-14.455191
32.5992,-85.4653,16.568137
41.7511,-76.4431,-72.191905
34.1736,-86.8133,38.827956
37.88,-107.36,-164.209741
42.9447,-117.3389,-138.538702
37.2008,-80.5864,-64.392085
36.8978,-86.1247,-25.3889
36.3458,-92.3939,-11.188779
34.6892,-86.8819,14.48878
39.93,-111.63,-121.177906
41.6117,-90.5817,-90.98441
45.8383,-101.2767,-45.567887
46.9728,-92.87,-98.607481
35.1242,-90.1805,13.404837
45.4478,-99.0383,-44.424414
36.8239,-114.0525,-56.701032
48.6525,-121.6931,-37.610849
34.0497,-94.7381,8.842479
