Latitude,Longitude,Value
40.185,-105.8667,-110.23142
45.0606,-83.4281,-60.25432
40.2306,-75.4353,-19.989204
47.7722,-121.4819,-73.865209
34.3519,-82.93,-1.114738
41.5047,-106.7889,-112.990498
32.9619,-102.8219,-75.722205
46.7492,-121.812,-21.894272
38.9189,-81.9114,-55.402635
35.4206,-82.1878,-37.776799
32.3139,-97.4061,-22.129123
36.3661,-85.6553,-26.610961
34.7261,-100.5372,-66.635218
44.5658,-73.57,-73.383765
38.9053,-123.2314,54.357839
30.8178,-90.9733,68.997033
37.66,-107.8,-113.292571
38.8894,-86.5519,-18.803796
25.5011,-80.55,204.551083
36.2147,-112.062,-37.625791
43.3008,-89.3269,-105.589475
34.1433,-93.0589,14.595899
37.21,-105.12,-118.448902
45.1864,-85.1478,-73.714906
33.8761,-97.1642,-12.267655
37.1278,-80.4033,-64.38256
44.4633,-83.7217,-60.211186
38.88,-105.07,-177.768014
36.5758,-98.8797,-60.95116
40.7747,-91.1164,-93.157503
37.5081,-94.8392,-64.175801
34.6539,-120.4514,46.560479
37.7308,-89.1658,-4.6164
40.2,-105.6,-94.649985
43.63,-115.44,-110.856229
33.9978,-81.7747,7.641631
39.1025,-90.3431,-14.514336
30.7806,-85.5503,22.392907
40.3706,-95.7469,-103.413164
44.6819,-83.2808,-60.214049
38.93,-120.05,-48.505743
46.3119,-119.2633,-57.421048
37.7092,-78.2886,-40.926618
34.3703,-91.1242,9.009837
30.2492,-85.6606,42.297063
38.4239,-82.5936,-55.381892
28.7156,-97.1742,53.169494
42.05,-91.5881,-113.596884
45.0831,-91.3311,-80.826979
46.3547,-98.2928,-47.876746
47.75,-121.09,-87.067131
45.46,-121.7,-58.002294
56.8056,-132.9372,-12.312517
28.0372,-97.8725,53.107071
48.69,-117.18,-86.599064
59.35,-151.85,-29.316148
39.4761,-88.1653,-8.929824
41.0172,-80.3614,-65.553707
37.9561,-86.1161,-7.467275
61.75,-150.89,-18.17984
38.05,-111.34,-112.608218
44.7608,-85.6442,-73.67566
46.27,-113.16,-97.014855
45.6778,-122.6511,-24.760509
47.9558,-124.3539,-4.505451
43.65,-117.2467,-131.21071
40.4119,-79.7244,-46.872463
48.98,-121.08,-41.12336
26.565,-98.1236,46.634769
35.4186,-119.0508,-19.861823
