@relation tobs-averages

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
40.185,-105.8667,-109.333333
45.0606,-83.4281,-63
40.2306,-75.4353,-50
47.7722,-121.4819,-150
34.3519,-82.93,83
41.5047,-106.7889,-87
32.9619,-102.8219,-139
46.7492,-121.812,27
38.9189,-81.9114,-46
35.4206,-82.1878,-33
32.3139,-97.4061,10.484848
36.3661,-85.6553,-35
34.7261,-100.5372,-70.75
44.5658,-73.57,-72.5
38.9053,-123.2314,43
30.8178,-90.9733,29
37.66,-107.8,-191
38.8894,-86.5519,10.484848
25.5011,-80.55,200
36.2147,-112.062,-56.8
43.3008,-89.3269,-103.966667
34.1433,-93.0589,10.484848
37.21,-105.12,-193
45.1864,-85.1478,-72.5
33.8761,-97.1642,-30.5
37.1278,-80.4033,-61.25
44.4633,-83.7217,-63
38.88,-105.07,-83
36.5758,-98.8797,-56.333333
40.7747,-91.1164,-72
37.5081,-94.8392,-73.2
34.6539,-120.4514,94
37.7308,-89.1658,-22
40.2,-105.6,-109.333333
43.63,-115.44,-85.666667
33.9978,-81.7747,-26.285714
39.1025,-90.3431,0
30.7806,-85.5503,65.5
40.3706,-95.7469,-103.966667
44.6819,-83.2808,-63
38.93,-120.05,-42
46.3119,-119.2633,-85.666667
37.7092,-78.2886,51.5
34.3703,-91.1242,10.484848
30.2492,-85.6606,65.5
38.4239,-82.5936,-46
28.7156,-97.1742,30.181818
42.05,-91.5881,-103.966667
45.0831,-91.3311,-103.966667
46.3547,-98.2928,-78
47.75,-121.09,-150
45.46,-121.7,-29
56.8056,-132.9372,0
28.0372,-97.8725,30.181818
48.69,-117.18,-72.5
59.35,-151.85,-28.666667
39.4761,-88.1653,10.484848
41.0172,-80.3614,-61.25
37.9561,-86.1161,10.484848
61.75,-150.89,28
38.05,-111.34,-114
44.7608,-85.6442,-103.966667
46.27,-113.16,-34
45.6778,-122.6511,0
47.9558,-124.3539,-39
43.65,-117.2467,-172
40.4119,-79.7244,-22
48.98,-121.08,20.5
26.565,-98.1236,30.181818
35.4186,-119.0508,-37.25
46.0108,-98.5261,-78
39.3033,-95.4861,-73.2
35.1086,-103.3283,-50
46.0625,-122.2042,0
41.31,-111.45,-122.75
36.8125,-100.5308,-70.75
38.07,-112.17,-140.5
47.6017,-112.7536,-86.75
46.5044,-122.5939,0
46.78,-110.62,-86.75
38.6361,-95.8031,-73.2
41.36,-111.49,-122.75
42.5483,-119.6556,-172
44.5647,-91.6719,-22
46.8367,-92.2108,-103.966667
37.1189,-113.6067,-37.25
41.4233,-76.4933,-111
44.665,-72.0233,-54.222222
33.6789,-79.3808,-26.285714
38.3217,-83.6642,-46
46.4808,-96.2869,-44.333333
38.0178,-108.0514,-83
41.5239,-112.0436,-122.75
35.1131,-89.2122,10.484848
37.4536,-103.3219,-161
37.49,-107.51,-131
35.3886,-106.5439,-112.666667
42.8783,-97.3633,-103.966667
36.3756,-86.1808,-35
40.5092,-106.0056,-147.5
45.6583,-95.4392,-44.333333
39.76,-107.36,-147.5
46.3286,-114.0836,-153
39.3478,-84.5897,-63
37.6769,-95.4472,-73.2
38.5528,-86.7944,10.484848
35.8742,-103.1819,-83
32.9897,-116.5872,126
41.92,-113.41,-151
26.9164,-81.9983,220.333333
31.0619,-94.1011,10.484848
40.3333,-76.4667,-68.666667
47.0092,-123.4008,-39
46.3003,-92.5336,-103.966667
43.4156,-83.2894,-63
41.97,-118.19,-85.666667
43.6611,-73.8969,-54.222222
32.1103,-103.1872,-67
47.07,-115.96,-148
47.4661,-115.8114,-148
33.9511,-117.3881,-37.25
39.6361,-91.2494,-72
29.6603,-103.1736,-41.777778
32.7822,-106.1758,-8.5
44.6542,-84.6994,-103.966667
32.2844,-110.7314,-22.5
