Latitude,Longitude,Value
42.9389,-72.3247,-103
44.4628,-87.505,-103.47619
36.2456,-85.945,-38.714286
45.4442,-105.4072,-100
41.5667,-88.0833,-103.47619
28.8147,-81.2778,183.25
46.79,-110.68,-78
40.3131,-88.1594,-89
35.9086,-79.0794,-50
41.0211,-91.9553,-88.75
43.2794,-92.8106,-93
39.7489,-104.9425,-50
37.38,-106.55,-94
43.7667,-88.4669,-103.47619
42.79,-121.98,-11.5
37.8194,-85.3847,17
47.92,-112.82,-0.666667
30.5228,-82.9447,86
39.6828,-92.0467,-88.75
41.7769,-99.1433,-122
40.51,-105.77,-178
42.0944,-121.9022,-61
43.95,-115.27,-63
32.1633,-95.83,20.294118
37.1942,-99.7633,-133
37.5544,-91.8831,-64.6
46.98,-115.03,-65
42.6469,-95.1933,-105.090909
65.4939,-144.6422,-104
36.4161,-81.4286,-52
43.7383,-116.2022,-139
41.63,-79.6931,-97
31.6728,-102.4133,-71.1875
43.7447,-97.3081,-83
36.2528,-81.9136,-52
40.6683,-84.93,-55.666667
32.1614,-94.3397,20.294118
42.2128,-122.7144,-44
44.1747,-90.3483,-103.47619
40.6742,-100.4936,-136
40,-107.24,-178
41.825,-111.3208,-120.2
42.665,-74.3036,-66.666667
30.1192,-85.2042,56
45.6444,-109.2675,-100
39.4667,-80.1333,-45.5
40.4356,-85.2892,-55.666667
43.0428,-112.4133,-161
41.8814,-92.2764,11
39.3572,-115.3303,-133
47.68,-113.96,-183
65.0033,-147.3408,-122
40.6514,-78.555,-66.75
36.3661,-85.6553,-38.714286
40.5375,-81.9197,-78
57.2178,-134.877,72
40.5694,-84.5364,-55.666667
45.51,-100.0356,-50
40.1433,-91.5158,-88.75
39.7378,-90.7086,-74
42.76,-110.59,-136
46.4858,-90.4372,-103.47619
45.4956,-110.5589,-86
41.4619,-84.5272,-87.176471
32.8242,-95.5275,6
47.33,-121.47,13
36.2114,-81.6442,-52
45.5986,-89.4508,-103.47619
46.14,-114.51,-92
30.3961,-84.3556,56
33.2053,-86.2114,64
