Latitude,Longitude,Value
40.185,-105.8667,-105.07737
45.0606,-83.4281,-58.841408
40.2306,-75.4353,-50
47.7722,-121.4819,-150
34.3519,-82.93,83
41.5047,-106.7889,-87
32.9619,-102.8219,-139
46.7492,-121.812,27
38.9189,-81.9114,-43.771234
35.4206,-82.1878,-33
32.3139,-97.4061,18.642923
36.3661,-85.6553,-32.602247
34.7261,-100.5372,-67.028195
44.5658,-73.57,-72.5
38.9053,-123.2314,43.996928
30.8178,-90.9733,16.871944
37.66,-107.8,-191
38.8894,-86.5519,7.211265
25.5011,-80.55,200
36.2147,-112.062,-58.493331
43.3008,-89.3269,-100.817836
34.1433,-93.0589,14.81058
37.21,-105.12,-193
45.1864,-85.1478,-72.5
33.8761,-97.1642,-30.5
37.1278,-80.4033,-81.427639
44.4633,-83.7217,-61.104751
38.88,-105.07,-83
36.5758,-98.8797,-37.872441
40.7747,-91.1164,-66.10186
37.5081,-94.8392,-70.512844
34.6539,-120.4514,94
37.7308,-89.1658,9.569974
40.2,-105.6,-104.850854
43.63,-115.44,-80.708242
33.9978,-81.7747,-18.190087
39.1025,-90.3431,0
30.7806,-85.5503,56.697166
40.3706,-95.7469,-90.124438
44.6819,-83.2808,-59.551393
38.93,-120.05,-42
46.3119,-119.2633,-85.190217
37.7092,-78.2886,56.852325
34.3703,-91.1242,13.649823
30.2492,-85.6606,58.125576
38.4239,-82.5936,-44.091729
28.7156,-97.1742,21.86776
42.05,-91.5881,-96.411405
45.0831,-91.3311,-105.371517
46.3547,-98.2928,-78
47.75,-121.09,-150
45.46,-121.7,-29
56.8056,-132.9372,18.851887
28.0372,-97.8725,22.840157
48.69,-117.18,-66.836784
59.35,-151.85,-32.084781
39.4761,-88.1653,7.459231
41.0172,-80.3614,-71.91378
37.9561,-86.1161,7.863217
61.75,-150.89,28
38.05,-111.34,-114
44.7608,-85.6442,-106.305649
46.27,-113.16,-34
45.6778,-122.6511,0
47.9558,-124.3539,-39
43.65,-117.2467,-172
40.4119,-79.7244,-22
48.98,-121.08,24.088276
26.565,-98.1236,24.32947
35.4186,-119.0508,-34.623618
46.0108,-98.5261,-78
39.3033,-95.4861,-70.652868
35.1086,-103.3283,-50
46.0625,-122.2042,0
41.31,-111.45,-124.825754
36.8125,-100.5308,-67.448824
38.07,-112.17,-140.5
47.6017,-112.7536,-91.064506
46.5044,-122.5939,0
46.78,-110.62,-89.380705
38.6361,-95.8031,-71.064008
41.36,-111.49,-124.894246
42.5483,-119.6556,-172
44.5647,-91.6719,-22
46.8367,-92.2108,-110.212411
37.1189,-113.6067,-37.090506
41.4233,-76.4933,-111
44.665,-72.0233,-60.116546
33.6789,-79.3808,-20.351567
38.3217,-83.6642,-44.630931
46.4808,-96.2869,-40.190963
38.0178,-108.0514,-83
41.5239,-112.0436,-125.486322
35.1131,-89.2122,12.021623
37.4536,-103.3219,-161
37.49,-107.51,-130.338335
35.3886,-106.5439,-126.378507
42.8783,-97.3633,-96.928752
36.3756,-86.1808,-32.769076
40.5092,-106.0056,-147.5
45.6583,-95.4392,-39.80412
39.76,-107.36,-147.5
46.3286,-114.0836,-153
39.3478,-84.5897,-76.908861
37.6769,-95.4472,-70.980672
38.5528,-86.7944,7.642676
35.8742,-103.1819,-83
32.9897,-116.5872,128.063369
41.92,-113.41,-151
26.9164,-81.9983,252.359674
31.0619,-94.1011,18.181517
40.3333,-76.4667,-72.038159
47.0092,-123.4008,-39
46.3003,-92.5336,-108.536274
43.4156,-83.2894,-63.015084
41.97,-118.19,-78.682724
43.6611,-73.8969,-60.780016
32.1103,-103.1872,-67
47.07,-115.96,-154.400497
47.4661,-115.8114,-155.181801
33.9511,-117.3881,-32.95387
39.6361,-91.2494,-60.911658
29.6603,-103.1736,-34.279844
32.7822,-106.1758,-8.5
44.6542,-84.6994,-106.305597
32.2844,-110.7314,-37.549252
34.6242,-106.3103,-125.016021
64.79,-141.23,-149
37.61,-105.37,-193
35.9325,-82.0019,-87.732705
40.93,-111.81,-124.882894
34.2553,-87.1814,11.820216
42.3647,-92.7594,-96.945619
45.1672,-84.9139,-72.5
35.1033,-92.4903,13.640594
43.9708,-74.2219,-61.096538
48.5003,-113.9847,-179
33.6989,-80.2003,-19.256633
39.6211,-105.0656,-178
43.0558,-96.1525,-97.847824
37.3781,-89.6678,10.143763
28.8889,-99.0897,22.647665
43.6408,-87.905,-72
46.8844,-98.685,-78
35.6381,-87.0864,10.490515
42.5881,-70.8372,-58.567278
33.38,-104.5419,-139
40.7258,-99.0133,-143.302842
46.2553,-114.1642,-153
47.3767,-121.9614,-18
43.6825,-121.6875,-14
40.5453,-102.3411,-172
40.0378,-113.9886,-96.645781
40.5314,-97.5964,-72.134445
36.6686,-81.9647,22
46.0556,-88.6275,-109.109638
47.8417,-107.9556,-35.417775
40.1,-84.65,-74.993598
48.8542,-110.5961,-90.401772
42.26,-112.13,-61
37.0056,-85.0617,-32.515188
39.56,-115.84,-138.5
32.9403,-99.8036,-40.389339
41.6767,-78.8036,-94.77131
43.6242,-103.9172,-25
31.2208,-99.8494,11
35.7522,-87.7958,10.733032
59.08,-154.28,12
43.4131,-106.2772,-161
35.3253,-81.5325,-50
45.45,-122.03,0
47.7,-121.6908,-18
45.32,-121.72,-156
47.6581,-92.1958,-112.620895
41.18,-104.0572,-150
31.7633,-84.1869,39
33.6194,-94.0994,15.807677
46.47,-113.39,-153
36.99,-105.26,-193
30.6036,-92.7739,69.5
45.1708,-87.1536,-107.007118
35.6278,-120.6856,94
44.3564,-117.255,-82.036249
44.8933,-102.6125,-111.5
40.8778,-88.6364,-17
39.8544,-84.8778,-76.157065
35.4083,-78.8208,-28.039276
