@relation tobs-averages

@attribute Latitude numeric
@attribute Longitude numeric
@attribute Value numeric

@data
40.185,-105.8667,-125.025
45.0606,-83.4281,-89.181818
40.2306,-75.4353,-70.419355
47.7722,-121.4819,-20.366667
34.3519,-82.93,19.962963
41.5047,-106.7889,-125.025
32.9619,-102.8219,-30.4
46.7492,-121.812,-20.366667
38.9189,-81.9114,-67.608696
35.4206,-82.1878,-23.9
32.3139,-97.4061,-30.4
36.3661,-85.6553,-23.9
34.7261,-100.5372,-78.2
44.5658,-73.57,-89.181818
38.9053,-123.2314,66.625
30.8178,-90.9733,69.5
37.66,-107.8,-132
38.8894,-86.5519,16.8
25.5011,-80.55,208.111111
36.2147,-112.062,-78.4
43.3008,-89.3269,-99.166667
34.1433,-93.0589,19.962963
37.21,-105.12,-125.025
45.1864,-85.1478,-89.181818
33.8761,-97.1642,-22.333333
37.1278,-80.4033,-23.9
44.4633,-83.7217,-89.181818
38.88,-105.07,-125.025
36.5758,-98.8797,-23.9
40.7747,-91.1164,-99.166667
37.5081,-94.8392,-62.583333
34.6539,-120.4514,-33
37.7308,-89.1658,16.8
40.2,-105.6,-125.025
43.63,-115.44,-133
33.9978,-81.7747,-18.666667
39.1025,-90.3431,16.8
30.7806,-85.5503,69.5
40.3706,-95.7469,-100.8
44.6819,-83.2808,-89.181818
38.93,-120.05,-68.8125
46.3119,-119.2633,-101.45
37.7092,-78.2886,-67.608696
34.3703,-91.1242,19.962963
30.2492,-85.6606,69.5
38.4239,-82.5936,-67.608696
28.7156,-97.1742,19.6
42.05,-91.5881,-99.166667
45.0831,-91.3311,-99.166667
46.3547,-98.2928,-44.666667
47.75,-121.09,-20.366667
45.46,-121.7,-20.366667
56.8056,-132.9372,-20.366667
28.0372,-97.8725,19.6
48.69,-117.18,-101.45
59.35,-151.85,-20.366667
39.4761,-88.1653,16.8
41.0172,-80.3614,-70.419355
37.9561,-86.1161,16.8
61.75,-150.89,-20.366667
38.05,-111.34,-90.966667
44.7608,-85.6442,-89.181818
46.27,-113.16,-101.45
45.6778,-122.6511,-20.366667
47.9558,-124.3539,-20.366667
43.65,-117.2467,-133
40.4119,-79.7244,-70.419355
48.98,-121.08,-20.366667
26.565,-98.1236,19.6
35.4186,-119.0508,11
46.0108,-98.5261,-44.666667
39.3033,-95.4861,-62.583333
35.1086,-103.3283,-78.2
46.0625,-122.2042,-20.366667
41.31,-111.45,-90.966667
36.8125,-100.5308,-72
38.07,-112.17,-90.966667
47.6017,-112.7536,-101.45
46.5044,-122.5939,-20.366667
46.78,-110.62,-101.45
38.6361,-95.8031,-62.583333
41.36,-111.49,-90.966667
42.5483,-119.6556,-68.8125
44.5647,-91.6719,-99.166667
46.8367,-92.2108,-99.166667
37.1189,-113.6067,-90.966667
41.4233,-76.4933,-70.419355
44.665,-72.0233,-89.181818
33.6789,-79.3808,-18.666667
38.3217,-83.6642,-67.608696
46.4808,-96.2869,-58.875
38.0178,-108.0514,-132
41.5239,-112.0436,-90.966667
35.1131,-89.2122,19.962963
37.4536,-103.3219,-125.025
37.49,-107.51,-132
35.3886,-106.5439,-125.025
42.8783,-97.3633,-100.8
36.3756,-86.1808,-23.9
40.5092,-106.0056,-125.025
45.6583,-95.4392,-58.875
39.76,-107.36,-132
46.3286,-114.0836,-101.45
39.3478,-84.5897,-67.608696
37.6769,-95.4472,-62.583333
38.5528,-86.7944,16.8
35.8742,-103.1819,-125.025
32.9897,-116.5872,128
41.92,-113.41,-90.966667
26.9164,-81.9983,208.111111
31.0619,-94.1011,69.5
40.3333,-76.4667,-70.419355
47.0092,-123.4008,-20.366667
46.3003,-92.5336,-99.166667
43.4156,-83.2894,-70.419355
41.97,-118.19,-90.966667
43.6611,-73.8969,-70.419355
32.1103,-103.1872,-30.4
47.07,-115.96,-101.45
47.4661,-115.8114,-101.45
33.9511,-117.3881,-33
39.6361,-91.2494,-62.583333
29.6603,-103.1736,19.6
32.7822,-106.1758,-30.4
44.6542,-84.6994,-89.181818
32.2844,-110.7314,-30.4
34.6242,-106.3103,-78.2
64.79,-141.23,-121.8
