Latitude,Longitude,Value
42.9389,-72.3247,-122.333333
44.4628,-87.505,-90.333333
36.2456,-85.945,-34.883721
45.4442,-105.4072,-79.77907
41.5667,-88.0833,-95.745763
28.8147,-81.2778,219.5
46.79,-110.68,-79.77907
40.3131,-88.1594,-67.92
35.9086,-79.0794,-33.333333
41.0211,-91.9553,-86.470588
43.2794,-92.8106,-95.745763
39.7489,-104.9425,-146.783784
37.38,-106.55,-95.529412
43.7667,-88.4669,-95.745763
42.79,-121.98,-42.4
37.8194,-85.3847,-34.883721
47.92,-112.82,-79.77907
30.5228,-82.9447,104.75
39.6828,-92.0467,-86.470588
41.7769,-99.1433,-101.214286
40.51,-105.77,-294
42.0944,-121.9022,-42.4
43.95,-115.27,-99.903846
32.1633,-95.83,26.181818
37.1942,-99.7633,-42.777778
37.5544,-91.8831,-72.25
46.98,-115.03,-79.77907
42.6469,-95.1933,-95.745763
65.4939,-144.6422,-145.153846
36.4161,-81.4286,-33.333333
43.7383,-116.2022,-99.903846
41.63,-79.6931,-100
31.6728,-102.4133,-43.772727
43.7447,-97.3081,-101.214286
36.2528,-81.9136,-56
40.6683,-84.93,-67.92
32.1614,-94.3397,26.181818
42.2128,-122.7144,-42.4
44.1747,-90.3483,-95.745763
40.6742,-100.4936,-67
40,-107.24,-146.783784
41.825,-111.3208,-101
42.665,-74.3036,-39
30.1192,-85.2042,48.666667
45.6444,-109.2675,-79.77907
39.4667,-80.1333,-75.272727
40.4356,-85.2892,-67.92
43.0428,-112.4133,-99.903846
41.8814,-92.2764,-95.745763
39.3572,-115.3303,-99.903846
47.68,-113.96,-79.77907
65.0033,-147.3408,-145.153846
40.6514,-78.555,-67.92
36.3661,-85.6553,-34.883721
40.5375,-81.9197,-67.92
57.2178,-134.877,48.75
40.5694,-84.5364,-67.92
45.51,-100.0356,-70.714286
40.1433,-91.5158,-86.470588
39.7378,-90.7086,-34.883721
42.76,-110.59,-107.6875
46.4858,-90.4372,-95.745763
45.4956,-110.5589,-79.77907
41.4619,-84.5272,-78.222222
32.8242,-95.5275,23.961538
47.33,-121.47,-58.736842
36.2114,-81.6442,-33.333333
45.5986,-89.4508,-95.745763
46.14,-114.51,-79.77907
30.3961,-84.3556,48.666667
33.2053,-86.2114,-0.315789
39.1439,-103.4897,-146.783784
45.8081,-96.5042,-37.285714
43.2358,-77.0842,-51.545455
33.9111,-87.8469,23.961538
39.08,-107.14,-146.783784
39.9056,-80.755,-67.92
40.8556,-85.4981,-67.92
48.1503,-104.5089,-79.77907
41.92,-113.41,-99.903846
39.6381,-105.315,-146.783784
